Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Soy Free,"Quench your thirst with Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs. With only 5 calories per serving and zero sugar, this drink mix is a smart choice for those seeking a refreshing beverage without the guilt. The pack contains natural flavors, vitamins C and E, and minerals like magnesium and zinc that help keep you hydrated throughout the day. Each pack makes six servings of deliciously fruity, gluten-free, and kosher drink mix that's perfect for on-the-go hydration. Get your hands on Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs through Instacart for same-day delivery or pickup."
"SONIC Singles To Go Low Calorie, Cherry Limeade Drink Mix",,$1.25," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_444c2ee3-2ce6-4d39-9263-acc102d37232.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef0da77d-f65b-4f87-9279-d595361c6105.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11ac2308-0781-4763-ae28-26d52bf754a9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b8aae78-cb51-4308-ac83-4a86e35441a4.jpg 4x",,,"Dive into the refreshing waves of Sonic Cherry Limeade Singles To Go ZERO SUGAR – a tantalizing flavor experience that brings the essence of Sonic's iconic beverage straight to your fingertips. Immerse yourself in the perfect balance of sweetness without the guilt, as this drink mix is sugar-free, caffeine-free, and blissfully non-carbonated.,Crafted for those on the move, these individually portioned packets redefine on-the-go flavor, allowing you to savor the unmistakable Sonic taste wherever life takes you – whether it's in your car, at work, or any adventure in between.,Unleash a burst of greatness with every sip, as Sonic Soda Singles To Go Drink Mix transforms your average bottle of water into a symphony of flavors. It's a quick and easy way to elevate your hydration routine, turning mundane moments into a celebration of taste.","Citric Acid, Maltodextrin*, Aspartame†, Natural And Artificial Flavors, Malic Acid, Contains 2% Or Less Of The Following: Acesulfame Potassium, Magnesium Oxide, Monocalcium Phosphate, Blue 1. * Adds A Trivial Amount Of Sugar",Easy to Make: Sip - From a full bottle of water to make room for powder. Pour - One stick into a 16.9 fl. oz. bottle of water or a large glass of water. Shake - Bottle or mix well until powder dissolves.,† phenylketonurics: contains phenylalanine,,
"Celsius Dragonfruit Lime, On-the-Go Powder Sticks",,$18.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eacb1d49-bfa6-4870-ac73-aba63d2281c2.jpg 4x,Gluten Free,,"CELSIUS® is functional, Essential Energy– a better-for-you, premium alternative to traditional energy drinks, made with 7 essential vitamins and zero sugar. As a global, lifestyle fitness drink, CELSIUS® was created to help people LIVE FIT, exceed their goals and elevate their everyday lives. Our CELSIUS® On-the-Go Powder Sticks contain the same clinically proven ingredients as CELSIUS®, only its compact, convenient and perfect for traveling. Whether you’re hiking trails, beachside chillin’ or ski lodge loungin’, CELSIUS® On-the-Go Powder Sticks are ready when you are, so you can be ready for anything. Our proprietary MetaPlus® blend contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger, making it an ideal pre-workout drink. CELSIUS® On-the-Go Powder Sticks allow you to adjust the powder you use depending on the level of energy boost you require, making it a flexible option. Our powders can be mixed with various liquids, such as water, juice, smoothies and protein shakes, allowing you to personalize the taste and consistency to your liking. Packed with sweet and delicate flavors of exotic dragonfruit and tart hints of lime, the unique flavor of CELSIUS® Dragonfruit Lime On-the-Go Powder Sticks will take your tastebuds on a tropical journey! Enjoy CELSIUS® On-the-Go Powder Sticks anytime, anywhere. Just add water and go! Add one powder stick packet to 12-16 Fl Oz of water and you have Essential Energy on the go. CELSIUS® On-the-Go Powder Sticks have the perfect balance of flavor and energy that serve as an awesome pick-me-up for active lifestyles. One powder stick is equal to one CELSIUS® ready-to-drink can, and each box comes with 14 powder stick packets. Make CELSIUS® Essential Energy your go to pick-me-up– anytime, any place!","Citric Acid, Taurine, Maltodextrin, Guarana Seed Extract,,Caffeine, Green Tea Extract, Sucralose, Calcium Carbonate, Gum,Arabic, Ascorbic Acid, Glucuronolactone, Natural Flavor, Vegetable,Juice (color), Ginger Root Extract, Calcium Pantothenate, Niacinamide,,Silicon Dioxide, Pyridoxine Hydrochloride, Riboflavin, Chromium,Chelate, Biotin, Cyanocobalamin.",Just add water and go.,"Do not exceed (2) servings per day. Not Recommended for people who are caffeine sensitive, children under 18, and women pregnant or nursing.",,
"Liquid I.V. Hydration Multiplier Electrolyte Drink Mix, Concord Grape",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_296491c5-4d35-432d-bea8-edd7facdfa0b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5d7bfa8b-e8b6-45b6-9684-8c0c8fa06f21.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0a6f8c7-a15e-44f1-8f0a-21eb149ab31f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c445cf5e-9dec-4aa2-aae5-3a431ab33591.jpg 4x","Gluten Free,Soy Free",,"Fueling life's adventures. Powered by CTT. faster hydration than water alone. Why Liquid I.V.? 2-2.5x faster hydration than water alone. Utilizing cellular transport technology (CTT). 3x the electrolytes of traditional sports drinks. 5 Essential vitamins B3, B5, B6, B12 and vitamin C. Great taste - natural concord grape flavor. Hydration for: performance; travel; heatsun; wellness. Our Winning Difference: The breakthrough science of Cellular Transport Technology (CTT) is an optimal ratio of nutrients that delivers hydration rapidly into your bloodstream, hydrating you 2-2.5x faster and more efficiently than water alone. Sodium + Potassium + Glucose + Water = CTT. This leading science depends on Non-GMO sugar + mined salt strictly for function, not taste. Think of CTT as an expedited water delivery system in your body. The Result: Feel better. Faster. No preservatives. No artificial sweeteners. No artificial colors. FSC: Mix - Packaging. Our Mission: We've partnered with you, the LIV community, to help save lives around the world. With each purchase you make, we donate a serving of Liquid I.V. to someone in need. We are on a mission to help people live better lives everywhere, and we could not do it without you. Together, we will change the world! (hashtag)CTW.,• Vegan,• Gluten Free,• Dairy Free,• Soy Free,• No Preservatives/No Artificial Preservatives,• No Artificial Flavors,• No Artificial Sweeteners","Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Tartaric Acid, Dioxide, Vitamin C (ascorbic Acid), Rebaudioside-a (stevia Leaf Extract), Natural Flavor, Vitamin Silicon B3 (niacinamide), Vitamin B5 (d-calcium Pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin (cyanocobalamin).","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.","No preservatives, no artificial sweeteners, no artificial flavors, no artificial colors",,
"Prime Hydration+ Sticks, Blue Raspberry",$10.39,$11.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a396b6d2-6f5b-4acc-88ac-69979fa54ad5.png 4x,,,,"Citricacid, Coconut Water Concentrate, Dipotassium Phosphate, Trimagnesium Citrate, Ascorbic Acid, Sucralose, Gum Arabic, Sea Salt, L-isoleucine, L-valine, L-leucine, Acesulfame Potassium, Natural Flavors, Pyridoxine Hydrochloride (vitamin B6), D-alpha Tocopheryl Acetate (vitamin E), Retinyl Palmitate (vitamin A), Cyanocobalamin (vitamin B12).",Directions: Add 1 stick to 16 fl oz of water. Shake or stir to mix thoroughly.,Contains: coconut,,
Ovaltine Chocolate Malt Milk Mix,$6.39,$8.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f1d559a-dd7e-4801-8bd1-8a1991e58e4c.jpeg 4x,,,"Make Your Milk Work Harder With Ovaltine Chocolate Malt Powdered Drink Mix. A Classic Addition To Dairy And Plant Based Milks, This Powder Drink Mix Gives Milk A Nostalgic Chocolate Milk Taste. Ovaltine Chocolate Malted Milk Mix Is A Good Source Of 12 Vitamins And Minerals Per Serving, Including Iron, Zinc, Vitamins A, D And E, When Prepared As Directed. These Vitamins And Minerals Are Good Additions To The Diets Of Kids And Adults Alike. Additionally, This Hot Chocolate Drink Mix Powder Contains No Artificial Flavors Or Sweeteners. Chocolate Malt Ovaltine Drink Mix Powder Goes Great In A Cold Glass Of Almond Milk For A Dairy-Free Chocolate Milk Or A Warm Mug Of Whole Milk For A Classic Hot Chocolate. It Is Also Perfect As An Ice Cream Topping. Use This Powdered Chocolate Mix In Smoothies And Baked Goods For A Rich Chocolatey Taste. Ovaltine Chocolate Malted Milk Mix Comes In An 12 Ounce Canister Big Enough To Share And Is Shelf Stable When Stored In A Cool Dark Place With The Lid Closed Tightly. Chocolatey, Malty, And Yummy All In One, Ovaltine Has A Rich Heritage As A Trusted Provider Of Great Tasting, Good For You Deliciousness.,• One 12 oz canister of Ovaltine Chocolate Malt Powdered Drink Mix,• Chocolatey and yummy, Ovaltine Chocolate Malt powder drink mix provides great tasting, good for you deliciousness,• Chocolate malt Ovaltine chocolate mix powder contains no artificial flavors or preservatives,• Ovaltine chocolate malt mix is a good source of 12 vitamins and minerals, including iron, zinc, vitamins A, D and E, when prepared as directed,• Mix chocolate malt Ovaltine powder drink mix with 8 fl oz of cold or hot milk or plant based dairy","Sugar, Malt Extract (malted Barley, Barley,caramel Color, Soy Lecithin), Cocoa Processed With Alkali, Whey, Beet Juice Color, Salt, Soy Lecithin, Natural Flavor, Molasses, Caramel Color. Vitamins And Minerals:calcium Carbonate, Magnesium Hydroxide, Vitamin C (sodium Ascorbate), Ferric Orthophosphate (iron), Zinc Sulfate, Vitamin E Acetate, Niacinamide, Copper Gluconate, Vitamina Palmitate, Vitamin B6 (pyridoxine Hydrochloride), Vitamin B1 (thiamine Hydrochloride), Biotin, Vitamin D3.","Microwave: Microwave: Heat 8 oz. milk in microwave-safe mug for 1-1/2 minutes or until warm (avoid overheating milk). Add 2 Tbsp. Ovaltine®. Stir well. Reconstitute: Cold: Add 2 Tbsp. Ovaltine® mix to 8 oz. cold milk. Stir well. Hot: Place 2 Tbsp. Ovaltine® in mug. Add 8 oz. hot milk. Stir well.,Store in a cool, dry place.,Close lid tightly.",Contains: milk and soy ingredients. May contain wheat.,,
Tang Orange Naturally Flavored Powdered Soft Drink Mix,,$8.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7773c9f-3e44-4320-9c86-2c9b371e9845.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0836a820-05c8-4691-a43d-fea19c242aae.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_81ce77ae-5e38-4920-b408-9066fa4c9eea.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba749719-dc28-42d8-bf83-8c6bde4fd29a.jpg 4x",,,"Tang Naturally Flavored Orange Powdered Drink Mix is a great way to jump start your day. Made with a refreshingly sweet orange taste, Tang has 100% of your daily value of vitamin C and is a good source of calcium. Tang Naturally Flavored Orange Powdered Drink Mix comes in a resealable canister to help lock in flavor and with an easy-measure lid for simple, fast preparation. Each 20 ounce canister makes 6 quarts of product, so there is enough for the whole family. To prepare, simply pour the powdered orange drink mix into plastic or glass pitcher, add water, stir and enjoy! Start your day off right with the refreshing taste of Tang. If you enjoy our water flavor enhancer, try our drink mix singles.,• One 20 oz canister of Tang Naturally Flavored Orange Powdered Drink Mix,• Tang Naturally Flavored Orange Powdered Drink Mix makes 6 quarts when mixed with water,• Flavored water powder contains 100% daily value of Vitamin C,• Our water enhancer is a good source of calcium,• Refreshing orange flavored drink helps start your day right,• Resealable canister with easy-measure lid,• Simply mix orange drink powder with water and enjoy","Sugar, Fructose, Citric Acid, Contains Less Than 2% Of Maltodextrin, Calcium Phosphate, Sodium Acid Pyrophosphate, Ascorbic Acid (vitamin C), Natural Flavor, Artificial Color, Guar Gum, Yellow 5, Yellow 6, Xanthan Gum","Easy Measure Cap - Twist To Remove.,Following Chart Below, Measure Tang Brand Drink Mix, Using Cap, Into Plastic Or Glass Container. Add Cold Water; Stir To Dissolve. Serve Over Ice Or Refrigerate.,To Make ... Use This Much Tang Drink Mix (Just Up To Line Inside Cap) ... Add Cold Water To Make.,1 Serving ... 2 Level Tablespoons ... 1 Cup (8 Fl. Oz.).,4 Servings ... 1 Quart Line ... 4 Cups (1 Quart).,8 Servings ... 2 Quart Line ... 8 Cups (2 Quarts).,Since Contents May Settle During Shipping, Turn Canister Over And Shake Before Using.,Replace Dry Cap And Tightly Close Container To Retain Freshness.,Store Prepared Beverage, Covered, In Refrigerator.,Do Not Store In Metal Container.",,,
"Liquid I.V. Electrolyte Drink Mix, Passion Fruit",,$27.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73d6c7b9-2185-49fe-aba8-2f8f915d3469.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c19f221-68d6-4993-8e65-5e67d357c3a3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7b029f4-9157-46d9-b3d2-019ceb5f6674.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be1f247e-6419-409d-a373-f29599d11d24.jpg 4x","Gluten Free,Soy Free",,"Fueling life's adventures. Powered by CTT. 1 stick. Faster hydration than water alone. Our Winning Difference: The breakthrough science of Cellular Transport Technology (CTT) is an optimal ratio of nutrients that delivers hydration rapidly into your bloodstream, hydrating you 2-2.5x faster and more efficiently than water alone. Sodium + potassium + glucose + water = CTT. This leading science depends on non-GMO sugar + mined salt strictly for function, not taste. Think of CTT as an expedited water delivery system in your body. The Result: Feel better. Faster. Express Lane: CTT. Slow Lane: H2O. Why Liquid I.V.? 2-2.5x Faster Hydration than Water Alone: Utilizing Cellular Transport Technology (CTT). 3x the Electrolytes of Traditional Sports Drinks. 5 Essential Vitamins: B3, B5, B6, B12 and vitamin C. Great Taste: Natural lemon lime flavor with other natural flavors. No preservatives. No artificial sweeteners. No artificial colors. FSC: Mix - Packaging. www.fsc.org. Our Mission: We've partnered with you, the LIV community, to help save lives around the world. With each purchase you make, we donate a serving of Liquid I.V. to someone in need. We are on a mission to help people live better lives everywhere, and we could not do it without you. Together, we will change the world! (hashtag)CTW.,• Vegan,• Dairy Free,• Gluten Free,• No Preservatives/No Artificial Preservatives,• Soy Free,• No Artificial Sweeteners,• No Artificial Flavors","Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Stevia Leaf Extract [rebaudioside A], Vitamin C [ascorbic Acid], Vitamin B3 [niacinamide], Vitamin B5 [d-calcium Pantothenate], Vitamin B6 [pyridoxine Hydrochloride], Natural Flavors, Vitamin B12 [cyanocobalamin].","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool dry place.","for ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.",,
"Starburst Singles To Go Blue Raspberry Drink Mix, Low Calorie",,$1.25," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ce64d4fc-6a08-4999-b3be-64852fbb08b1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c1888e2-94c3-474e-bd2e-5b3231c9d72c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2350bca-f98d-4927-8351-a90c2e59ee54.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62ecde16-7350-42db-a97a-606410d1ddbf.jpg 4x",Gluten Free,,"Experience a FRUITY BURST OF FLAVOR wherever you go with Starburst Singles To Go! Unleash the unexplainably juicy taste that follows you throughout your day.,Making your favorite drink is a breeze – JUST ADD WATER! Simply sip from a full bottle of water, pour one stick into a 16.9 fl. oz. bottle or a large glass of water, shake until well mixed, and indulge in the satisfying blend.,Enjoy ON-THE-GO CONVENIENCE with the classic Starburst taste always at your fingertips. Whether you're in the car, on a plane, or at work or school, the single stick convenience ensures a great tasting drink anytime, anywhere.,Savor guilt-free pleasure as Starburst Singles To Go drink packets are SUGAR-FREE and low-calorie water enhancers. Share the deliciousness with the whole family, knowing you can feel great about this refreshing choice.","Citric Acid, Maltodextrin, Malic Acid, Natural And Artificial Flavors, Sucralose, Contains 2% Or Less Of The Following: Magnesium Oxide, Artificial Color, Aspartame, Acesulfame Potassium, Calcium Silicate, Yellow 5, Yellow 6.adds A Dietarily Insignificant Amount Of Sugarphenylketonurics: Contains Phenylalanine",Easy to make sip: from a full bottle of water to make room for powder. Pour: one stick into a 16.9 fl. oz. bottle of water or a large glass of water. Shake: bottle or mix well until powder dissolves.,Phenylketonurics: contains phenylalanine,,
"Gatorade Zero Sugar Thirst Quencher Powder, Orange",,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2e24fc6-0562-4aeb-ab95-9298778e2f44.jpeg 4x,,,"Zero Sugar: Gatorade Zero has 0 g sugar with the same electrolytes as Gatorade thirst quencher. Rehydrate, replenish. Electrolytes to help replenish what you lose in sweat.,• Kosher,• Low Calorie,• Sugar Free/No Sugar","Citric Acid, Sodium Citrate, Salt, Monopotassium Phosphate, Modified Food Starch, Maltodextrin, Sucralose, Natural Flavor, Silicon Dioxide, Acesulfame Potassium, Yellow 6, Tocopherols (to Protect Flavor).","Directions: Add contents of one pack to 16.9 fl oz bottle of water. Replace cap, shake, and enjoy.",,,
"Liquid I.V. Hydration Multiplier, Electrolyte Drink Mix, Strawberry",,$6.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7f92ac0-ede9-40c9-aac1-302d385bf013.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c756b744-8d75-4990-b932-fb31e84ae6d6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ec3d22b-4b6f-453c-b45a-6772a04ec2d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_febb4171-c113-42a8-a0a5-61fa510a87f4.jpg 4x","Gluten Free,Soy Free",,,"Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Stevia Leaf Extract (rebaudioside-a), Vitamin C (ascorbic Acid), Natural Flavors, Vitamin B3 (niacinamide), Vitamin B5 [d-calcium Pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin B12 (cyanocobalamin).","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.","for ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.",,
Abuelita Mexican Hot Chocolate Tablets,,$8.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0410f4bd-6884-4300-8d55-f9b02c74012e.jpeg 4x,,,"Nestle Abuelita Mexican Hot Chocolate Drink Tablets Let You Treat Your Family To A Delightfully Frothy And Flavorful Cup Of Authentic Mexican Hot Chocolate Drink. The Convenient Hot Chocolate Drink Tablets Make It Easy To Make A Delicious Cup Of Mexican Hot Cocoa Drink Mix At Any Time Of Day. Simply Heat 4 Cups Of Milk And One Abuelita Hot Chocolate Drink Tablets In A Medium Saucepan Over Medium-High Heat. Whisk Constantly Until The Mixture Is Frothy And Starts To Boil. Remove From Heat And Enjoy The Warm Comfort Of Tradition. One 6 Count Box Will Make 24 Servings Of Abuelita. Once Opened, Store Unused Mexican Hot Chocolate Drink Mix Tablets In A Tightly Sealed Container In A Cool, Dry Place.,• One 6 ct box of Nestle Abuelita Mexican Hot Chocolate Tablets,• Mexican style Abuelita hot chocolate drink tablets offer a frothy, flavorful cup,• Heat Mexican style Abuelita hot cocoa drink mix tab with milk and whisk until boiling and enjoy the warm comfort of tradition,• Store unused hot chocolate drink tablets in a tightly sealed container in a cool, dry place,• Treat your family to a delightfully frothy and flavorful cup of authentic Mexican hot chocolate drink","Sugar, Chocolate, Soy Lecithin, Vegetable Oil (palm, Shea Nut And/or Illipe Nut), Artificial Flavor, Pgpr (emulsifier), Cocoa Processed With Alkali","Making Your Hot Chocolate: 1. Place: Place 1 tablet in 4 cups of milk over medium heat. 2. Stir/Boil: Stir until the tablet is dissolved. Bring to boil. Serve and enjoy! Flecks of chocolate may surface after mixing. This is perfectly natural and part of the authentic appeal of Mexican-style hot chocolate.,Once opened, store unused tablets in a tightly sealed container in a cool, dry place.","Contains: soy.,may contain egg, milk, peanut, tree nuts, wheat.",,
"Skittles Singles To Go! Original Flavor Variety Pack, Low Calorie Drink Mix",,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e02d2083-f4db-40b0-b3a4-a8534b652cac.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_00fc4fd1-a302-40a4-9361-62ba2f0afbca.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b19bde8d-d879-451c-bd1c-b03ef9b6daed.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2417728b-970b-49a3-adf5-04227eb4999f.jpg 4x",,,"Embark on a flavorful journey with Skittles Singles To Go – where the taste of the rainbow meets the convenience of on-the-go refreshment! Bursting with fruit flavor, these drink mix sticks add a delightful twist to your water, ensuring tasty excitement anywhere, anytime.,Indulge in a VARIETY PACK featuring 30 sticks, each offering a taste explosion of 4 different fruity flavors – Strawberry, Orange, Green Apple, and Grape. The vibrant spectrum of Skittles candy now transforms your hydration experience into a fruity adventure.,Experience ultimate CONVENIENCE with these individually packaged single drink mix sticks. Take the iconic taste of Skittles Candy with you wherever you venture, making it easy to elevate your water with the bold and irresistible flavors of the rainbow.","Citric Acid, Maltodextrin, Malic Acid, Natural And Artificial Flavors, Sucralose, Contains 2% Or Less Of The Following: Magnesium Oxide, Artificial Color, Aspartame, Acesulfame Potassium, Calcium Silicate, Yellow 5, Yellow 6.adds A Dietarily Insignificant Amount Of Sugarphenylketonurics: Contains Phenylalanine","JUST ADD TO WATER – Sip from a full bottle of water to make room for powder. Pour one stick into a 16.9 fl. oz. bottle or large glass of water, shake or stir until well mixed, and enjoy!",Phenylketonurics: contains phenylalanine,,
"Prime Hydration+ Sticks, Lemonade",,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc44c08b-8f60-48f1-8444-3af2aa4b41d9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10780d5e-2f6a-47bb-b981-5b5928181620.png 4x",,,,"Citric Acid, Coconut Water Concentrate, Natural Flavor, Dipotassium Phosphate, Magnesium Citrate, Sucralose, Ascorbic Acid (vitamin C), L-isoleucine, L-leucine, L-valine, Sea Salt, D-alpha Tocopheryl Acetate (vitamin E), Acesulfame Potassium, Retinyl Palmitate (vitamin A), Pyridoxine Hydrochloride (vitamin B-6), Cyanocobalamin (vitamin B-12).",{},Contains coconut,,
"A&W Drink Mix Packets, Sugar Free, Root Beer, On the Go",,$1.25, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dac2cf69-8a7a-42b2-9d98-7981d9d8154f.jpeg 4x,,,"A&W Powder Drink Mix is for consumers looking for a fun way to flavor their water without all of the extra sugar. Easily make your own flavored water at home or on the go with these portable drink mix sticks. To use, mix 1 packet with 16 fl oz of water. Use with your sodastream to make A&W flavored sodas or pack in your children’s lunch box to have them be the most popular kid at the lunch table. A&W drink mixes will have the whole family drinking 8+ glasses of water each day!","Maltodextrin, Aspartame+, Caramel Color, Natural & Artificial Flavor, Acesulfame Potassium, Contains Less Than 2% Of Silicon Dioxide.",Directions: Empty one packet into a 16.9 fl oz. bottle of water. Shake or stir until dissolved. Enjoy! Easy to Make: 1. Empty one packet into a 16.9 fl oz. bottle of water. 2. Shake or stir until dissolved. 3. Enjoy!,Phenylketonurics: contains phenylalanine,,
Crystal Light Pink Lemonade Naturally Flavored Powdered Drink Mix,$5.19,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d218ab28-03bd-43d7-b5aa-a7087e59c30c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5208ee3c-c64b-446d-9295-8a4d4a260686.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27151a1c-65d0-416e-b757-aec497565839.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9244f034-a900-47a5-99e1-1d43e539e9db.jpg 4x",Gluten Free,,"Crystal Light Naturally Flavored Pink Lemonade On-the-Go Powdered Drink Mix is a refreshing beverage you can enjoy any time of day. With zero grams of sugar and 10 calories per packet, Crystal Light lemonade mix is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 10 calories, leading beverages 70 calories), so you don't have to choose between taste and calories. Our water flavor drink packets are made with natural flavors for a refreshingly smooth taste. Each 0.13 ounce single serve packet in this 10 count box of powdered lemonade drink mix is perfectly portioned to flavor a bottle of water with Crystal Light sugar free lemonade, so you can enjoy citrus flavor on the go. Simply mix one pink lemonade water enhancer packet with a bottle or glass of water, shake or stir, and enjoy! All the flavor and only 10 calories, just the way you like it.,• Ten 0.13 oz packets of Crystal Light Naturally Flavored Pink Lemonade On-The-Go Powdered Drink Mix,• Crystal Light Naturally Flavored Pink Lemonade On-the-Go Powdered Drink Mix is a revitalizing water enhancer that helps keep you hydrated and happy,• Each drink mix packet makes one serving when combined with a 16.9 fl oz bottle of water,• Our flavored water powder contains zero sugar and 10 calories per packet for a guilt-free refreshment,• Made with natural flavors for a refreshing taste,• 90 percent fewer calories than leading beverages,• Comes in a variety of sizes for all your beverage needs,• SNAP & EBT eligible food item","Citric Acid, Potassium Citrate, Maltodextrin, Aspartame†, Magnesium Oxide, Contains Less Than 2% Of Natural Flavor, Acesulfame Potassium, Soy Lecithin, Artificial Color, Red 40, †phenylketonurics: Phenylalanine Contains","Makes 2 Servings.,1. Empty 1 Packet Into 16.9 Fl. Oz. Bottle Of Water, Replace Cap. (Or) Empty 1 Packet Into Tall Glass And Add 2 Cups Water.,2. Shake Or Stir Until Dissolved, And Enjoy!",Phenylketonurics: contains phenylalanine contains: soy.,,
