Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free,"Imagine drizzling rich, fruity goodness onto your pancakes or waffles. Picture yourself sipping a refreshing drink bursting with flavors of juicy blackberries. With Torani Blackberry Syrup, you can make these delicious dreams a reality. Made with real sugar and natural flavors, this syrup is perfect for adding a touch of sweetness to your drinks and desserts. At only 90 calories per serving, it's an indulgent treat that won't derail your healthy eating goals. And with Instacart's same-day delivery or pickup, you can enjoy the tangy taste of ripe blackberries whenever you want them!","Indulge in the sweet, tropical taste of fresh passion fruit with Torani Passion Fruit Syrup. This golden syrup delivers a distinct, ripe flavor without being too strong or tart. Made with natural ingredients like pure cane sugar and cold-filtered water, this syrup is perfect for adding a fruity twist to your iced teas, lemonades, cocktails, and more. Torani's expertly crafted syrups have been a go-to for mixologists since 1925 and are now available for Instacart same-day delivery or pickup. Elevate your beverage game with the lush taste of fresh passion fruit—your taste buds will thank you!","Satisfy your craving for tart and fruity with Torani Pomegranate Syrup. This intense red syrup packs a punch of pomegranate flavor that is never too sweet. Thanks to its gluten- and fat-free formulation, Torani Pomegranate Syrup makes a great addition to drinks, desserts, and more without adding extra calories. Impress your guests with a pomegranate soda or add this syrup to your favorite cocktail for an elevated drink experience. Made with natural flavors and pure cane sugar, this kosher-certified syrup is a must-have for any food lover's pantry. Get Torani Pomegranate Syrup today through Instacart's same-day delivery or pickup!",Egg Free,"Savor the taste of freshly toasted marshmallows in your drink with Torani Toasted Marshmallow Syrup! Made with natural flavors, pure cane sugar, and cold-filtered water, this syrup delivers an authentic and not-too-sweet taste to your favorite drinks. Perfect for hot or iced coffee-based beverages, espresso drinks, dessert cocktails, and shakes, this syrup pairs well with chocolate and caramel flavors. Torani Original Syrups provide gold-standard flavors without curdling in milk. Founded in 1925 in San Francisco, Torani has a portfolio of over 150 syrups used globally. Instacart offers same-day delivery or pickup—indulge today!","Make your coffee a masterpiece with Torani Tiramisu Syrup, perfect for Instacart same-day delivery or pickup. This non-alcoholic and caffeine-free syrup evokes the flavors of the celebrated Italian dessert, with rich mascarpone, coffee-soaked ladyfingers, and Marsala wine. Made with natural ingredients like pure cane sugar and citric acid, it's also suitable for vegans, vegetarians, and those who keep kosher. You'll love how this syrup adds a touch of decadence to your drinks without any added fats or gluten. Try it in your latte or mocha and experience the delicious taste of tiramisu in every sip.","Craving the taste of raw cookie dough? Look no further than Torani Chocolate Chip Cookie Dough Syrup, now available on Instacart for same-day delivery or pickup. This syrup packs bakery notes and rich butter flavor into every drop, with just a touch of salt to balance the sweetness. And the best part? It's fat-free, gluten-free, and kosher, so everyone can enjoy it guilt-free. With only 90 calories per serving and 22 grams of sugar, you can add this syrup to your mocha or any drink for a delicious treat. Don't wait—indulge in the taste of cookie dough without the raw eggs!","Satisfy your coffee cravings with Bosco Coffee Flavored Syrup, now available on Instacart for same-day delivery or pickup. This 22 oz bottle of goodness is made with high fructose corn syrup, water, natural coffee flavor, potassium sorbate, sodium benzoate, salt, sodium bisulfate, and caramel color. The fat-free and gluten-free syrup is also kosher and vegetarian-friendly. Each serving of 20 g contains only 50 calories and no cholesterol or fat. With a delicious taste of coffee in every pour, you can elevate your morning pancakes or french toast to the next level. Try Bosco Coffee Flavored Syrup today on Instacart!","Savor the sweet taste of summer with Torani Peach Puree Blend, perfect for smoothie lovers. Made from real peaches, this puree blend packs a punch of natural fruity flavor without any artificial sweeteners. Each serving contains only 70 calories, making it an excellent option for those who want to indulge in a delicious beverage without the guilt. This product is conveniently available on Instacart for same-day delivery or pickup at your local store, making it easier than ever to enjoy a refreshing smoothie whenever you want. Simply blend with your favorite ingredients and you'll be transported to a sunny day no matter where you are!"
Torani Coconut Syrup,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_99c0536f-50bb-448b-a240-cd7494c37f4c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_50edf056-bd01-49e6-bf1e-fe98c712f7de.png 4x",Gluten Free,,"Say aloha to this Hawaiian-inspired syrup. Full-flavored coconut evokes the sweetness you'll love. Couple that with a smooth creaminess that coconut's prized white meat is known for and you're one torch shy of a tiki bar. Perfect for beverages and great as a dessert topping! Torani syrup is also tasty added to coffee, cocoa, mochas, protein drinks, mixed drinks, frappes, smoothies and even as the secret ingredient in home-baked treats. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Torani Flavored Syrups are made with pure cane sugar, natural flavors, and cold-filtered water.,In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. The first flavors are Anisette, Grenadine, Lemon, Orgeat, and Tamarindo. By 1933 and the end of Prohibition, Ezilda is one of the first female rectifiers of distilled spirits in the US. She leads Torani through the Great Depression and WWII. In 1982 our Vanilla helps create some magic and is used in the first flavored latte. After seeing its success, we begin to focus on the specialty coffee industry. Our “mmm” factor. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. That’s a lot of flavor—how do we do it? Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. It’s not magic, but it gives you the power to create some pretty magical drinks. For the love of flavor. Our purpose is “Flavor for all, Opportunity for all.®” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Liven up a coffee, add pizzazz to a soda, or put more oomph in your iced tea. There’s no wrong way to go about it. We have flavors for every moment, so you can flavor your way, no matter where life takes you. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Key Features: Rich, coconut flavor. Made with natural flavors and cold filtered water. Made with pure cane sugar. Can replace regular sweeteners in coffee, cocoa, handcrafted soda, iced tea, lemonade, mocktails, cocktails protein drinks, smoothies, and mixed drinks.","Pure Cane Sugar, Water, Natural Flavors, Citric Acid, Potassium Sorbate (to Preserve Freshness), Sodium Benzoate (to Preserve Freshness).",Perfect Flavor For: Handcrafted sodas; Iced coffees; Brewed coffees.,Provided by retailers,,,,,,,,,,
"Torani Syrup, Blackberry",,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_806a5cb9-5dfc-4b91-991d-e502909063cc.png 4x,,,,"Pure Cane Sugar, Water, Citric Acid, Natural Flavors, Caramel Color, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Fd&c Red #40",Perfect flavor for: handcrafted sodas; iced teas; lemonades.,,,,,,,,,,,
"Matouk's Drink Concentrate, Mauby",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40ed4a58-96e8-4342-8fd7-7c05278ea79d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8f34e97-b773-447b-9ed9-ae210cdd903e.png 4x",,,Sealed for your protection. Fax: (868) 642-2640. Product of Trinidad & Tobago.,"Water, Cane Sugar, Mauby Bark Extract, Glucose, Caramel Colour (gluten-free), Citric Acid, Less Than 0.1% Sodium Benzoate (added As A Preservative), Natural Spice Flavours And Antifoam Agent (mono - / Di - Glycerides).",Refrigerate after opening.,Produced in a facility that processes peanuts.,,,,,,,,,,
"Grace Syrup, Fruit Punch",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c278bb5-ad2e-4fc3-85c0-a382335ac9f9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4948b731-4d54-4d05-bfe2-7e7064b84920.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d7b9fdc-c4a8-481b-81be-4608487181e5.png 4x",,,,"Cane Sugar, Water, Artificial & Natural Flavors, Citric And (acidulant), Food Color Fd& C Red #40, Sodium Benzoate (as A Preservative).",Traditionally used for pouring over crushed ice and in milk. Dilute to taste with water or milk.,,,,,,,,,,,
Jordan's Skinny Mixes Cinnamon Dolce Syrup,,$6.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75820111-56ac-4111-9024-575358ff870a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67f34c13-0ce0-4fe7-8b7b-1b51a5d58cf5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_727bbbbe-1df5-4176-96b6-310705d7753e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5d6cb673-5180-4ef8-9062-34aa98e1919e.jpg 4x",Gluten Free,,,"Water, Erythritol, Molasses, Cellulose Gum, Stevia, Natural Flavors, Citric Acid, Monk Fruit Extract, Sodium Benzoate (preservative), Potassium Sorbate (preservative), Fruit And Vegetable Juice (for Color).",,,,,,,,,,,,
"Torani Syrup, Sugar Free, Raspberry",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5406455c-71d0-4b8c-ad43-3ffc5e4083dd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_261aea4b-4cab-41e7-afc5-a8d1f2002741.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_202e33a8-1290-4e9c-bdb1-de7fa675a6ac.png 4x",,,,"Water, Citric Acid, Acesulfame Potassium, Sodium Benzoate (to Preserve Freshness Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose Caramel Color, Natural Flavors FD&C Red 40.",Perfect Flavor for: Handcrafted sodas; iced teas; lemonades.,,,,,,,,,,,
"Grace Syrup, Flavored, Pineapple Orange",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_511f9221-2862-4c03-ba58-63721ca2fbaa.png 4x,,,Natural & artificial flavouring. Quality since 1922. Traditionally used for pouring over crushed ice and in milkshakes. Product of Jamaica.,"Sugar, Water, Approved Natural and Artificial Flavours, Citric Acid (Acidulant), Less than 0.1% Sodium Benzoate (as a Preservative), Approved Colour FD&C Yellow 5 & 6.",Dilute to taste with water or milk.,,,,,,,,,,,
Torani Salted Caramel Syrup,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e86a6659-2ba0-44d9-bdc3-ca406b0cfe03.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ebb1a4e7-a64a-4779-8547-060f8db4a925.png 4x",Gluten Free,,"First comes the sweet and then comes the salty. This syrup keeps you on your toes. Rich buttery caramel kicks things off. And just when you thought that was it, a touch of saltiness appears – and the ride continues. Hop on and enjoy. Perfect for beverages and great as a dessert topping! Torani syrup is also tasty added to coffee, cocoa, mochas, protein drinks, mixed drinks, frappes, smoothies and even as the secret ingredient in home-baked treats. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Torani Flavored Syrups are made with pure cane sugar, natural flavors, and cold-filtered water. In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. The first flavors are Anisette, Grenadine, Lemon, Orgeat, and Tamarindo. By 1933 and the end of Prohibition, Ezilda is one of the first female rectifiers of distilled spirits in the US. She leads Torani through the Great Depression and WWII. In 1982 our Vanilla helps create some magic and is used in the first flavored latte. After seeing its success, we begin to focus on the specialty coffee industry. Our “mmm” factor. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. That’s a lot of flavor—how do we do it? Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. It’s not magic, but it gives you the power to create some pretty magical drinks. For the love of flavor. Our purpose is “Flavor for all, Opportunity for all.®” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Liven up a coffee, add pizzazz to a soda, or put more oomph in your iced tea. There’s no wrong way to go about it. We have flavors for every moment, so you can flavor your way, no matter where life takes you. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Key Features: Rich, buttery caramel with a touch of salt. Made with natural flavors and cold filtered water. Made with pure cane sugar. Use in desserts or over ice cream to add unique flavor. Can replace regular sweeteners in coffee, cocoa, smoothies, and mixed drinks.","Pure Cane Sugar, Water, Natural Flavors, Salt, Citric Acid, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Caramel Color.",Perfect flavor for: lattes; iced coffees; milk shakes.,Provided by retailers,,,,,,,,,,
Torani Sugar Free Caramel Classic Syrup,,$8.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_690a6e15-f5f6-414c-9a21-2ff94bfcbc42.png 4x,,,"Buttery? Rich? We are sold. This sweet treat conjures up childhood memories of nibbling soft caramel chews. Or perhaps the smell of caramel you love from that small downtown bistro. Point is: caramel makes most everything better. And that drink in your hand is no exception.,Caramel, without the calories. We like the sound of that. With a dark, caramelized aroma, this syrup evokes the taste of hard caramel candies with brown sugar notes with none of the calories. Our flavor experts and Splenda® make it happen. Enjoy all of this without the calories. This flavor is sweetened with sucralose, so enjoy yourself guilt-free. Perfect for beverages! Torani Sugar-Free syrup is also tasty added to coffee, cocoa, mixed drinks, frappes, ice coffee, cold brew and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. The first flavors are Anisette, Grenadine, Lemon, Orgeat, and Tamarindo. By 1933 and the end of Prohibition, Ezilda is one of the first female rectifiers of distilled spirits in the US. She leads Torani through the Great Depression and WWII. In 1982 our Vanilla helps create some magic and is used in the first flavored latte. After seeing its success, we begin to focus on the specialty coffee industry. Our “mmm” factor. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. That’s a lot of flavor—how do we do it? Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. It’s not magic, but it gives you the power to create some pretty magical drinks. For the love of flavor. Our purpose is “Flavor for all, Opportunity for all.®” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Liven up a coffee, add pizzazz to a soda, or put more oomph in your iced tea. There’s no wrong way to go about it. We have flavors for every moment, so you can flavor your way, no matter where life takes you. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Key Features: The rich, buttery flavor just like the caramel candy chew. Low calorie. Torani Sugar Free Syrup is sweetened with sucralose. Can replace regular sweeteners in coffee, cocoa, ice coffee, cold brew coffee and mixed drinks.","Purified Water, Citric Acid, Acesulfame Potassium, Natural Flavors, Sodium Benzoate And Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose, Caramel Color.",{},Provided by retailers,,,,,,,,,,
Torani Watermelon Syrup,,$12.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c0ccdc8-9024-4c5d-8a1d-ca1726b31940.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ffe8a896-e71e-41b1-83c9-449e44454ea1.png 4x",Gluten Free,,"Watermelon. That summer refreshment you know and love. You're back from the beach and there it is, sliced up looking all red and juicy, inviting you to the table. We captured the essence of summer within this syrup. We like to cool off by mixing it in our sodas, teas and granitas. Flavor for all. Opportunity for all.","Pure Cane Sugar, Water, Natural Flavors, Malic Acid, Sodium Benzoate (to Preserve Freshness), And Fd&c Red #4.",{},Provided by retailers,,,,,,,,,,
Torani Sugar Free Coconut Syrup,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f34edec-dece-4620-8bff-ddb07ff7833f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddc20051-6f15-402b-acf8-81536de9e104.png 4x",,,Aloha means hello and goodbye. So you can say aloha (hello) to the great coconut taste. And aloha (buh-bye) to the sugar. This Hawaiian-inspired full-flavored syrup evokes the sweetness you'll love. Looks like the tiki bar is going to be busy tonight.,"Water, Natural Flavors, Citric Acid, Acesulfame Potassium, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Sucralose.",Perfect Flavor for: Handcrafted sodas; iced coffees; brewed coffees.,Provided by retailers,,,,,,,,,,
Torani Passion Fruit Syrup,$10.09,$10.66," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1df0d52-2b38-421f-ad06-c8ea5b096658.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_54a6cc5a-3284-4177-a017-b8ed3726a7ef.png 4x",Gluten Free,,"If the exotic bouquet doesn't seduce you, then the pure and sweet juiciness surely will. Mix up a drink, close your eyes, and sail away. Bring the lush, tropical taste of fresh passion fruit to your drinks with this Torani Passion Fruit flavoring syrup. This flavor syrup will add the authentic taste of passion fruit to your drinks without being too strong or too tart. This Torani passion fruit drink syrup delivers the distinct flavor of ripe passion fruit into your favorite drinks and desserts. The bright, flavorful taste of passionfruit provides a delicious addition to any drink. Golden and distinct, you can use this passion fruit syrup for tea and soda syrup for iced teas, lemonades, snow cones, sparkling waters, handcrafted sodas, Italian sodas, smoothies, cocktails, mocktails, and more. Made with pure cane sugar, natural flavors and cold-filtered water, Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of syrups to create unique custom flavors. The possibilities are endless. In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the lush taste of ripe passion fruit in this premium flavored syrup. Fruity and tempting, this distinct syrup is sweet and ripe on the palate. Made with natural flavors, pure cane sugar, and cold filtered water. The gorgeous golden hue catches your eye. Use in iced teas, lemonades, handcrafted sodas, smoothies, mocktails, cocktails and more. Compatible with a .25 oz. syrup pump (sold separately) to measure and cleanly dispense. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Proudly created and produced in San Francisco, California USA.","Pure Cane Sugar, Water, Natural Flavors, Citric Acid, Sodium Benzoate (to Preserve Freshness), Malic Acid, Fd&c Yellow #5, Fd&c Yellow #6.",,Provided by retailers,,,,,,,,,,
"Torani Syrup, Puremade, Vanilla",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_923709aa-7f34-409b-93f5-5c02cf92ced6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a3c53f0-f1f3-42c6-8cee-26a14c334fd0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7656c3ce-93ac-4dbd-80cc-64c1e442298e.png 4x",,,"No artificial colors or flavors. Gluten free. No GMO or artificial preservatives. At Torani, we've been in love with flavor since 1925. Our Puremade line is crafted with no artificial anything, so you can enjoy amazing flavor, naturally. www.Torani.com. Certified B Corporation. Made in USA.","Pure Cane Sugar, Water, Natural Flavors, Citric Acid.",{},,,,,,,,,,,
Torani Pomegranate Syrup,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e583705b-4f88-4faa-9948-3c3f73b5b368.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47631e0e-551c-4799-9593-9c4bab38ffde.png 4x","Gluten Free,Milk Free",,We took the hard work out of dealing with pomegranates. All for your benefit. We've replicated pomegranate taste in an intense red syrup that offers a pleasant tart flavor. And it's never too sweet. A pomegranate soda will impress even the toughest customer. Flavor for all. Opportunity for all.,"Pure Cane Sugar, Water, Natural Flavors, Tartaric Acid, Sodium Benzoate (to Preserve Freshness), Caramel Color, Fd&c Red #4.",Perfect Flavor for: Handcrafted sodas; iced teas; lemonades.,Provided by retailers,,,,,,,,,,
Torani Caramel Puremade Syrup,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c32f86d-a05a-4b07-9332-794a97fe4a7e.jpg 4x,,,,,,,,,,,,,,,,
Torani Cinnamon Syrup,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_caacd0fe-01b6-46a7-ad4d-1d980efc77f0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9176c07f-f8ca-4c6c-b405-ec0c2f430b29.png 4x","Gluten Free,Milk Free",,"With an aroma almost as rewarding as its fragrance, flavor your beverage with the spice of life. Bring the fragrant flavor of warm and inviting cinnamon spice to your drinks with this Torani Cinnamon Syrup. This flavor syrup will authentically enhance the taste of your drinks without being too strong or too sweet. This Torani coffee flavoring syrup simply delivers the warm and inviting flavor of cinnamon into your favorite drinks and desserts. Bring the bold, versatile flavor of cinnamon to spice apple cider and other hot drinks in colder months and refreshing fruity sangrias when the weather is warm. With an aroma almost as delightful as its flavor, you can use this distinctive spicy and sweet cinnamon syrup for coffee and espresso-based beverages, as well as cider, dessert cocktails and shakes. Made with pure cane sugar, natural flavors and cold-filtered water, Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of syrups to create unique custom flavors: This syrup is specially formulated to resist curdling in milk, so it's perfect for specialty coffee drinks like espresso-based drinks, coffee, or tea. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the sweet and spicy taste of cinnamon in this premium flavored syrup. Bold and aromatic, this syrup perfectly captures the bold flavor of cinnamon spice. Made with natural flavors, pure cane sugar, and cold filtered water. The warm brown hue captures the essence of cinnamon. Use in hot and iced coffee- and espresso-based beverages as well as ciders and more. Compatible with a .25 oz. syrup pump (sold separately) to measure and cleanly dispense. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Proudly created and produced in San Francisco, California USA.","Pure Cane Sugar, Water, Natural Flavors, Citric Acid, Potassium Sorbate (to Preserve Freshness), Sodium Benzoate (to Preserve Freshness), Caramel Color.",,Provided by retailers,,,,,,,,,,
Torani Sugar Free Strawberry Syrup,,$8.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1376124c-4947-4d1b-b8b7-5011da04afdb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ba4d0b0-4b98-4148-83fb-fe9cbc0da55c.png 4x","Gluten Free,Milk Free",,"Strawberries awake memories of spring and summer. But you can enjoy this treat all year round. Keep a bottle of this syrup on hand and you're never far away from a berry-rich treat. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. The first flavors are Anisette, Grenadine, Lemon, Orgeat, and Tamarindo. By 1933 and the end of Prohibition, Ezilda is one of the first female rectifiers of distilled spirits in the US. She leads Torani through the Great Depression and WWII. In 1982 our Vanilla helps create some magic and is used in the first flavored latte. After seeing its success, we begin to focus on the specialty coffee industry. Our “mmm” factor We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. That’s a lot of flavor—how do we do it? Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. It’s not magic, but it gives you the power to create some pretty magical drinks. For the love of flavor Our purpose is “Flavor for all, Opportunity for all.®” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Liven up a coffee, add pizzazz to a soda, or put more oomph in your iced tea. There’s no wrong way to go about it. We have flavors for every moment, so you can flavor your way, no matter where life takes you. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Key Features: Rich strawberry flavor. Low Calories. Torani Sugar Free Syrup is sweetened with sucralose. Can replace regular sweeteners in smoothies and mixed drinks.","Purified Water, Natural Flavors, Citric Acid, Tartaric Acid, Sodium Benzoate And Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose, Acesulfame Potassium And Fd&c Red #4.","Perfect Flavor For: Handcrafted sodas, iced tea, lemonades.",Provided by retailers,,,,,,,,,,
