Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free
"Pure Leaf Iced Tea, Raspberry",$3.09,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2acd28c8-91de-4a3e-97da-bf44a3b36974.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2871469-d872-4328-8714-0f4f39b8f782.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_80d826c7-3a99-4230-a301-3192a2c20ac6.png 4x","Congratulations! You just picked real brewed iced tea, which means it's brewed from REAL tea leaves picked at their freshest, never from powder or concentrate (like some other iced teas). Plus, it's sweetened with real sugar, with no added color. So, enjoy the delicious and refreshing taste of tea, brewed for you by Pure Leaf. To learn more about Pure Leaf go to www.pureleaf.com","Brewed Black Tea*, Sugar, Citric Acid, Natural Flavor, Citrus Pectin.",Refrigerate after opening.,,,
Bigelow Earl Grey Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0d749d8-ba1a-4606-b823-9e6895846f49.png 4x,"We only use 100% real bergamot oil from Calabria, Italy and blend it with hand-picked black tea grown high up in the mountains.,• Hand-Picked tea leaves from high elevation gardens expertly blended with pure bergamot oil from Calabria, Italy,• Gluten–free, Non-GMO, Kosher Parve, Kosher for Passover,• 20 Tea bags, individually wrapped in foil pouches for peak flavor, freshness and aroma,• Each Ingredient has been carefully selected by the Bigelow Family to deliver an uncompromised quality tea experience","Black Tea, Natural Oil Of Bergamot","How to make a perfect cup. Start with fresh cold water and bring to a rolling boil. Pour over tea bag, steep for 2 - 4 minutes (or whatever time you like), remove bag. For iced tea by the glass, steep longer & pour over ice. Enjoy!",,Gluten Free,
"AriZona Green Tea, Zero Calorie, with Ginseng",$4.59,$5.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28eaa080-4180-46e6-ab6c-aa7fb775a114.jpeg 4x,Drinkarizona.com. Antiox: Vitamin C antioxidant. For more information about Arizona call 1 800 832 3775. Visit us at www.Drinkarizona.com. Visit us at www.drinkarizona.com. Great hot! 100% natural tea. No preservatives. No artificial color. No artificial flavor. SueBee premium orange honey. Arizona: An American company.,"Premium Brewed Blend Of Green Teas Using Filtered Water, Honey, Natural Flavors, Citric Acid, Ascorbic Acid (vitamin C), Sucralose, Acesulfame Potassium, Sodium Citrate, Ginseng Root Extract",Shake well. Refrigerate after opening.,Contains a small amount of honey,,
"Twinings Herbal Tea, Lemon & Ginger, Tea Bags",$4.59,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7973e4a-1d2b-41fe-a1a4-ea6612c248a7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb644e70-f79b-408f-b7cb-1fcf4dc53898.png 4x","A comforting herbal tea made with spicy ginger and the tangy flavour of lemon.,The Twinings Story,In 1706, Thomas Twining began selling fine tea from an English storefront in the Strand, London. Today, Twinings continues to sell some of the world’s best teas from the original store and in more than 100 countries throughout the world.,Twinings is delighted to offer this special edition that celebrates Disney’s Beauty and the Beast cinematic event.,So, be our guest and enjoy this comforting herbal tea expertly blended with ginger and the tangy flavor of lemon to deliver a soothing tea with a warm, inviting aroma and spiced lemon taste.","Ginger Root, Natural Lemon And Ginger Flavours With Other Natural Flavours, Lemongrass, Blackberry Leaves, Lemon Peels.","Want tips on how to make it? Hot Tea: Pour boiling water over tea bag. Steep for 3-4 minutes, remove & enjoy! Iced Tea: Fill half a pitcher with boiling water, steep 4 tea bags 3 minutes, remove, add ice to desired strength. Or use 1 tea bag in a heat-resistant glass. Enjoy immediately!,Enjoy hot or iced!,Store in a cool, dry place.,Best before date.",,,
"Twinings Black Tea, Pure, English Breakfast, Tea Bags",$4.59,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c6e250b-3e54-4f72-b167-4037b9502ad1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17799825-65cb-41ab-966b-72ff383a7d0a.png 4x","Non GMO Project verified. nongmoproject.org. By appointment to her Majesty Queen Elizabeth II. Tea and Coffee Merchants R. Twining and Company Limited, London. 20 individual tea bags sealed for freshness. Enjoy the smooth, full-bodied taste of this classic tea any time of the day. Tea Profile: Strength. Notes: Smooth, flavorful, robust. Origins: Malawi, Kenya and Assam. The Twinings of London Story: In 1706, Thomas Twining began selling fine tea from an English storefront in The Strand, London. Today, Twinings continues to sell some of the world% best teas from the original store and in more than 100 countries throughout the world. Over 300 years of experienced. Est. 1706. Master Blender's Notes: Notes: Smooth, flavorful, robust. Colour: Bright, coppery-red. Strength. Sleep Time: 4 minutes (Recommended). English Breakfast is our most popular tea. To create this well-balanced blend, we select some of the finest teas each with its own unique characteristics. Tea from Kenya and Malawi, provides the briskness and coppery red colour while Assam gives full body and flavour. The robustness from these regions is complemented by softer teas from other regions. This combination yields a complex, full bodied, lively cup of tea that is perfect any time of day. - Jeremy Sturges, Master Blender. www.twiningsusa.com To discover more about these fine teas, please visit us at www.twiningsusa.com. For questions or comments. Please contact us at: www.triningsusa.com or call us at 1-800-803-6695. Find out about our membership of: www.ethicalteapartnership.org. Working for a responsible tea industry. Explore the entire world of Twinings 100% pure black teas. Tea Blend: Ceylon Orange Pekoe; Strength: 3; Notes: Bright crisp, refreshing. Tea Blend: English Afternoon; Strength: 3; Notes: Smooth, refreshing, slightly sweet. Tea Blend: English Breakfast; Strength: 3; Notes: Smooth, flavourful, robust. Tea Blend: Irish Breakfast; Strength: 4; Notes: Thick, malty, full-bodied. Tea Blend: Lapsang Souchong; Strength 4; Notes: Smoky, pungent, Woody. Tea Blend: Prince of Wales; Strength: 2; Notes: Soft, Smooth, Mild. Enjoy all 50 varieties of Twinings Premium Teas. Black, Green, Herbal, Chai, K-Cup Packs, Organi & Fair Trade Certified, Cold Brewed Ice Tea.",Fine Black Tea,"Want tips on how to make it? Hot Tea: Pour boiling water over tea bag, steep for 3-5 minutes, remove & enjoy! Iced Tea: Fill half a pitcher with boiling water, steep 4 tea bags 3 minutes, remove, add ice to desired strength. Or use 1 tea bag in a heat-resistant glass. Enjoy immediately! Drink hot or iced.,Store in a cool, dry place.,Best before date.",,,
"Brisk Iced Tea, Lemon",,$2.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13f1044f-bbe6-4d5d-a5b1-6aaa9bc395a5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa2c85b9-7a60-40f4-888f-3ac1a0997c2c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_15dcd9b6-cb6b-4459-8c4d-45d3643d1ca3.png 4x",Flavor with other natural flavors. 70 calories per 12 fl oz serving. Caffeine Content: 8 mg/12 fl oz; 23 mg/1 l. Artist: JT Daniels. Drinkbrisk.com. We're here to help. DrinkBrisk.com or 800-657-3001. Please recycle.,"Water, High Fructose Corn Syrup, Citric Acid, Sodium Polyphosphates (to Protect Flavor), Black Tea Powder, Natural Flavor, Phosphoric Acid, Sodium Benzoate (preserves Freshness), Potassium Sorbate (preserves Freshness), Acesulfame Potassium, Sucralose, Calcium Disodium Edta (to Protect Flavor).",{},,,
"AriZona Sweet Tea, Southern Style",$6.09,$7.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c24cf3b-e70a-4661-b491-300f440c975a.jpeg 4x,Real brewed. Original brand. 100% natural. No preservatives. No artificial color. No artificial flavor. Visit us at www.drinkarizona.com. Facebook. Instagram. Twitter. For more information about Arizona call 1-800-832-3775. An American company. Family owned & operated.,"Premium Brewed Blend Of Black Teas Using Filtered Water, High Fructose Corn Syrup (glucose-fructose Syrup), Citric Acid, Natural Flavors.",Shake well. Refrigerate after opening.,,,
Celestial Seasonings Chamomile Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aa0758a5-d866-41f0-bbae-0ab5f3d00a0a.png 4x,"The Story of Celestial Seasonings®,Back in 1969, we started picking herbs from the fields and forests of the Rocky Mountains and in the process, we created America's very first herbal tea. Still blended in Boulder by our expert blendmaster, our uniquely delicious teas are made with the finest ingredients, passion and inspiration.,Blendmaster's Notes,Chamomile,""Cherished since the days of the ancient Egyptians as an antidote to life's complications, chamomile is beloved today for its soothing aroma and subtle sweet apple flavor. We blend the finest chamomile flowers from around the world to create a relaxing cup you can take comfort in any time of day."",Charlie Baden,,Celestial Seasonings Blendmaster",Chamomile,{},,Gluten Free,
Gold Peak Sweetened Black Iced Tea Drink,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d7048ebf-e3cd-4d7a-8069-f1ab8c71540f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f39a5106-2864-4c4f-979e-6ea5d7aeee8f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_761a5bdf-14b1-46b5-a57f-bda64a27a5a4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2c0d49c-c726-41cd-a80e-e1a57b585cc0.jpg 4x","Gold Peak is real brewed tea made from tea leaves picked for peak taste - enjoy Gold Peak Sweet Tea made with real cane sugar. Perfect for the whole family, these convenient bottles let you take real brewed tea wherever you go.,Whether it’s a picnic in the park, watching the game, or a backyard barbeque, get that delicious fresh brewed flavor with every sip of Gold Peak Sweet Tea. Gold Peak uses cane sugar and pure filtered water for a difference you can taste.,Gold Peak has a variety of real brewed flavors that pair marvelously with any occasion, from unplanned get-togethers, to holiday traditions. And the fresh flavor makes any meal feel like home cooking, whether it’s lunch on-the-go or family takeout night, Gold Peak’s real taste will match those real moments.,There’s a variety of Gold Peak Teas to choose from, whether you like zero-sugar teas, sweetened real brewed teas or unsweetened real brewed tea options. We have a collection of classic flavors like Gold Peak Lemon Tea, Gold Peak Green Tea and Gold Peak Lemonade Tea and even offer refreshing flavors that are available nationally, like California Raspberry Tea and Georgia Peach Tea.,Real Brewed. Real Tea. Real Good.,• Gold Peak Real Brewed Sweet Black Tea,• High quality tea leaves make for a flavor so refreshing you’ll swear it was homemade,• Sweetened with real cane sugar for a deliciously real brewed sweet tea,• 18.5 fl oz bottle of Gold Peak Sweet Tea,• Enjoy the taste of Gold Peak Real Brewed Tea in a variety of flavors","Brewed Tea (filtered Water, Black Tea Leaves), Cane Sugar, Phosphoric Acid",Refrigerate after opening.,,,
Pure Leaf Tea No Lemon Iced Tea,$5.89,$6.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46dad382-9efb-45fe-ba2d-445ab0b689e3.jpeg 4x,"At Pure Leaf, no is at the heart of mastering tea. We say no to artificial flavors, no to tea powders and concentrate, and no to anything that doesn't make our iced tea better. Let's say no to the things that don't matter - in tea and in life - so we can say yes to more things that do.,• Sweet Tea brewed from real tea leaves picked at their freshest, never from powder or concentrate,• Brewed from black tea,• Sweetened with real sugar,• Classic sweet tea flavor,• 64 oz bottle to share with friends and family","Brewed Black Tea*, Sugar, Citric Acid.",Please Recycle,,,
"Snapple Tea, Peach, Diet",$4.09,$5.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5301c0ed-5a50-4054-8dbb-e9fd2487d195.jpeg 4x,"To peach their own, but we think our Snapple Zero Sugar Peach Tea is perfectly peachy. Big on flavor and low in calories, Snapple Zero Sugar Peach Tea is made from the finest blend of black and green tea leaves and our classic peach flavor. Do yourself a flavor! Snapple Zero Sugar Peach Tea contains zero sugar and is low in calories, gluten-free, and naturally flavored. Even better, our 16oz and 20oz bottles are recyclable and made from 100% recycled plastic, excluding the cap and label. Snapple always brings the flavor. That's what we have been doing ever since we were a small brand created by three friends in the New York area. We started out by selling our apple juice to health clubs in 1973. Since then, we have expanded our flavor portfolio throughout the 80s into teas, fruit drinks, and lemonades. Snapple went national in the early 90s, and now you can find us in more than 30 flavors and in all 50 states across the country. And for an extra dose of fun, don't forget to check out our Snapple 'Real Facts' under our caps!","Our Real Tea Starts With The Finest Tea Leaves And Is Made From: Filtered Water, Citric Acid, Tea, Aspartame, Potassium Citrate, Natural Flavors, Malic Acid.","Shake it! Then shake the bottle too. Setting is natural.,Refrigerate after opening.",Phenylketonurics: contains phenylalanine.,Gluten Free,
"Snapple Tea, Peach",$4.79,$5.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ae4af9c-6c01-4dc1-9c93-021dfeda1129.jpeg 4x,"Get ready for Snapple Peach Tea, a great-tasting combo of green and black tea plus sweet peach. At Snapple, we believe life’s a peach. We’ve been living this mantra since the 80s. Back then, we were a small brand created by three health-food store owners in the New York area. We began by selling our apple juice to health clubs in 1973. Diversifying our flavor portfolio throughout the 80s into teas, fruit juices and lemonades, Snapple went national in the early 90s. Now you can find us in all 50 states across the country. Take a sip of our delicious Peach Tea, and go back to the times of big hair, neon leggings and breakdancing. Ok…not really, but you can use your imagination. So, go ahead, break out the boom box and enjoy. Snapple Peach Tea is gluten-free and all natural, so each bottle is free of artificial sweeteners and flavors. Even better, our new 16oz bottle, available in 6- and 12-packs, is recyclable and made from 100% recycled plastic, excluding the cap and label. So, enjoy the great taste of Snapple Peach Tea any time of day knowing you’re getting a great-tasting drink made with natural, high-quality ingredients in a bottle that’s good for the Earth.","Our Real Tea Starts With The Finest Tea Leaves And Is Made From: Filtered Water, Sugar, Citric Acid, Tea, Natural Flavors.","Shake it! Then shake the bottle too. Setting is natural.,Refrigerate after opening.",,Gluten Free,
Bigelow Herb Plus Lemon Ginger Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6dd32db-1f6c-4323-a327-7dee25293b74.png 4x,"Family tea blenders since 1945. BC30 probiotic. Plus probiotics support healthy digestion. Tea bags individually wrapped in foil pouches. Freshness stays in. Air and moisture stay out. (hashtag)TeaProudly. Uncompromised quality. Our California lemons are second to none! That is why we continue to partner with the same American farmers since they started their groves in 1947-which is about the same time we began blending our tea. Their dedication to every detail produces the juiciest citrus year after year. We are fortunate these passionate growers harvest one of our most treasured ingredients. - The Bigelow family. Cindi Bigelow, President & CEO, 3rd Generation Visiting California Lemon Groves. Protected in foil to maintain the integrity of our carefully selected ingredients, we wrap each tea bag in a foil pouch to ensure the fullest flavor, freshness, and aroma. Our family is proud of our recipe. Each ingredient below has been carefully selected by the Bigelow family to deliver an uncompromised quality tea experience. Our most desired probiotic tea is a delicious blend of zesty lemon and ginger combined with BC30 probiotic that supports healthy digestion. Healthy never tasted so good! Simply doing the right thing. This certification recognizes our commitment to the highest standards of social and environmental impact. Proud to be: Zero-Landfill Company. Green-e. Made with 100% certified renewable energy. Our folding cartons are recyclable. Our tea bags are compostable. Certified B Corporation.","Lemongrass, Lemon Peel, Cinnamon, Natural Ginger And Lemon Flavors With Other Natural Flavors (soy Lecithin), Lemon Verbena, Rose Hips, Ginger, Licorice Root, Bc30™ (bacillus Coagulans Gbi-30, 6086), Citric Acid",{},,Gluten Free,
"Pure Leaf Tea, No Sugar, Unsweetened",$5.19,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_244d0efd-d2b0-4b59-8d62-e19dab93534f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56ff5276-65e7-47b0-ba29-7428a7de05ef.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f84b768-1fb7-48e3-b8d8-0027651f5372.png 4x","Real brewed tea. No Compromise: At Pure Leaf, we are committed to bringing you the highest quality tea. Our iced teas are carefully crafted using only quality ingredients and are expertly brewed from real tea leaves picked at their peak of flavor. No wonder every bottle of Pure Leaf tastes so good. No is beautiful. Rainforest Alliance People & Nature Tea. how2recycle.info.","Brewed Black Tea*, Citric Acid.",Refrigerate after opening.,,,
Bigelow Mint Medley Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_12f14bd4-5f4b-4473-9bdf-456289f58129.png 4x,"Our Mint Medley is a smooth, flavorful, and aromatic blend of refreshing spearmint and cool peppermint grown right here in America. Try it hot or iced. Caffeine Free.","Peppermint Leaves, Spearmint Leaves, Rose Hips, Lemon Peel, Hibiscus","How to Make A Perfect Cup: Start with fresh cold water and bring to a rolling boil. Pour over tea bag, steep for 4 minutes (or whatever time you like), remove bag. For iced tea by the glass, steep longer & pour over ice. Enjoy! Protected in Foil: To maintain the integrity of our carefully selected ingredients, we wrap each tea bag in a foil pouch to ensure the fullest flavor, freshness, and aroma.",,Gluten Free,
