Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Gt's Living Foods Organic Peach Paradise Raw Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4ecfa79-237f-4c64-ac56-600c5ddd9b19.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew, rebalance, rebuild, reclaim, rekindle, recharge. 9 Billion living probiotics (Per bottle at time of bottling: Probiotics Bacillus Coagulans GBI-306086: 1 billion Organisms, S. Boulardii: 4 billion organisms, Lactobacillus bacterium: 4 Billion organisms, L(+) Lactic Acid: 100mg, Acetic Acid: 75mg, Glucuronic Acid: 1400mg, Gluconic Acid: 650mg). Living Food for the Living Body. Begin Withn: Begin with a sip of liquid life and a bold bite that’s undeniably electric. Begin with a drink that is living-bubbling with nutrients and billions of probiotics. Begin with energy that nourishes your body’s vitality, making you feel more alive. Begin with a taste that transforms you from within - FT Dave, Founder. Raw is real. When heated, filtered, or from concentrate, Kombucha's innate nutritional integrity is forever compromised. See the proof of yourself at the bottom of every one of our bottles. Words of Enlightenment: greatness is not in things we acquire, greatness is in people we inspire - M. Lynn reddick teacher Portal, GA. Please recycle.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Peach Juice*, Papaya Juice* And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Synergy Mystic Mango Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_59e41e55-699a-47b3-8b5a-cc8be64ad959.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. Living food for the living body. The most powerful Kombucha you can buy. That is the standard i set when i bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days-the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Words of enlightenment. Your potential knows only the boundaries that you set. Free yourself. - Zosia Rene Piotrowski, Resolution Analyst Orem, UT. Raw is real. If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authority in every one of our bottles. They're always refrigerated, have culture strands, and offer a bright tangy bite.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Mango Puree*, *organically Produced","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Synergy Lemon Berry Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a1a7a472-7b87-41a9-ad9c-63572a938092.png 4x,Gluten Free,,,"Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Strawberry Juice*, Blueberry Juice*, Raspberry Juice*, Meyer Lemon Juice*, Fresh Pressed Lime Juice*, 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy. allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Gingerade Kombucha,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8317ac69-f31b-48b3-8c88-fbcbf98e0baf.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. 9 billion living probiotics. Living food for the living body. The Most Powerful Kombucha You Can Buy: That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Raw is Real: If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it, you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite. Naturally effervescent. Words of Enlightenment: In this moment, you are connected to everything and everyone around you. There is no better moment than now. - Connor Wallace Mechanical Engineer Tampa, FL. Please recycle.,• Organic,• Kosher,• Gluten Free,• Vegan","Gt's Kombucha* (kombucha Culture Black Tea*, Green Tea, Kiwi Juice*), Fresh Pressed Ginger Juice* And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Brew Dr. Kombucha Organic Clear Mind Kombucha,$2.50,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_215add26-5ca0-45f4-bc7a-b7660f69cdcc.png 4x,Gluten Free,,"Rosemary, mint, sage, green tea. USDA Organic. Certified Organic by SCS Global Services. Gluten free. Certified kosher. Non-GMO. Live and active. Tasting notes. Bright & invigorating. A fan favorite, this brilliant blend of rosemary, mint, sage and green tea creates a distinctly smooth herbal flavor worth savoring. Herbal. Good for People Live & Active. I opened my first teahouse over 15 years ago based on these values and the same love of tea that drives Brew Dr. today. - Matt Thomas, Founder. The good stuff. Raw & probiotic. Alcohol extracted (non-alcoholic: contains less than 0.5% alcohol by volume). 100% natural. brewdrkombucha.com. Instagram. Facebook. Twitter. (at)brewdr. Good for Communities: Certified B Corporation. Good for Our Planet: Carbon-neutral.","Brewed Tea (water, Green Tea, Rosemary, Peppermint*, Sage*, Dandelion Root*), Cane Sugar*, Live Kombucha Culture (yeast, Bacteria).",Keep refrigerated. Bottle may be burst if unrefrigerated.,,
Gt's Living Foods Organic Synergy Guava Goddess Kombucha,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca623500-fe0b-4c4f-9d14-ef2236b181c4.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. 9 Billion living probiotics. Living food for the living. The Most Powerful Kombucha You Can Buy: That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Raw Is Real: If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authenticity in every one of our bottles. They're always refrigerated have visible culture strands. and offer a bright, tangy bite. Words of Enlightenment: Be good to mother earth, and in turn, she will be good to you. - Derrick Credito, English professor and environmental aficionado Columbia, MD. Naturally effervescent. Please recycle.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Guava Puree* And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable keep refrigerated may leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Brew Dr. Kombucha Organic Superberry Kombucha,$2.50,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc0ae974-1e85-427d-a4b8-f83637a1cf71.png 4x,Gluten Free,,"Superberry organic kombucha is a light and fruity kombucha featuring a delightful blend of sweet and tart berries, hibiscus, and oolong tea.","Brewed tea (filtered water, oolong tea*, currant*, elderberry*, hibiscus*, blueberry*, goji berry*, strawberry*, raspberry*), cane sugar*, live kombucha culture (yeast, bacteria). *Organic",Keep refrigerated.,,
Gt's Living Foods Organic Synergy Strawberry Serenity Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07a6b9e1-0ecc-4ecf-8b31-65a500246f9b.png 4x,Gluten Free,,"The most powerful Kombucha you can buy. That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. Words of enlightenment. True self-growth is not possible if focused on self only. Raw is Real: If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Strawberry Juice*, And 100% Pure Love!, *organically Produced","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Health-Ade Organic Berry Lemonade Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1f226ff-3ac2-46d0-9d7d-a9ccef4f340d.png 4x,Gluten Free,,"Premium Ingredients: Crafted from organic black and green teas to ensure top-notch quality. No artificial sweeteners, colors, or flavors—just real fruit juice from real, organic produce.,Probiotic Power: Contains live cultures for a happy gut and overall well-being. Probiotics are living bacteria known to improve gut health and contribute to a diverse microbiome.,Organic Acids: During the fermentation process, healthy acids like acetic, lactic, gluconic and glucuronic acids are produced. These powerful “postbiotics” complete the many functions attributed to gut health.,Natural antioxidants: These plant-based substances are known to support your body’s overall health and well-being.","Organic Kombucha*, Blueberry Puree†, Red Raspberry Puree†, Cold-pressed Lemon Juice†, Lemon Extract†, Live Active Cultures (bacillus Coagulans Mtcc 5856), *organic Kombucha: Filtered Water, Acids From Fermentation (acetic†, Lactic, Gluconic, Tartaric), Cane Sugar†, Live Kombucha Cultures, Black Tea†, Green Tea†, Carbonation, †certified Organic",Best enjoyed refrigerated.,,
"KeVita Kombucha, Tart Cherry, Master Brew",,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c62efed5-aae9-4061-b9ff-913f3722a345.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90ebd33f-ae6a-4741-a863-9eaffcc81266.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cecf6741-ac26-4b2e-bd2e-f21cf74ee7c1.png 4x",Gluten Free,,"The Kevita family of drinks are certified organic, using only the finest ingredients. We revitalize ourselves, and the planet, from the inside out.","Sparkling Water, Kombucha Culture (filtered Water, Black Tea*, Green Tea*, Natural Flavor*)*, Cane Sugar*, Filtered Water, Tart Cherry Juice Concentrate*, Bacillus Coagulans Mtcc 5856, Cherry Flavor*, Ginger Extract*, Black Tea*, Black Tea Essence*, Caffeine (green Coffee Bean Extract)*, Green Tea*, Purified Stevia Leaf Extract*.","Perishable. Keep refrigerated.,Swirl gently.",,
Gt's Living Foods Organic Synergy Golden Pineapple Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d75fa52e-c63c-43ad-a2a8-b6d117ac1a77.png 4x,Gluten Free,,"USDA Organic. Gluten-free. Vegan. Certified Organic by Organic Certifiers, Inc.,Non GMO Project verified. nongmoproject.org.,Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. Enlightened for everyone, everywhere. Living food for the living body. 5% Juice. Words of enlightenment - Embrace our differences, they are what make the world such an interesting place. - Deborah Dugally, Lover of Horses and Dogs, Sacramento, CA. What is Kombucha? Kombucha is a fermented tea crafted with a living culture (known as a Scoby) added to a base of sweetened tea. The Scoby consumes sugars and caffeine, transforming the tea into this revitalizing wellness drink known in ancient Asian cultures as the tea of immortality. Real, authentic Kombucha, like GT's, is raw and living, offers a tangy taste, natural effervescence, and visible culture strands. Always cultured, never compromised: The bottle in your hand bears my name as a symbol of promise. You have my word: GT's Kombucha is the most authentic Kombucha you can buy. With respect for centuries of Eastern tradition, and using heirloom living cultures passed down by my family, this sacred offering is lovingly handcrafted with goodness you can see, taste, and feel - just as nature intended. - GT Dave, Founder.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Pineapple Juice*, Lemon Juice*, Sage*, And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
