Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,"Quench your thirst with Fit & Active Grape Flavor Liquid Water Enhancer, a delicious way to add flavor to your water. With zero calories and less than 1 carb per serving, this liquid enhancer is perfect for those watching their intake. Made with natural flavors and without sugar or gluten, it's a healthier alternative to sugary drinks. The kosher ingredients include citric acid and potassium sorbate (preservative). Each bottle contains 24 servings, making it convenient for on-the-go hydration. Order now on Instacart for same-day delivery or pickup and enjoy a refreshing glass of grape-flavored water anytime, anywhere.","Quench your thirst and stay energized with Cirkul Gosip Grape Flavor Energy Cartridge, the perfect drink for those on-the-go. This convenient tumbler lets you enjoy a refreshing and delicious grape-flavored drink with added caffeine, taurine, and vitamins B3 and B12. With no sugar, fat, or carbs, it's a guilt-free way to stay hydrated all day long. Made with filtered water, natural flavors, and other high-quality ingredients, this energy cartridge is gluten-free and suitable for people with various dietary restrictions. Get your hands on Cirkul Gosip Grape Flavor Energy Cartridge today through Instacart's same-day delivery or pickup!","With just half a teaspoon of Food Club Black Cherry +Energy Liquid Beverage Enhancer, you can liven up your water and get an extra boost of energy for your day. This gluten-free enhancer contains zero juice but packs 60mg of caffeine per serving, along with taurine, guarana extract, ginseng extract, niacinamide (vitamin B3), pyridoxine hydrochloride (vitamin B6), cyanocobalamin (vitamin B12), and natural flavor. It is also kosher certified. Each bottle contains 24 servings and does not need refrigeration. For best quality, use within one month of opening. Get yours today through Instacart for same-day delivery or pickup!","Quench your thirst with Splenda Strawberry Watermelon Liquid Water Enhancer. One squeeze is all it takes to turn ordinary water into a flavorful, refreshing drink. Perfect for people with diabetes, this water enhancer contains natural flavors and Splenda Sucralose for a sweet taste without any added sugars. Plus, it's kosher and has zero calories, making it a guilt-free choice. Each bottle provides about 30 servings, so you can enjoy your favorite drink without worrying about running out quickly. Simply shake well before using, add one squeeze to 12 oz of water, and enjoy! Available on Instacart for same-day delivery or pickup."
"Cirkul Flavor Cartridge, Fruit Punch, Hydrate",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ce6f289d-9d68-43f2-a958-411998c35f5d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba1b4a92-f218-4e60-802f-0b0afc7e0c8c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2184bb50-ec38-4082-8270-973ff6b9a5d9.png 4x",,"Filtered Water, Natural Flavors, Citric Acid, Lactic Acid, Sucralose, Potassium Bicarbonate, Phosphoric Acid, Niacinamide, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin (vitamin B12)",Use within 10 days of opening.,,,,,,,
"Stur Drinks Fruit Punch, Liquid Water Enhancer",$3.49,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_067c2ee2-5b67-4226-a4ee-2e2e32bae0ce.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8047b5a1-deac-4cce-923b-e7f15efcd9c9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_135ec0fe-d0ee-46c9-a8d2-5daff4470728.jpg 4x","Available in a variety of delicious fruit flavors, Stur water enhancers are the liquid drink mix for consumers looking for natural ingredients. Delicious, naturally flavored water can now be made at home or on the go with our portable liquid drink mix bottles. To use, flip-open the cap. Point downwards directly into your water. And squeeze 1 second per serving in 8-ounces of water (squeeze longer to add more flavor)! Each portable bottle of Stur makes 20 8-ounce drinks – with 0 sugar, 0 calories, and an excellent source of Vitamin C per serving.","Purified Water, Natural Fruit Flavor Extract, White Grape Juice, Vitamin C (ascorbic Acid), Fruit And Vegetable Juice (color), Natural Stevia Extract.","How to Use: 1 squeeze in 8 oz of water. Adjust to taste.,Colors will fade, it's natural! Best within 1mo. of opening.",,Gluten Free,,,,,
"Pepsi Drink Mix, Zero Sugar",$5.24,$6.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c486399-28d9-4f32-b2cb-d29f15d46ddf.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_44323b5b-a9c7-455c-b749-1790982158dc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_316a8e2f-8e1c-4163-86c8-6623bff8966c.png 4x",Makes about 9 l (when prepared according to instructions). Food safe.,"Water, Caramel Color, Phosphoric Acid, Natural Flavor, Acesulfame Potassium, Sodium Citrate, Potassium Citrate, Caffeine, Sucralose, Aspartame, Citric Acid, Sodium Benzoate (preserves Freshness), Coconut Oil, Panax Ginseng Root Extract. Contains Sulfites.","Always fizz water before adding any flavor. 1. Fill SodaStream carbonating bottle with cold water to the water line (28 fl oz/840 ml). 2. Carbonate cold water. 3. Use the beverage mix cap to measure: Add mix to cap up to the inner middle line only. Do not fill above this line. 4. Tilt carbonating bottle and gently add beverage mix. Close cap and shake gently. 5. Enjoy!,Add to sparkling water.,Keep in a cool, dry place. Refrigerate after opening.,Best Before: See on cap.",Contains sulfites.,,,,,,
"SodaStream Bubly Drops, Blackberry",,$6.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a1929699-737b-4615-815a-7bd5a547cff8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3358fd33-c040-492e-a7cc-09565828e584.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67664c83-55c3-4191-950a-2c1338d095aa.png 4x","Makes about 12 L (when prepared according to instructions). Hi u. Food safe. All smiles. No sweeteners. Please recycle.,• Kosher,• Calorie Free/No Calories",Natural Flavor,"Mixing instructions: Fill sodastream 1 l bottle to water line (28 fl oz/840 ml) and carbonate to make sparkling water. Add 3/4 teaspoon bubly drops to the sparkling water. Always dilute before consuming.,Consume within six weeks of opening.",,,,,,,
"SodaStream Bubly Drops, Lime",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0cb305e6-0b67-4a7b-8a7b-832a488868cb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b161c03-16ce-4714-82ad-d27f8bff49a4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a72c8f4a-64b2-4c3c-aceb-2f7f38e7f479.png 4x","One bottle makes about 12 L (When prepared according to instructions). Oh hi. Food safe. No sweeteners. All smiles.,• No Calories,• Kosher",Natural Flavor,"Mixing Instructions: Fill SodaStream 1 l bottle to water line (28 fl oz/840 ml) and carbonate to make sparkling water. Add 3/4 teaspoon bubly drops to the sparkling water. Always dilute before consuming.,Consume within six weeks of opening.",,,,,,,
"Pepsi Drink Mix, Diet",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_458394e3-3e2c-438c-a384-7157665c9bd2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_292304bf-a82e-4ab1-9104-05d39ef67e3b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6131da02-ebc3-40bf-900f-852106903796.png 4x","Add to sparkling water. Food safe. Please recycle.,• Kosher,• Calorie Free/No Calories,• Caffeine Content: 36 mg/19 fl oz","Water, Caramel Color, Sodium Citrate, Phosphoric Acid, Sucralose, Natural Flavor, Acesulfame Potassium, Caffeine, Citric Acid, Sodium Benzoate (preserves Freshness). Contains Sulfites.","Always fizz water before adding any flavor. 1. Fill SodaStream carbonating bottle with cold water to the water line. 2. Carbonate cold water. 3. Use the beverage mix cap to measure: Add mix to cap up to the inner middle line only. Do not fill above this line. 4. Tilt carbonating bottle and gently add beverage mix. Close cap and shake gently. 5. Enjoy!,Add to sparkling water.,Keep in a cool, dry place. Refrigerate after opening.,Best before: See on cap.",Contains sulfites.,,,,,,
Nuun Blueberry Tangerine Immunity Drink Tabs,$6.99,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2612527f-4678-40bd-aeb7-d0cd6c1d90c0.png 4x,"Natural flavor. 2 grams sugar. 15 calories complete electrolytes. Vegan. Gluten free. Non GMO Project verified. nongmoproject.org. For immune support. Sick, stressed, or on-the-go? With complete electrolytes and antioxidants, Nuun is your back-to-balanced water. Plop. Fizz. Drink. Balance. Effervescent immunity supplement. Hydration you can feel. For immune system support. nuunlife.com. (These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.)","Dextrose, Citric Acid, Natural Flavors, Beet Powder Color, Avocado Oil, Stevia Leaf Extract, Rice Concentrate.","Add to 16 oz/500 ml of water.,Store below 25c/80f. Keep cap closed when not in use.","Use only if cap seal is unbroken. Do not take if pregnant, lactating, on prescribed medication, or with a known medical condition unless you have consulted a physician. Always consult your pediatrician before giving your child dietary supplements.",Gluten Free,,,,,
"SodaStream Bubly Drops, Cherry",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_687edacf-cd8f-438b-99e1-6ec1c3dafb2f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cc36bb62-531c-4d7e-a7be-8ca2c5124f47.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a8cb6fa7-ebb7-44cb-b105-fe5976b47f81.png 4x","Makes about 12 L (when prepared according to instructions). Heyo. Food safe. All smiles. No sweeteners.,• Kosher,• Calorie Free/No Calories",Natural Flavor,"Mixing instructions: Fill sodastream 1 l bottle to water line (28 fl oz/840 ml) and carbonate to make sparkling water. Add 3/4 teaspoon bubly drops to the sparkling water. Always dilute before consuming.,Consume within six weeks of opening.",,,,,,,
"Cirkul Flavor Cartridge, Mixed Berry, Active",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6078e134-acab-415d-afb2-b4a91878ab87.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4609a60b-cd25-4e6a-95ba-e14303912476.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c767970-c994-4140-98d2-2464f03a0ea4.png 4x",,"Filtered Water, Natural Flavors, Citric Acid, Monopotassium Phosphate, Lactic Acid, Salt, Sodium Citrate, Sucralose, Phosphoric Acid, Niacinamide, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Pyridoxine Hydrochloride, Cyanocobalamin (vitamin B12).",Use within 10 days of opening.,,,,,,,
"Stur Drinks Blue & Blackberry, Liquid Water Enhancer",$3.49,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca458cb5-d8c9-46fc-a3bf-1ace9415d772.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eaeacaa5-ded0-4dbd-b1dd-bfa0c31cac65.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8d45196-7552-4aa9-836d-72b88d57f554.jpg 4x","0 SUGAR, 0 CALORIES, 100% VITAMIN-C PER SERVING, KOSHER, KETO FRIENDLY(0.2 net carbs/serving) - Whatever your health goals are, Stur can help you cut sugar and chemicals out of your diet, and stay hydrated which to support your diet and overall wellness. Stur is a great replacement for soda/juices/artificial drink mix, and it is a great addition to SodaStream.,MAKES 100 8oz FLAVORED WATER DRINKS-- conveniently use at home, at work, on-the-go. Add as much flavor as you want and notice the great value compared to bottled flavored water brands. Stur Liquid Drink Mix or Water Enhancers as they are referred to, mix instantly into water, unlike powder drink mix.,LOVE WATER NATURALLY – Unlike traditional drink mix brands that use chemicals for flavor, color and sweetness, Stur is made from real, delicious fruit extracts, sweetened with uniquely steeped Stevia, and colored using tiny amounts of fruit and vegetable juice.","Purified Water, Natural Fruit Flavor Extract, Citric Acid, Vitamin C (ascorbic Acid), Fruit And Vegetable Juice (color), Natural Stevia Extract.","How to Use: 1 squeeze in 8 oz of water. Adjust to taste.,Colors will fade, it's natural! Best within 1mo. of opening.",,Gluten Free,,,,,
Crystal Light Strawberry Pineapple Refresh Liquid Drink Mix,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac22704f-d737-4b34-bb0a-68c7a646135b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8b34ba1-2fa3-4595-b180-486fefc3f200.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_968dfa3e-5a8d-4cc2-844d-3c674660b656.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_737cf559-0cc4-48fa-ac74-0b7a05431735.jpg 4x","Crystal Light Liquid Water Enhancer Naturally Flavored Strawberry Pineapple Refresh Drink Mix with Caffeine is a deliciously fruity beverage to help keep you feeling refreshed and energized at home or on the go. Our liquid water flavor drops drink concentrate with caffeine and zero sugar blend easily so you can shake up your day with a tasty strawberry pineapple flavored water drink. Crystal Light liquid drink mix has zero calories and zero grams of sugar. Each serving of strawberry pineapple drink mix has 30 milligrams of caffeine so you can be at your best all day long. The compact 1.62 fluid ounce squeeze bottle fits easily in your bag, pocket or car, so you can enjoy the great taste of Crystal Light anytime, anywhere. To prepare, simply squeeze a few drops of sugar free caffeinated drink mix into water, stir and enjoy! All the flavor and no calories, just the way you like it. If you enjoy our liquid water enhancer, try our powdered drink mix and drink mix singles.,• One 1.62 fl oz bottle of Crystal Light Liquid Naturally Flavored Strawberry Pineapple Refresh Drink Mix with Caffeine,• Crystal Light Liquid Strawberry Pineapple Refresh Naturally Flavored Drink Mix is a travel size, resealable bottle of water flavoring drops that contains 30 mg of caffeine per serving,• Our water enhancer drops contain natural flavor for a bold strawberry pineapple taste with zero sugar,• Water flavor with zero calories and zero sugar, so you can refresh guilt-free,• Squeeze the caffeinated drink mix into water and stir to create an instantly fruity drink,• Comes in a compact squeeze bottle for portability and easy mixing,• 100 percent fewer calories than leading beverages; this product 0 calories, leading beverages 70 calories,• SNAP & EBT eligible food item","Water, Citric Acid, Malic Acid, Contains Less Than 2% Of Caffeine, Taurine, Guarana Extract, Ginseng Extract (panax), Niacinamide (vitamin B3), Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Sodium Citrate, Potassium Citrate, Gum Arabic, Sucrose Acetate Isobutyrate, Yellow 5, Red 40, Potassium Sorbate (preservative).","For Best Quality, Use Within One Month Of Opening.",Caution: Contains Caffeine - 40mg Per Serving (3/4 tsp.). 12 Servings/Bottle. For Adult Use Only. Always Dilute. Use Caffeine in Moderation. Do Not Add to Alcohol or Caffeinated Drinks. Consult Doctor if Pregnant/ Nursing.,,,,,,
"Cirkul Flavor Cartridges, Black Cherry, Energy",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f237b391-ba77-4d4b-bab0-98c2967e4bef.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2e34792-0c12-4d60-8ab8-46632d24048c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5595cafb-19a9-452f-a509-c351127325fa.png 4x",,"Filtered Water, Natural Flavors, Citric Acid, Lactic Acid, Sucralose, Sodium Citrate, Caffeine, Taurine, Phosphoric Acid, Niacinamide, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Pyridoxine Hydrochloride, Panax Ginseng Extract, Guarana Extract, Cyanocobalamin (vitamin B12).",Use within 10 days of opening.,,,,,,,
MiO Blueberry Lemonade Naturally Flavored Liquid Water Enhancer,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3bdcf4a-8319-4227-80f2-57c92189a695.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2b3ac63-08b3-48ca-88e8-52a32b3864f6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49a79c43-530b-4849-9275-60fbd8c7e6b2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_580059df-c2c5-408c-ae48-951fd3b86ed0.jpg 4x","MiO Naturally Flavored Blueberry Lemonade Liquid Water Enhancer fixes plain water and turns it into a refreshing, flavorful drink to invigorate your day. A single squeeze of blueberry lemonade liquid water flavor enhancer delivers bold citrus and berry flavor to bottled water. MiO sugar free water drops provide a burst of flavor with zero calories. With just one squeeze, MiO blueberry lemonade water additive provides enough bold flavor for 8 fluid ounces! The portable 1.62 fluid ounce bottle fits neatly in your bag, pocket or glove box for easy on-the-go mixing. Whether you're studying, working or heading to the gym, add MiO blueberry lemonade drink mix to your water for a delicious citrus blueberry flavored beverage that keeps you sipping.,• One 1.62 fl oz bottle of mio Blueberry Lemonade Flavored with other natural flavor Liquid Water Enhancer,• MiO Naturally Flavored Blueberry Lemonade Liquid Water Enhancer gives water a boost of flavor,• Our liquid water drops deliver refreshing flavor in every squeeze,• MiO water enhancer transforms boring water with a splash of citrus and berry taste,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Water, Citric Acid, Gum Arabic, Sodium Citrate, Sucralose (sweetener), Contains Less Than 2% Of Natural Flavor, Sucrose Acetate Isobutyrate, Blue 1, Red 40, Potassium Sorbate (preservative) Rosemary Extract (to Protect Flavor).","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
"Stur Drinks Coconut Pineapple, Liquid Water Enhancer",,$3.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afe72baa-8aa0-466e-9947-c7435ab15b39.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f59ef013-31cf-4bf2-85c5-e66870dd91c5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0828aeff-989f-4d33-ae9f-927a07a046b1.jpg 4x","Available in a variety of delicious fruit flavors, Stur water enhancers are the liquid drink mix for consumers looking for natural ingredients. Delicious, naturally flavored water can now be made at home or on the go with our portable liquid drink mix bottles. To use, flip-open the cap. Point downwards directly into your water. And squeeze 1 second per serving in 8-ounces of water (squeeze longer to add more flavor)! Each portable bottle of Stur makes 20 8-ounce drinks – with 0 sugar, 0 calories, and an excellent source of Vitamin C per serving.","Fruit & Flavor Blend* (natural Flavor, White Grape Juice^, Coconut Water^, Pineapple Juice^), Purified Water, Citric Acid, Fruit & Vegetable Juice (color), Ascorbic Acid (vitamin C), Natural Stevia Leaf Extract (reb A), Reb M. *adds A Negligible Amount Of Sugar ^from Concentrate","How to Use: 1 squeeze in 8 oz of water. Adjust to taste.,Colors will fade, it's natural! Best within 1mo. of opening.","Contains coconuts and their derivatives,tree nuts and their derivatives",Gluten Free,,,,,
"Cirkul Flavor Cartridge, Strawberry Kiwi, Hydrate",,$5.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_586fc752-b375-4937-8397-d693528fe467.jpeg 4x,,"Filtered Water, Natural Flavors, Citric Acid, Lactic Acid, Sucralose, Phosphoric Acid, Potassium Bicarbonate, Niacinamide, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin (vitamin B12).",Use within 10 days of opening.,,,,,,,
MiO Energy Green Thunder Naturally Flavored Liquid Water Enhancer Drink Mix,,$3.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0804d564-d789-4f2a-87bc-704271e2af2f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f2032d9-7913-4def-bb8d-943b5beff920.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f4ed7c3f-9c10-444d-a745-2ef4c1920b0d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ff29f622-6827-4142-8fbe-13c68f4b34c9.jpg 4x","MiO Energy Naturally Flavored Green Thunder Liquid Water Enhancer with Caffeine provides delicious green apple flavor with a boost of B vitamins to fix your water. A single squeeze of green apple liquid water flavor enhancer delivers a burst of bold flavor with added energy to water. MiO Energy water flavoring is made with natural flavors, and our green apple water additive delivers 60 milligrams of caffeine per squeeze (1/2 tsp). Packed in a travel sized 1.62 fluid ounce bottle you can take on the go, MiO will help you stay awake and motivated no matter where life takes you. Just one squeeze packs enough flavor for 8 fluid ounces. Whenever you're craving a fruity refreshment, add MiO green apple drink mix to your water for a delicious caffeine fix anytime, anywhere.,• One 1.62 fl oz bottle of mio Energy Green Thunder Flavored with other natural flavor Liquid Water Enhancer,• Give water a boost of caffeine and B vitamins with MiO Energy Naturally Flavored Green Thunder Liquid Water Enhancer,• Our liquid water drops deliver refreshing flavor in every squeeze,• MiO water enhancer transforms water with a bold green apple taste,• Our small portable bottle makes us the perfect partner for your busy routine and staying energized on the go,• Simply add 3/4 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze energy into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 12 servings per bottle","Water, Citric Acid, Caffeine, Contains Less Than 2% Of Taurine, Guarana Extract, Ginseng Extract (panax), Niacinamide (vitamin B3), Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Gum Arabic, Sucrose Acetate Isobutyrate, Sodium Citrate, Potassium Citrate, Blue 1, Yellow 5, Potassium Sorbate (preservative).","1 Squeeze (1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",Caution: Contains Caffeine - 60mg/squeeze (1/2 tsp) - 18 servings/bottle. For adult use only. Always dilute. Use caffeine in moderation. Do not add to alcohol or caffeinated drinks. Consult doctor if pregnant/nursing.,,,,,,
MiO Energy Acai Berry Storm Liquid Water Enhancer Drink Mix with 2x More,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a5520a6-4cea-4b27-ac29-5f73a654e757.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2504114f-61d5-4b4b-ad27-da761b25597a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f85a0786-0a9a-4922-a7a1-aeea27c66720.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aee52f53-a183-416c-a45e-41931cf95dc6.jpg 4x","Squeeze good in with mio. mio Energy Acai Berry Naturally Flavored with other natural flavor Liquid Water Enhancer helps you on your wellness journey by making it easier to get a caffeine boost while hydrating with water. Sugar-free water-enhancing drops contain zero calories, and you can control the caffeine and flavor intensity with just a squeeze. Each serving contains 90 mg of caffeine, making us the perfect partner for your busy routine and staying energized on the go. Keep a bottle of our water enhancer drops in your purse, bag or glove box for easy on-the-go portable flavor and caffeine anytime. For a refreshing beverage, simply add 3/4 tsp of mio to 12 ounces of water, mix and enjoy. Each 3.24-ounce bottle has 2x more product than our mio 1.62-ounce offering and contains about 24 servings. For flavorful water with a boost of caffeine that you can enjoy anytime, squeeze energy into your day with mio Energy Acai Berry Liquid Water Enhancer.,• One 3.24 fl oz bottle of mio Energy Acai Berry Flavored with other natural flavor Liquid Water Enhancer with 2x More Product as compared to 1.62 fl oz offering,• mio Energy helps you on your wellness journey by making it easier to get a caffeine boost while hydrating with water,• Get energized, your way: Control your caffeine and flavor intensity with just a squeeze,• One bottle of drink mix makes about 24 12 fl oz servings with 90 mg of energizing caffeine per serving,• Our small portable bottle makes us the perfect partner for your busy routine and staying energized on the go,• Simply add 3/4 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze energy into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 24 servings per bottle","Water, Citric Acid, Malic Acid, Caffeine, Contains Less Than 2% Of Taurine, Guarana Extract, Ginseng Extract (panax), Niacinamide (vitamin B3), Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Sodium Citrate, Potassium Citrate, Gum Arabic, Red 40, Blue 1, Potassium Sorbate Preservative)","1 light squeeze (3/4 tsp) per 12 fl oz serving of water. Always dilute.,Does not need refrigeration.,Tear.,For best quality use within 1 month of opening. See bottom for best by date.",Contains 0% juice,,,,,,
"Nuun Sport, Tablets, Orange",,$9.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1f85a760-8e7c-4677-9a40-2cedf1790ab6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b5eade23-b331-4d8e-8473-ba93ac3a4a37.png 4x","Effervescent Electrolyte Supplement. Natural flavor. 1 gram sugar. 15 calories. Vegan. Gluten free. Non GMO Project verified. nongmoproject.org. For Exercise: Breaking a sweat? Packed with complete electrolytes, Nuun is your go-the-extra-mile water. Plop. Fizz. Drink. Go! Hydration you can feel. Complete electrolytes. nuunlife.com. (These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.)","Citric Acid, Dextrose, Natural Flavors, Stevia Leaf Extract, Monk Fruit Extract, Avocado Oil, Beet Juice Powder (for Color), Riboflavin (for Color)","Add to 16 oz/500 ml of water.,Store below 25 degrees C/80 degrees F. Keep cap closed when not in use.","Use only if cap seal is unbroken. Warning: Keep out of reach of children. Consult with your health care provider prior to use if you are pregnant, nursing, or have any health conditions or concerns.",Gluten Free,,,,,
Stur Drinks Strawberry Lemonade Electrolytes Liquid Water Enhancer,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c3e9f43-f3a2-4cd6-9dd5-2b5dfd81bc6b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67e0ffdc-c437-4204-8970-4f98ca3b2455.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67c06443-f9b1-4240-8233-11f9da69a7b9.jpg 4x",,"Purified Water, Fruit & Flavor Blend* (natural Flavor, Strawberry Juice^, Lemon Juice^), Citric Acid, Salt, Potassium Phosphate, Vegetable Juice (color), Malic Acid, Natural Stevia Leaf Extract (reb A), Reb M, B-vitamin Blend [niacinamide (vitamin B3), Pyridoxine Hydrochloride (vitamin B6), Cyanocobalamin (vitamin B12)], Marine-derived Calcium Citrate Malate.","How to Use: 1 squeeze in 8 oz of water. Adjust to taste.,Best within 1mo. of opening.",,,,,,,
