Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,"Craving a refreshing energy boost without the guilt? Look no further than Alani Nu Mimosa Energy Drink. With zero sugar and only 10 calories, this gluten-free, fat-free, and vegan drink packs a punch with caffeine, taurine, and ginseng extract to jumpstart your day. The lively combination of citrus and champagne flavors will make you feel like you're sipping on a mimosa at Sunday brunch. Just remember: with warnings against consumption by children, pregnant women or those sensitive to caffeine, it's not for everyone. Instacart offers same-day delivery or pickup so you can enjoy this energizing drink in no time!",Soy Free,"Quench your thirst while fueling your body with REIGN Peach Nectarine. Each 12oz slim can is packed with 200mg of plant-based caffeine, B vitamins, Zinc, Vitamin A and Vitamin C—without any sugar. Plus, the immunity blend supports your overall health while Biotin helps promote healthy skin, hair and nails. With carbonated water and natural flavors, this gluten-free and kosher drink has only 10 calories per serving. Perfect for those who want to stay hydrated with a tasty beverage that won't compromise their health goals. Get REIGN Peach Nectarine delivered to your door through Instacart's same-day delivery or pickup.",Milk Free
Monster Energy Ultra Violet,,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02809002-c115-4c87-9383-856a6f4f930e.png 4x,"Welcome to the 70's. A hazy purple funk all dressed up in a kaleidoscope of bell bottoms, bandanas, and tie-dye. A time when psychedelic, glam and heavy metal rock blasted from mega speakers at fairgrounds, stadiums and garages. Can you dig it? The take a good long pull of Monster Ultra Violet. Crisp and refreshing, with a sweet and tart pixie dust flavor powered with our Monster Energy Blend. Hop on this Purple Monster for the ride! Unleash The Ultra Beast!","Carbonated Water, Erythritol, Citric Acid, Taurine, Sodium Citrate, Natural Flavors, L-carnitine L-tartrate, Caffeine, Sorbic Acid (preservative), Sucralose, Benzoic Acid (preservative), Niacinamide (vit. B3), D-calcium Pantothenate (vit. B5), Acesulfame Potassium, Salt, Red #40, Pyridoxine Hydrochloride (vit. B6), Blue #1, Cyanocobalamin (vit. B12).",{},"Consume responsibly: Not recommend for children, people sensitive to caffeine, pregnant women or women who are nursing.",,,,,,
Celsius Sparkling Wild Berry Energy Drink,$1.67,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1f7aec04-f186-4f73-ba27-27988fc44eed.png 4x,"CELSIUS® is functional, Essential Energy, a better-for-you, premium alternative to traditional energy drinks. As a global, lifestyle fitness drink, CELSIUS® was created to help people LIVE FIT, exceed their goals and elevate their everyday lives. Made with proven, premium ingredients, 7 Essential Vitamins and zero sugar, no artificial colors, no aspartame, no high fructose corn syrup and non-GMO. CELSIUS® is vegan, gluten-free and Kosher. Our proprietary MetaPlus blend contains green tea extract with EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to help support your immune system, vitamin B for energy production, and chromium to help control hunger, making it an ideal pre-workout drink. Enjoy the taste of freshly picked berries with the sweet and refreshing berry-licious flavors of CELSIUS® Sparkling Wild Berry! Made with clinically proven ingredients, this carbonated flavor of CELSIUS® has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. Make CELSIUS® your go to choice for Essential Energy!","Carbonated Filtered Water, Citric Acid, Taurine, Guarana Seed Extract, Fruit Juice (color), Green Tea Extract, Caffeine, Vegetable Juice (color), Calcium Carbonate, Sucralose, Ascorbic Acid, Glucuronolactone, Ginger Root Extract, Natural Flavor, Calcium Pantothenate, Niacinamide, Pyridoxine Hydrochloride, Riboflavin, Chromium Chelate, Biotin, Cyanocobalamin.",Ready to Drink,"Do not exceed more than (2) servings per day. Not Recommended for people who are caffeine sensitive, children under 18, and women pregnant or nursing.",Gluten Free,,,,,
Red Bull Sugar Free Energy Drink,$27.59,$33.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c325e097-74f9-4279-9143-6c1c0a682fd4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0f9e2787-83ee-4fee-ac09-f219c36a85b0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49fb167c-9c73-4c2a-a72b-95449e3ca73b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49157656-6568-46a2-8abb-6bfb3dd7d990.jpg 4x","Red Bull Sugar Free Energy Drink Gives You Wiiings Whenever You Need Them. Red Bull Sugar Free Is A Lightly Carbonated Energy Drink Made With Caffeine, Taurine, B Vitamins And Water, That Brings You The Same Taste And Good Times Of Red Bull. Sweetened With Acesulfame-Potassium K And Sucralose, Red Bull Sugar Free Has 10 Calories Per 8.4 Fl Oz Can For A Low Calorie Energy Drink. While Aiming For Great Heights During Your Workday, In Your Workouts Or When Gaming, Why Not Crack Open A Refreshing Can Of Red Bull? Drink Sugar Free Red Bull Straight From The Can Or Pour Into A Glass Over Ice. This 12-Pack Of Red Bull Will Keep You Stocked For Any Occasion, Whether It’S Hanging With Friends, Watching The Game Or Going On A Road Trip. Be Ready For The Big Moments With A Can Of Red Bull. Store Cans Of Red Bull At Room Temperature Or Toss Them In The Fridge. Red Bull Gives You Wiiings. Always Check Can Labels For Most Updated Product Nutritional And Ingredient Information. Calcium And Sugars Values Declared On Labels May Vary Slightly Depending On Production Locations.","Carbonated Water, Citric Acid, Taurine, Natural And Artificial Flavors, Sodium Bicarbonate (baking Soda), Magnesium Carbonate, Colors, Caffeine, Aspartame, Acesulfame K, Xanthan Gum, Niacinamide, Pyridoxine Hci (vitamin B6), Calcium Pantothenate, Vitamin B12.",Best before: See base of can.,Phenylketonurics: contains phenylalanine.,,,,,,
Red Bull Peach Edition Energy Drink,$3.59,$4.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75f0c689-8da2-4ea4-a685-96d7613b0658.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d6eb4056-8134-481f-adcb-da4b30e8751f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfbb5acd-3529-47f1-8cba-1acb3549df73.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_108571b0-c386-43ea-b7b7-a735bfc19f31.jpg 4x","Red Bull Peach Edition Energy Drink Gives You Wiiings Whenever You Need Them. Red Bull Peach Edition Is A Lightly Carbonated Energy Drink With A Blend Of Caffeine, Taurine, B Vitamins, Real Sugar And Water, Along With A Fresh White Peach And Nectarine* Taste. With 160 Calories Per 12 Fl Oz Can, Red Bull Is Great For Any Occasion. While Aiming For Great Heights During Your Workday, In Your Workouts Or When Gaming, Why Not Crack Open A Refreshing Can Of Red Bull? Drink Red Bull Straight From The Can Or Enjoy In A Glass Over Ice. This Can Of Red Bull Will Keep You Ready For Any Occasion, Whether It’S Hanging With Friends, Watching The Game Or Going On A Road Trip. Be Ready For The Big Moments With A Can Of Red Bull. Store This Can Of Red Bull At Room Temperature Or Toss It In The Fridge. Red Bull Gives You Wiiings. Always Check Can Labels For Most Updated Product Nutritional And Ingredient Information. Calcium And Sugars Values Declared On Labels May Vary Slightly Depending On Production Locations.","Carbonated Water, Sugar, Glucose Citric Acid, Taurine, Sodium Citrate, Natural And Artificial Flavors, Glycerol Ester Of Wood Rosin, Sucrose Acetate Isobutyrate, Caffeine, Niacinamide, Pyridoxine Hci (vitamin B6), Calcium Pantothenate, Vitamin B12.",{},"Not recommended for children, pregnant or nursing women and persons sensitive to caffeine.",,,,,,
"Rockstar Punched, Fruit Punch",$3.39,$4.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d47c5fde-c155-43e5-8792-43973283a3c0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f40f0528-b94f-40cf-9cc5-c53e22447f7d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_86635517-114c-4e34-a362-b6a6e1382ee1.png 4x","Rockstar Energy Drink is designed for those who lead active lifestyles - from Athletes to Rock Stars.,• Fruit Punch flavor,• B-Vitamins * Taurine,• 16 oz can","Carbonated Water, Sugar, Glucose Syrup, Citric Acid, Taurine, Sodium Citrate, Natural Flavor Caffeine, Sodium Benzoate (preserves Freshness), Potassium Sorbate (preserves Freshness), L-carnitine, Inositol, Acesulfame Potassium, Sucralose, Red 40, Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Milk Thistle Extract, Panax Ginseng Root Extract, Pyridoxine Hydrochloride (vitamin B6), Guarana Seed Extract, Caramel Color, Cyanocobalamin (vitamin B12).",Ready to Drink,"Not recommended for children, pregnant women or people sensitive to caffeine.",,,,,,
Bang Energy Blue Razz,,"$3.49Buy 2, get 1 free"," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bbf09b3-60a4-4d70-875b-1c408dc31631.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fba8df7f-c4f8-47d1-a963-2e9edaa17601.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b485445d-0be1-4950-8b01-e19b74e66576.png 4x","Bang® is not your typical sugar-filled, crash-inducing energy drink. Every 16-ounce can contains 300 milligrams of caffeine which has been shown to increase endurance as well as strength in some cases. Yet every one of our 40+ flavors has ZERO sugars, carbs, or calories with a taste like no other!  Amazing flavor and a blast of energy are just the beginning though – Bang Energy drinks also contain other ingredients designed to help you get more out of your workout, your day, and your life! Get a dose of EAAs and CoQ10 that not only fuel your body but your mind as well!",Provided by retailers,{},"Do not use this product if you are pregnant or nursing. Do not consume this product if you are taking any prescription drug and/or have any medical condition. The user of this product assumes all liability if this product is used in a manner not consistent with label guidelines. This product contains caffeine and should not be used with any other caffeine-containing products. This product is intended for use by healthy individuals only. Too much caffeine may cause nervousness, irritability, sleeplessness, and, occasionally, rapid heartbeat. Not recommended for use by children under 18 years of age. One can of Natural Bang® provides 250 mg of caffeine, which is more than two cups of coffee. DISCLOSURE: These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.",Gluten Free,,,,,
Alani Nu Energy Drink Cosmic Stardust,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75f2c870-bf65-4cfe-b4b2-54bdfb8b980a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f958f351-00f0-4f17-88ef-0873f957ac8d.jpg 4x",,"Carbonated Water, Citric Acid, Erythritol, Taurine, Sodium Citrate, Natural Flavor, L-theanine, Caffeine, Sucralose, Fruit & Vegetable Juice For Color, Panax Ginseng Root Extract, Potassium Sorbate (preservative), Sodium Benzoate (preservative), L-carnitine Tartrate, Acesulfame Potassium, Niacinamide (vitamin B-3), Gum Acacia, Inositol, Glucuronolactone, Sodium Chloride, Calcium D Pantothenate (vitamin B-5), Guarana Seed Extract, Pyridoxine Hydrochloride (vitamin B-6), Biotin, Cyanocobalamin (vitamin B-12).",{},"Not recommended for children, people sensitive to caffeine, pregnant women or women who are nursing.",Gluten Free,,,,,
Rockstar Original,$3.39,$4.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93693761-1f38-4e12-9c25-7df4cfc9078a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aceb8d51-f460-4770-994b-a43fdc356753.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87073698-f575-47db-98d1-aaf935f026d4.png 4x","Rockstar Energy fuels the hustle and celebrates those that put in the work. Our POTENT ENERGY BLENDS include Caffeine, Taurine, B-Vitamins, Ginseng, and Guarana. Explore our more than 25 flavors; including 0 calorie, 0 sugar, and 0 carb options to fit your lifestyle.,• Enhanced with caffeine, guarana, and B vitamins,• Original flavor,• 16 oz can","Carbonated Water, Sugar, Glucose Syrup, Citric Acid, Taurine, Natural And Artificial Flavor, Sodium Citrate, Caffeine, Caramel Color, Glucuronolactone, Sodium Benzoate (preserves Freshness), Potassium Sorbate (preserves Freshness), Inositol, L-carnitine, Guarana Seed Extract, Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Milk Thistle Extract, Panax Ginseng Root Extract, Yellow 5, P","{""steps[]"":""Ready to Drink""}",Caffeine content: 160mg/16 fl oz.,,,,,,
Red Bull Sugar Free Energy Drink,,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d312e05-0ba8-4566-ba80-52ba8c649991.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b900a88b-b923-42b6-ab00-01ec4bdd0281.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fdff0e18-0aeb-4b6d-8636-6cb7114dcb07.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b16489e-3aca-43ea-8ed4-62fc8f542370.jpg 4x","Red Bull Sugar Free Energy Drink Gives You Wiiings Whenever You Need Them. Red Bull Sugar Free Is A Lightly Carbonated Energy Drink Made With Caffeine, Taurine, B Vitamins And Water, That Brings You The Same Taste And Good Times Of Red Bull. Sweetened With Acesulfame-Potassium K And Sucralose, Red Bull Sugar Free Has 30 Calories Per 20 Fl Oz Can For A Low Calorie Energy Drink. While Aiming For Great Heights During Your Workday, In Your Workouts Or When Gaming, Why Not Crack Open A Refreshing Can Of Red Bull? Drink Sugar Free Red Bull Straight From The Can Or Pour Into A Glass Over Ice. This Can Of Red Bull Will Keep You Ready For Any Occasion, Whether It’S Hanging With Friends, Watching The Game Or Going On A Road Trip. Be Ready For The Big Moments With A Can Of Red Bull. Store This Can Of Red Bull At Room Temperature Or Toss It In The Fridge. Red Bull Gives You Wiiings. Always Check Can Labels For Most Updated Product Nutritional And Ingredient Information. Calcium And Sugars Values Declared On Labels May Vary Slightly Depending On Production Locations.","Carbonated Water, Citric Acid, Taurine, Natural And Artificial Flavors, Sodium Bicarbonate (baking Soda), Magnesium Carbonate, Colors, Caffeine, Aspartame, Acesulfame K, Xanthan Gum, Niacinamide, Pyridoxine Hcl (vitamin B6), Calcium Pantothenate, Vitamin B12.",{},Phenylketonurics: contains phenylalanine.,,,,,,
"Celsius Sparkling Green Apple Cherry, Energy Drink",,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed5abcd6-e5b9-42c8-b858-d7cb4771f5c8.jpg 4x,"CELSIUS® is functional, Essential Energy, a better-for-you, premium alternative to traditional energy drinks. As a global, lifestyle fitness drink, CELSIUS® was created to help people LIVE FIT, exceed their goals and elevate their everyday lives. Made with proven, premium ingredients, 7 Essential Vitamins and zero sugar, no artificial colors, no aspartame, no high fructose corn syrup and non-GMO. CELSIUS® is vegan, gluten-free and Kosher. Our proprietary MetaPlus blend contains green tea extract with EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to help support your immune system, vitamin B for energy production, and chromium to help control hunger, making it an ideal pre-workout drink. Classic Flavors with A Twist. The combination of sour apple and cherry flavors, inspired by classic candy flavors, transports you back in time evoking nostalgia and timeless childhood memories! Made with clinically proven ingredients, this carbonated flavor of CELSIUS® has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. Make CELSIUS® your go to choice for Essential Energy!","Carbonated Filtered Water, Citric Acid, Taurine, Guarana Seed,Extract, Caffeine, Green Tea Extract, Vegetable Juice (color), Malic Acid,,Calcium Carbonate, Ascorbic Acid, Glucuronolactone, Sucralose, Ginger Root,Extract, Natural Flavor, Calcium Pantothenate, Niacinamide, Pyridoxine,Hydrochloride, Riboflavin, Chromium Chelate, Biotin, Cyanocobalamin.",Ready to Drink,"Do not exceed more than (2) servings per day. Not Recommended for people who are caffeine sensitive, children under 18, and women pregnant or nursing.",Gluten Free,,,,,
Monster Energy Zero Ultra,,$4.73," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_558b271d-c2c4-4bb4-81b2-97b94942f06c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03f13a7a-a051-474e-948a-989a6ecb5f31.png 4x","Some people are impossible to please. As soon as they get what they thought they wanted they always want more. Our team riders and Monster Girls are no different… they’ve been dropping some hints lately. They’ve been asking us for a new Monster drink. A little less sweet, lighter-tasting, but with a full load of our Monster energy blend. Sure, white is the new black. We went all out: Monster Energy Zero Ultra. Unleash the Ultra Beast!","Carbonated Water, Citric Acid, Erythritol, Taurine, Sodium Citrate, Natural & Artificial Flavors, Panax Ginseng Extract, L-carnitine L-tartrate, Sucralose, Caffeine, Sorbic Acid (preservative), Benzoic Acid (preservative), Niacinamide (vit.b3), Acesulfame Potassium, D-calcium Pantothenate (vit. B5), Salt, Guarana Extract, D-glucuronolactone, Inositol, Pyridoxine Hydrochloride (vit. B6), Cyanocobalamin (vit. B12). Monster Energy Blend: Taurine, Panax Ginseng Extract, L-carnitine, Caffeine, Guarana Extract, Glucuronolactone, Inositol",{},"Consume Responsibly: Not recommended for 1 children, people sensitive to caffeine, pregnant women or women who are nursing. Caution: Contents under pressure do not drink if plastic seal is broken.",,,,,,
REIGN Orange Dreamsicle,,"$3.49Buy 2, get 1 free", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddaf32d4-8873-462f-85c0-27fe2d873e82.png 4x,"Blended with BCAAs, Natural Caffeine, CoQ10, and electrolytes, Reign™ Total Body Fuel is designed for your active lifestyle. Offering zero sugar, 10 calories, and zero artificial flavors & colors, Reign is the ultimate fitness-focused beverage to support your high-performance needs. REIGN™ Total Body Fuel provides multiple benefits to help you power through a tough workout. 300 mg of Natural Caffeine provides a pre-workout boost as well as a sustained release of energy throughout your workout. BCAAs may help muscles recover post workout. CoQ10 may increase power during exercise. B Vitamins may reduce fatigue.","Carbonated Water, Citric Acid Natural Flavors Sodium Citrate, L-leucine, Caffeine. L-isoleucine, L-valine Sucralose, Potassium Sorbate (preservative Potassium Citrate Sodium Benzoate (preservative), Niacinamide (vit B3), Magnesium Citrate, Coenzyme Q-10, Pyridoxine Hydrochloride (vit. B6), Cyanocobalamin (vit. B12).",{},"Recommended for persons 18 years or older. Consume Responsibly: Not recommended for persons under 18 years old, people sensitive to caffeine, pregnant women or women who are nursing. Intended for healthy adults only. Consult a healthcare professional before consuming this product if you are taking any medication or if you have any preexisting medical conditions. One can contains 300 mg of caffeine from all sources. The FDA has stated that consumption of up to 400 mg of caffeine per day from all sources is not associated with adverse health effects in healthy adults.",,,,,,
Monster Energy Zero Sugar,$10.39,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fd0c9e8-c86d-4a17-8fe4-2fed1e74cd82.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47a6d65a-e674-4a0a-9967-eaefdba8721f.png 4x","People have been blowin’ up our inbox for years asking for a low-calorie Monster. We got it, but this ain’t soda pop, dude! Making a low-calorie, zero sugar drink that’s good enough to earn the Monster ‘M’ ain’t that easy. Finally, with a re-tooled energy blend, new sweetener system and after hundreds of failed flavors, we absolutely got it right! Monster Zero Sugar helps fight fatigue, improves mental performance and focus, and motivates you to work (play) harder, so generally, you feel pretty damn good.","Carbonated Water, Citric Acid, Erythritol, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, Caffeine, Sorbic Acid (preservative), Sucralose, Benzoic Acid (preservative), L-carnitine L-tartrate, Niacinamide (vit. B3), Color Added, Acesulfame Potassium, Salt, D-glucuronolactone, Guarana Extract, Inositol, Pyridoxine Hydrochloride (vit. B6), Riboflavin (vit. B2), Cyanocobalamin (vit. B12). Monster Energy Blend: Taurine, Panax Ginseng Extract, Caffeine, L-carnitine, Glucuronolactone, Guarana Extract, Inositol",{},"Consume Responsibly: Not recommended for children, people sensitive to caffeine, pregnant women or women who are nursing.",,,,,,
Red Bull Zero Sugar Energy Drink,$2.89,$3.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3749f27-16e9-40ca-9e34-7bf8cb1d5dd7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3d3e569-5795-46d2-809f-6f90f05f2750.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe25661b-67bc-458f-97d5-dfea68bc7a12.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b46c50a-83c2-46a4-b6cf-3dca8ca7e216.jpg 4x","Red Bull Zero Sugar Energy Drink Gives You Wiiings Whenever You Need Them. Red Bull Zero Is A Lightly Carbonated Energy Drink Made With Caffeine, Taurine, B Vitamins And Water, That Brings You The Same Taste And Good Times Of Red Bull. Sweetened With Acesulfame-Potassium K And Sucralose, Red Bull Zero Has 15 Calories Per 8.4 Fl Oz Can For A Low Calorie Energy Drink. While Aiming For Great Heights During Your Workday, In Your Workouts Or When Gaming, Why Not Crack Open A Refreshing Can Of Red Bull? Drink Zero Sugar Red Bull Straight From The Can Or Pour Into A Glass Over Ice. This Can Of Red Bull Will Keep You Ready For Any Occasion, Whether It’S Hanging With Friends, Watching The Game Or Taking A Road Trip. Be Ready For The Big Moments With A Can Of Red Bull. Store This Can Of Red Bull At Room Temperature Or Toss It In The Fridge. Red Bull Gives You Wiiings. Always Check Can Labels For Most Updated Product Nutritional And Ingredient Information. Calcium And Sugars Values Declared On Labels May Vary Slightly Depending On Production Locations.","Carbonated Water, Citric Acid, Taurine, Natural And Artificial Flavors, Colors, Caffeine, Sodium Bicarbonate (baking Soda), Magnesium Carbonate, Acesulfame K, Sucralose, Xanthan Gum, Niacinamide, Pyridoxine Hci (vitamin B6), Calcium Pantothenate, Vitamin B12.",{},"Not recommended for children, pregnant or nursing women and persons sensitive to caffeine.",,,,,,
REIGN Kiwi Blend,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_22b6b7c4-ba8c-4f6f-ab59-66ddfef9da72.jpeg 4x,"Introducing REIGN Storm, the perfect storm of flavor and functionality that enhances life’s experience. Available in four amazing flavors, each 12oz slim can contains 200mg of plant-based caffeine, Biotin which aids in healthy skin, hair & nails, loaded with B vitamins, and an immunity blend of Zinc, Vitamin A + Vitamin C – all with ZERO sugar. Get ready to take the world by STORM!","Carbonated Water, Citric Acid (ph Control), Sodium Citrate, Natural Flavors, Caffeine, Panax Ginseng Extract, Acesulfame Potassium, Sucralose, Ascorbic Acid (vit. C), Zinc Gluconate, Salt, Niacinamide (vit. B3), Medium Chain Triglycerides, D-calcium Pantothenate (vit. B5), Fruit Juice Concentrates (color), Modified Corn Starch, Pyridoxine Hydrochloride (vit. B6), Turmeric Oleoresin (color), Green Tea Extract (45% Egcg), Guarana Extract, Vitamin A Palmitate, Chromium Picolinate, Biotin (vit. B7), Guayusa Extract, Cyanocobalamin (vit. B12).",{},"Consume Responsibly: Not recommended for children, people sensitive to caffeine, pregnant women or women who are nursing.",,,,,,
Monster Energy Ultra Watermelon,,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d36efb26-7df1-4c9d-9560-96307e468941.png 4x,"Under the firework lit night sky, you’ve got your crush by your side. With good music and better friends, it’s the best summer ever. Unleash the Ultra beast with Ultra Watermelon! Zero sugar, easy drinking refreshing flavor with the explosive Monster Energy blend to light-up those hot summer nights. Ultra Watermelon is summertime in a can so you can enjoy it anytime. Monster Energy Ultra Watermelon has 10 calories and zero sugar but with all the flavor you’re accustomed to and packed with our sugar-free Monster Energy blend.","Carbonated Water, Citric Acid, Erythritol, Taurine, Natural Flavors, Sodium Citrate, Panax Ginseng Flavor, L-carnitine L-tartrate, Caffeine, Sorbic Acid (preservative), Sucralose, Benzoic Acid (preservative), Vegetable Juice Color, Niacinamide (vit. B3), Acesulfame Potassium, D-calcium Pantothenate (vit. B5), Inositol, Pyridoxine Hydrochloride (vit. B6), Red 40, Cyanocobalamin (vit. B12)",{},"Consume Responsibly: Not recommended for children, people sensitive to caffeine, pregnant women or women who are nursing.",,,,,,
Monster Energy Rehab Monster Tea + Lemonade,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f181368-06b6-4db5-82a1-e2ef88a2790a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_271e7031-7af3-4baf-b01c-8bf588ed8a20.png 4x","It’s 2 P.M. Still sleeping, but who’s banging on the door? “Housekeeping!” Your eyes open to see a mermaid scooting across the floor. The housekeeper screams and mutters a prayer. This can’t be right. Your eyes close. It’s after 4 now. Your head’s pounding. So many questions. You’ve got to meet everyone downstairs in an hour to do it all again. Not a problem. You’re a professional. You crack open a Rehab Monster Tea + Lemonade and let the watermelon-infused electrolytes, vitamins, and botanicals work their life-giving, hydration magic. Congrats, You’re back from the dead.","Brewed Tea (filtered Water, Black Tea Solids), Glucose, Lemon Juice Concentrate, Taurine, Citric Acid, Sodium Citrate, Panax Ginseng Flavor, Natural Flavors, Magnesium Lactate, Calcium Lactate, Monopotassium Phosphate, Caffeine, Sucralose, Concentrated Coconut Water, Niacinamide (vit. B3), Salt, D-calcium Pantothenate (vit. B5), Acesulfame Potassium, L-carnitine L-tartrate, Inositol, Milk Thistle Extract, Quercetin Dihydrate, Acai Puree, Goji Berry Puree, Mangosteen Concentrate, Pyridoxine Hydrochloride (vit. B6), Cyanocobalamin (vit. B12)",Shake gently.,Contains coconut; Allergen info: contains coconut,,,,,,
REIGN Sherbet,,"$3.49Buy 2, get 1 free", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed43a09e-ebfe-4ca2-9afe-6b58e5e40b9d.jpeg 4x,"Just like the Push Pops you used to enjoy as a kid, take a stroll down memory lane with REIGNbow Sherbet! A burst of Orange, Raspberry & Pineapple flavors, perfectly swirled together, sending your taste buds into pure bliss. Blended with 300mg of Natural Caffeine, BCAAs, CoQ10 & electrolytes, Reign Total Body Fuel is perfectly designed for your active lifestyle.","Carbonated Water, Citric Acid, Sodium Citrate, L-leucine, Natural Flavors, Caffeine, L-isoleucine, L-valine, Sucralose, Sodium Benzoate (preservative), Potassium Citrate, Potassium Sorbate (preservative), Acesulfame Potassium, Niacinamide (vit. B3), Magnesium Lactate, Coenzyme Q-10, Pyridoxine Hydrochloride (vit. B6), Cyanocobalamin (vit. B12)",,,,,,,,
