Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,"Quench your thirst and keep your little ones hydrated with Pure life Purified Water, No Added Fluoride. With no artificial colors or flavors and zero calories, each drop is trustworthy from collection to testing, ensuring your baby is getting the quality they deserve. This baby water is enhanced with minerals for a crisp taste and can be handy for many uses. Mix it with infant formula, cereal or to dilute juice. And because it contains no added fluoride or unwanted ingredients, you can trust every sip. Contains (1) 1-gallon jug of Pure life Purified Water. Order now on Instacart for same-day delivery or pickup!",Treenut Free
"Aquafina Drinking Water, Purified",,$2.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4c93305-af02-4001-babb-fe73a90b2d39.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1fdc05c0-98c0-4d95-ad3f-50e606357ce8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5a51111-3308-4a3d-8824-8e3d85929f57.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71b9d52d-c4bd-4176-9b10-882ba6abf54c.png 4x","Pure water, perfect taste. The official water of the world champions. Chicago cubs. Purified by reverse osmosis. Drink up. For product questions, water quality and information, call 800-433-2652 or visit Aquafina.com. Please recycle.",Purified Water.,{},,,,,,
smartwater Smartwater,,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b289a8a6-fd90-4c9d-9514-76c3fbac9654.png 4x,"every drop of smartwater tastes pure and will leave you feeling refreshed. it’s everything you want from a bottled water—whether you’re on the move, working out or need a quiet moment for yourself, it’s a perfect way to satisfy your thirst and help you stay hydrated.,each drop of smartwater is purified through vapor distillation, a process inspired by the clouds. that means nothing’s added except electrolytes for taste. a purely balanced pH and a pure flavor make it a smart way to hydrate throughout the day.,no matter what it is that makes smartwater so satisfying, you can bet on every sip tasting pure and crisp, helping you stay hydrated and refreshed.,for a sip of something different, smartwater comes in a variety of flavor options including cucumber lime and watermelon mint, each delicately infused with natural flavors. smartwater also comes in sparkling, alkaline and antioxidant variations for every need. this way, you can enjoy something a little different without losing that pure, crisp taste you love.,smartwater—a smart way to hydrate.,• Pure, vapor-distilled water,• Premium bottled water with added electrolytes for a pure, crisp taste,• Refreshing hydration at the office, on your commute or anywhere you need to take a beat to recharge,• 100% recyclable bottle,• 1.5L bottle","Vapor Distilled Water, Calcium Chloride And Magnesium Chloride And Potassium Bicarbonate (electrolyte Sources*), *electrolytes Added For Taste",{},,,,,,
FIJI Natural Artesian Bottled Water,,"$4.39Buy 2, get 1 free"," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_98e28ddc-220f-4e08-a414-96f07a0dd1e6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_859c3f3c-1cc3-4ee9-9564-aef7414e1841.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c990e225-ad39-46cd-a700-b2a85f80552f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4fc54180-8f62-4754-ae30-dedb025cff7d.png 4x","1.5L (50.7 oz) bottle of FIJI Water. The 1.5L size is great for ongoing hydration throughout the day. Its soft, smooth taste comes from its extraordinary source -- a protected artesian aquifer found deep underground in the remote Fiji Islands. FIJI Water is the choice of discerning top chefs, fine restaurants and hotels around the world.",Natural Artesian Water,{},,,,,,
LIFEWTR Purified Water,,$3.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b79b93d3-287a-4a50-91be-fa257a8195a3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_310d0d2f-5f06-4848-af50-870b9d1057c8.png 4x","LIFE WTR is premium bottled water that fuses creativity and design to serve as a source of inspiration as well as hydration. LIFE WTR is a purified water, pH balanced with electrolytes added for taste.,• Features a limited run art label by artists MONO, Craig and Karl, or Jason Woodside,• One 1 liter bottle,• Purified water,• PH balanced,• Electrolytes added for taste","Purified Water (purified By Reverse Osmosis), Magnesium Sulfate, Potassium Bicarbonate",{},,,,,,
"Sparkling Ice® Kiwi Strawberry Sparkling Water, Zero Sugar",$1.49,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a6731d6-1774-4b49-84fd-465d24fddd6d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62ae2470-c11a-4123-953a-2c1900549123.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b9f84ee-0961-4c56-b1b4-c2bfee5dd9be.png 4x","Ask your smart speaker to Lunch Sparkling Ice Maker. Empty and replace cap.,• No Sugar,• Caffeine Free,• Low Calorie,• Kosher","Carbonated Water, Natural Flavors, Citric Acid, Kiwi Juice Concentrate, Potassium Benzoate (to Ensure Freshness), Fruit And Vegetable Juice (for Color), Strawberry Juice Concentrate, Sucralose, Gum Arabic, Ester Gum, Green Tea Extract, Retinol (vitamin A), Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6)","As in life, chill for best results.,Refrigerate after opening.",,,,,,
Core Hydration Nutrient Enhanced Water,$1.79,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f345247-9be9-4045-988f-32fcb8c205f5.jpeg 4x,"Core Hydration is perfectly balanced pH water designed to work in harmony with your body’s natural pH of 7.4*. Purified and enhanced with electrolytes and minerals, Core Hydration is designed for an active lifestyle and will help you stay feeling your best. Core believes true balance is on the inside as well as the outside, that’s why Core is committed to a more sustainable future. Now, in addition to Core being recyclable, it’s bottles are also made with 100% recycled plastic (excludes cap and label)! Core is available in five sizes, including a wide mouth sports cap. The bottle was also envisioned with your lifestyle in mind — the contoured silhouette makes it easy to hold when on the go, the wide mouth opening makes hydrating quicker and the cup cap makes it easier to share with friends. Hydrate with the clean, crisp taste of Core and enjoy staying balanced. Find Your Balance. Find Your Core.","Purified Water (purified By Reverse Osmosis), Potassium Bicarbonate, Magnesium Chloride And Calcium Chloride (electrolyte And Mineral Sources)",{},,,,,,
Essentia Ionized Alkaline Water,$2.00,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ae8dee1-2cba-4bdf-9da6-21df4f0a2ec0.png 4x,"Essentia Water Is Supercharged Ionized Alkaline Water So You Can Do The Things That Matter Most To You And Stop For Nothing. Essentia’S Proprietary Three-Step Ionization Process Produces Overachieving H2O That’S 99.9% Pure With A Ph Of 9.5 Or Higher And A Clean, Smooth Taste. Step 1: Unwanted Particles Are Removed Through Microfiltration And Reverse Osmosis, Making Essentia 99.9% Pure. Step 2: The Water Is Infused With Trace Amounts Of Electrolytes; Not Just For Taste, But To Better Complement The Body’S Natural Mix. Step 3: Bitter-Tasting Acidic Ions Are Removed, Creating A High Alkaline Water With Ph Levels Of 9.5 Or Higher. Available In A Variety Of Sizes, Essentia Water Bottles Are Recyclable, Bpa-Free Plastic Bottles Available In Cases And Multi-Packs. The 1.5-Liter Bottle Is Designed To Store Easily In The Home, Office, Or Personal Vehicle For Anytime Hydration Moments.,• ESSENTIA WATER 1.5 LITER BOTTLE: 1.5L (50.7 Fl Oz) bottle of Essentia Water ionized alkaline water that’s 99.9% pure with a pH of 9.5 or higher and a clean, smooth taste — so you can stop for nothing.,• 99.9% PURE: Essentia Water is purified with micro filtration and reverse osmosis technology, resulting in Overachieving H2O that is 99.9% pure.,• ENHANCED WITH ELECTROLYTES: Our proprietary blend of electrolytes is added not only for taste, but to complement the body's natural mix.,• IONIZED HYDRATION: Our proprietary ionization process produces clean, smooth-tasting 9.5 pH water by removing bitter-tasting acidic ions.,• TAKE HYDRATION TO THE NEXT LEVEL: Essentia Water is Supercharged Ionized Alkaline Water. So you can do what matters most to you and stop for nothing.","Purified Water, Sodium Bicarbonate, Dipotassium Phosphate, Magnesium Sulfate, And Calcium Chloride",{},"Cap is a small part, and poses a choking hazard, particularly for children.",,,,,
vitaminwater Squeeze Lemonade Water Zero,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed4c8752-dec8-49dc-baf3-0b80653a06dd.png 4x,"sometimes you're going through life, minding your own business, and then bam! you're thirsty. life can be unpredictable like that. luckily, there's vitaminwater zero sugar squeezed, lemonade — the brand-new flavor from vitaminwater just waiting to become your new favorite beverage. think of it as the best-tasting drink you can imagine but, you know, with essential vitamins and great taste. it's like someone bottled up a moment of bliss and added a bunch of vitamins. sounds fancy, right? plus, it's a brand-new flavor, so you have the perfect excuse to ditch your boring, old drink and try something fresh.,don't be intimidated by all those multivitamins. it's like a pep talk in a bottle, with a good source of calcium and magnesium thrown in for good measure. and let's not forget the hydration part — nothing screams ""i've got my life together"" quite like staying hydrated with a delicious, flavored-water beverage with 0 calories per 20 fl oz bottle. for those who want to enjoy every sip and go back for more. plus, the entire vitaminwater zero sugar lineup contains no artificial sweeteners, no artificial flavors, or synthetic colors.,so next time life throws a curveball and you're parched, grab a vitaminwater zero sugar squeezed, lemonade. it's the little things that make life sweet, and this bottled, nutrient-enhanced water beverage is one of them.,• zero calories per bottle, plus deliciousness packed in,• 100% vitamins b5, b6,• 50% antioxidant vitamin c and 0 calories per 20 fl oz bottle,• lemonade-flavored, radically delicious and nutrient-enhanced water beverage with no artificial sweeteners, flavors or synthetic colors,• 20 fl oz bottle of vitaminwater zero sugar squeezed, lemonade","Reverse Osmosis Water, Erythritol, Less Than 0.5% Of: Vitamins A, C, E, B3, B5, B6, B7 (retinyl Palmitate, Ascorbic Acid, Alpha-tocopheryl Acetate, Niacinamide, Calcium Pantothenate, Pyridoxine Hydrochloride, Biotin), Electrolytes (calcium And Magnesium Lactates And Calcium And Potassium Phosphates), Zinc Gluconate, Sodium Selenate, Citric Acid, Phosphoric Acid, Gum Acacia, Glycerol Ester Of Rosin, Natural Flavors, Stevia Leaf Extract",{},,,,,,
Crystal Geyser Alpine Spring Water - 1 Gallon,,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f71e5d29-0922-4410-bd00-38b90091af00.png 4x,"Bottled at the source by CG Roxane. The proof is on the label. There is a difference and we prove 4 on every label. Each Crystal Geyser Alpine spring water label shows the location of our natural, protected, spring water source. Check it out. Be informed. Enjoy crystal geyser. Always bottled at the spring to ensure quality, taste and freshness. CrystalGeyserPlease.com. americanforests.org. Follow Us: Facebook. Twitter. Comments ? 1-800-4-Geyser. There is a difference. For water quality and information and a bottled water report, contact CG Roxane LLC at 1-800-443-9137 or by email at cgroxcustserv(at)crystalgeyser.com. American forests americanforests.org. Making a difference CG Roxane is a proud sponsor of American Forests tree-planting for environmental restoration. Please recycle. Bottled at the CGR spring near Mount Shasta at CG Roxane, Weed, CA 96094.",Natural.,{},"Before opening, make sure cap safety ring is unbroken. Do not refill.",,,,,
"Sparkling Ice® Classic Lemonade Sparkling Water, Zero Sugar",$1.49,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dde7d131-749c-4ecf-aeeb-ade64a4a9927.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14318737-7b34-468c-afe2-25537f2d6c40.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c0028dad-e66b-43f7-8a47-5dcc7b7c6e5b.png 4x","Flavored sparkling water. Antioxidants (Per Bottle): 135 mcg RAE vitamin A. Zero sugar. With vitamins and antioxidants. Low calorie. Caffeine free. (hashtag)sparklingicelife. Please recycle. Empty and replace cap.,• No Sugar,• Caffeine Free,• Kosher,• Low Calorie","Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Lemon Juice Concentrate, Citric Acid, Green Tea Extract, Potassium Benzoate (to Ensure Freshness), Ester Gum, Gum Arabic, Sucralose, Beta Carotene (for Color), Calcium Disodium Edta (to Protect Flavor), Niacinamide (vitamin B3), Retinol (vitamin A), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6).","Refrigerate after opening. As in life, chill for best results.",,,,,,
