Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"You'll love the delicious OLIPOP Cherry Cola Sparkling Tonic! Made with natural ingredients, this refreshing beverage is packed with prebiotics and plant fiber to support your digestive health. With only 2 grams of sugar per can, you can sip guilt-free while you savor the sweet yet tangy blend of cherry and cola. As an added bonus, each can contains 35 milligrams of caffeine to give you a little boost when you need it. So why not give it a try? You can enjoy the fabulous taste of OLIPOP Cherry Cola Sparkling Tonic today with Instacart's same-day delivery or pickup.",Soy Free,"Quench your thirst and support your gut health with wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink. This bubbly beverage is made with fresh-brewed rose petals, guava puree, lemon juice, and live probiotics to promote healthy digestion. With only 35 calories per 355mL serving, this drink is fat-free, gluten-free, and organic. Plus, it's vegan and vegetarian-friendly! Sip on a refreshing blend of floral and fruity flavors while enjoying the benefits of prebiotic and probiotic ingredients. Order wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink today through Instacart for same-day delivery or pickup at your convenience.","Looking for a unique and refreshing juice to add to your beverage repertoire? Try Tahiti Trader Company Organic Island Style Noni Juice, a delicious and nutritious addition to any juice collection. Made with organic noni fruit, this juice is packed with vitamins, minerals, and antioxidants that promote overall health. With Instacart's same-day delivery or pickup option, it's easy to enjoy a taste of the tropics from the comfort of your own home. Sip on this island-style concoction and transport yourself to the exotic oasis of Tahiti without ever leaving your living room. Refreshing, organic, and wholesome—Tahiti Trader Company Organic Island Style Noni Juice is the perfect choice for your next beverage craving.","Craving a daily beverage that's both refreshing and nutritious? Look no further than EPOCA Probiotic Cultured Daily Beverage. Made with filtered water and cultured grade A pasteurized nonfat milk, this low-fat drink contains viable Lactobacillus, Bulgaricus, Streptococcus Thermophilus, Lactobacillus Acidophilus, Lactobacillus Casei, and Bifidus yogurt cultures. With just 35 calories per serving and no fat or cholesterol, it's a guilt-free indulgence that packs a punch of flavor thanks to natural and artificial flavors. Best of all, you can enjoy the benefits of probiotics in every sip. Order EPOCA Probiotic Cultured Daily Beverage today on Instacart for same-day delivery or pickup.",Milk Free
Poppi Classic Cola Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d59bb29a-c9fd-4930-9870-d0f6897aa95d.png 4x,Gluten Free,,,"Sparkling Filtered Water, Organic Cane Sugar, Organic Agave Inulin, Organic Apple Cider Vinegar, Apple Juice*, Natural Flavors, Tartaric Acid, Stevia, Green Tea Extract.",{},,,,,,,
Yakult Probiotic Dairy Beverage,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93659f91-f97e-430c-be87-78435ec1532a.png 4x,Gluten Free,,CRV is included in the price,"Water, Sugar, Nonfat Dry Milk, Glucose, Natural Flavors, Lactobacillus Casei Shirota","Shake gently. Completely remove foil top before drinking.,Keep refrigerated.",Do not use product if seal or bottle is broken.,,,,,,
OLIPOP Cream Soda Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_026bb49a-62cc-46f2-8416-54e75a3eebc6.png 4x,Gluten Free,,"Better than spooning fluffy, sweet marshmallow cream straight out of the jar, our Cream Soda blends irresistibly decadent natural vanilla flavors with premium pure vanilla extract for a sumptuous, smooth soda you’ll savor.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Allulose Syrup, Lemon Juice, Natural Dark Vanilla Flavor, Stevia Leaf*, Himalayan Pink Salt, Natural Vanilla Flavor",Store refrigerated.,,,,,,,
OLIPOP Vintage Cola Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab00f4ce-daa0-4f24-8358-2edfd344694f.png 4x,Gluten Free,,"Our small batch prebiotic Cola has the same old-fashioned taste you grew up loving but is naturally enhanced with distinct notes of vanilla, cinnamon and caramel. It strikes a delicate and delicious balance between healthy and crave-able.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Lime Juice, Natural Cola Flavor, Alpinia Galanga Root*, Stevia Leaf*, Himalayan Pink Salt, Green Tea Caffeine*, Natural Vanilla Flavor, Natural Caramel Flavor, Cinnamon*",Store refrigerated.,,,,,,,
OLIPOP Lemon Lime Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b10d71ce-d8ad-4f88-896f-d555d0ecd07a.png 4x,Gluten Free,,"Like a sweet key lime pie with a fresh squeeze of lemon, this thirst-quenching soda is so refreshing it’ll make you say, “ ahhhhhhhhhh.”","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Quince Juice Concentrate, Lemon Juice, Apple Juice Concentrate, Cassava Root Syrup, Key Lime Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Key Lime Flavor",Store refrigerated.,,,,,,,
Poppi Lime Ginger Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48860e46-7b11-47f8-8b38-472336be6029.png 4x,,,"Wanna stay healthy? Listen to your gut. 70% of your body’s immunity begins with your gut, so we made it fun and easy to get the prebiotics your body needs and boost your immunity at the source. We squeezed the finest performance out of juicy oranges to date. Bubbles with benefits. Fun(ctional) Prebiotic Soda For All.,Aids Digestion,Relieves Bloating,Boosts Immunity","Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Lime Juice*, Organic Agave Inulin, Natural Flavors, Lemon Juice*, Stevia, *concentrate",{},,,,,,,
Suja Organic Organic Lemon Love Juice,$3.99,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df146826-4cda-450b-8b8d-2d32c8a627c0.png 4x,Gluten Free,,"Suja Organic Lemon Love is a nutrient-packed cold pressed juice drink that blends a tangy and sweet lemonade flavor with a hint of heat from cayenne pepper. Rich in functional ingredients, each serving of this Suja juice blend is an excellent source of vitamin C plus 1B CFU of probiotics. Suja Organic Lemon Love is lightly sweetened with stevia, contains no added sugar and has only 1 gram of natural sugar in each delicious serving. The combination of purified water plus organic lemon juice and cayenne pepper creates a tangy and sweet lemonade fruit juice drink with a spicy cayenne kick. This Suja Organic juice drink pairs great with a meal and a sunny day. Suja Organic Lemon Love is Non-GMO Project Verified, vegan and gluten free. We make next-level nutrition because if you are going to sip something, you ought to make it count.","Purified Water, Organic Lemon Juice, Organic Stevia Leaf Extract, Organic Group Cayenne Pepper, Bacillus Coagulans Snz 1989","Shake well, settling is natural.,Perishable. Keep refrigerated.,Enjoy within 5 days of opening.",,,,,,,
Poppi Grape Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d318d2ab-4afa-4209-82de-e67a10d82aa4.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Grape Juice*, Apple Juice*, Organic Apple Cider Vinegar, Natural Flavor, Fruit And Vegetable Juice For Color, Citric Acid, Stevia, *concentrate",{},,,,,,,
OLIPOP Cherry Cola Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29f858c0-3183-459e-8366-920f51572001.png 4x,Gluten Free,,"Imagine your favorite cherry cola. Now imagine it made with real spices, tart cherry juice, and bursting with authentic cola’s crave-worthy collision of sweet and dark flavors. That’s what you’re holding in your hands: a better-for-you remix of a traditionally artificial soda, ready for you to take the first sip.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Tart Cherry Juice Concentrate, Apple Juice Concentrate, Lime Juice, Cassava Root Syrup, Natural Cola Flavor, Stevia Leaf*, Himalayan Pink Salt, Green Tea Caffeine*, Natural Black Cherry Flavor",Store refrigerated.,,,,,,,
Poppi Orange Prebiotic Soda 4 Pack Case,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9cbcb5fa-92d8-405c-b833-a44158449fbc.png 4x,,,,"Sparkling Water, Organic Cane Sugar, Orange Juice*, Organic Apple Cider Vinegar, Organic Agave Inulin, Natural Flavors, Lemon Juice*, Stevia, *concentrate",{},,,,,,,
Poppi Watermelon Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b04fd728-9efe-4a3a-8871-ea9da1630494.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Apple Juice*, Organic Agave Inulin, Organic Apple Cider Vinegar, Natural Flavors, Stevia, Tartaric Acid, Vegetable Juice Color, Watermelon Juice*, Beta Carotene Color, *concentrate",{},,,,,,,
Poppi Lemon Lime Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_563b88d4-c959-446f-9c83-6cf3739f8034.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Apple Juice*, Organic Apple Cider Vinegar, Natural Flavor, Citric Acid, Stevia, Lime Juice*, Lemon Juice*, *concentrate",{},,,,,,,
OLIPOP Tropical Punch Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fac8e8cc-193a-4ef4-ba1c-de88eccda974.png 4x,Gluten Free,,"Like a vacation for your tastebuds, Tropical Punch perfectly balances pineapple, passion fruit, mandarin, and apple juices for a crisp, juicy and nostalgic flavor reminiscent of your favorite childhood fruit punch.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Lemon Juice, Pineapple Juice Concentrate, Passion Fruit Juice Concentrate, Apple Juice Concentrate, Cassava Root Syrup, Mandarin Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Fruit Punch Flavor",Store refrigerated.,,,,,,,
OLIPOP Ginger Ale Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bafbf9c1-17d9-47de-8d9a-3f8d54bafe43.png 4x,Gluten Free,,"Pinkies Up! Sweet lime, tart quince, and real ginger root help create a uniquely refreshing yet nostalgic Ginger Ale flavor that will make you feel oh so sophisticated.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Lime Juice, Apple Juice Concentrate, Quince Juice Concentrate, Cassava Root Syrup, Ginger Juice, Lemon Juice, Natural Ginger Ale Flavor, Stevia* Himalayan Pink Salt",Store refrigerated.,,,,,,,
"Poppi Prebiotic Soda, Cherry Limeade",,$10.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_72eb3e55-5afa-4588-8a2d-dffb72040242.jpg 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Cherry Juice*, Organic Agave Inulin, Natural Flavors, Lemon Juice*, Lime Juice*, Stevia, *concentrate",{},Contains 3% juice,,,,,,
Poppi Orange Cream Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03a2ae1a-99d1-4801-9f98-4a63fdf72006.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Apple Juice*, Natural Flavor, Organic Apple Cider Vinegar, Organic Agave Inulin, Citric Acid, Stevia, Beta Carotene Color, Orange Juice*, *concentrate",{},,,,,,,
"Poppi Prebiotic Soda, Lemon Lime",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0ccce67-80ff-406b-82de-5a67d1759838.jpg 4x,,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Apple Juice*, Organic Apple Cider Vinegar, Natural Flavor, Citric Acid, Stevia, Lime Juice*, Lemon Juice*, *concentrate",{},,,,,,,
"So Good So You Immunity, Watermelon Strawberry Probiotic Shot",,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ec698ddf-b850-4192-a74f-1bba86aa4a49.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26b72c66-905a-4538-b306-d27df99bf456.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c92333d-b46b-4ccb-b3ab-9275eac88479.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18496233-d16c-4ef6-a86e-9daa02e0ab4e.jpg 4x",,,"When it comes to staying in peak form, every good decision helps. When it comes to getting over the non-stop bugs that come with school, work and the world at large, that means an immune boost that’s good for your overall gut health. These ultra-delicious immunity shots deliver 100% of an adult’s recommended daily value of Vitamins D and C, with extra immune and digestion support from one billion CFUs of probiotics. Check off a couple of good-nutrition boxes — and savor the taste of making a darn good choice.","organic watermelon juice, organic strawberry juice, organic pineapple juice, organic acerola puree, Bacillus coagulans GBI-30 6086 (probiotic), organic amla extract, organic vegan vitamin D3",Always refrigerate and enjoy within 24 hours of opening.,,,,,,,
OLIPOP Doctor Goodwin Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16cd9eed-f6ea-4088-a97b-f101291c207f.png 4x,Gluten Free,,"Crack open a swift kick of boldly refreshing flavors. Doctor Goodwin is a head-on collision of ingredients like rich plums, sweet prunes, and zesty tart cherries with a touch of pure vanilla extract for a true soda enigma the Doctor would actually order.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Allulose Syrup, Cassava Root Syrup, Prune Juice Concentrate, Plum Juice Concentrate, Tart Cherry Juice Concentrate, Natural Spice Flavor, Natural Fruit Flavor, Lemon Juice, Stevia Leaf*, Himalayan Pink Salt, Double-Fold Vanilla*, Green Tea Caffeine*, Malic Acid",Store refrigerated.,Contains 50mg of natural caffeine from green tea,,,,,,
Poppi Cherry Cola Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_289ffd0a-80cb-412f-ae94-386df0984fd9.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Organic Apple Cider Vinegar, Apple Juice*, Natural Flavors, Tartaric Acid, Stevia, Natural Caffeine, *concentrate",{},,,,,,,
Poppi Wild Berry Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a6997342-f1e4-4c26-ada1-3a53868c7e6f.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Organic Agave Inulin, Apple Juice (Concentrate), Natural Flavors, Citric Acid, Raspberry Juice (Concentrate), Stevia, Vegetable Juice Color.",{},,,,,,,
Poppi Root Beer Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85ff4a3f-bae0-420d-9fde-05f3f14365fb.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Apple Juice*, Fruit Juice Color, Organic Apple Cider Vinegar, Organic Agave Inulin, Natural Flavors, Stevia, Natural Tartaric Acid. *concentrate",{},,,,,,,
OLIPOP Watermelon Lime Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab5b0d83-6237-4841-a950-58c84766c815.png 4x,Gluten Free,,"That candy-like flavor you’ve always loved, but in liquid form. With a mix of watermelon, tart cherry, and lime juice, this bubbly soda balances brightness with a crave-worthy pop of sweetness.","Ingredients: Carbonated Water, Watermelon Juice, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Lime Juice, Apple Juice Concentrate, Tart Cherry Juice Concentrate, Cassava Root Syrup, Stevia Leaf*, Himalayan Pink Salt, Natural Watermelon Flavor",Store refrigerated.,,,,,,,
Poppi Doc Pop Prebiotic Soda 4 Pack Case,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_229735ce-8e11-4077-8804-bb2ed328d74d.png 4x,,,,"Sparkling Water, Organic Cane Sugar, Natural Flavors, Organic Agave Inulin, Organic Apple Cider Vinegar, Apple Juice*, Stevia, Natural Tartaric Acid, Natural Caffeine, *concentrate",{},,,,,,,
"Poppi Prebiotic Soda, Grape",,$10.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69a77bda-d409-4b1b-82f5-a615a9e36519.jpg 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Grape Juice*, Apple Juice*, Organic Apple Cider Vinegar, Natural Flavor, Fruit And Vegetable Juice For Color, Citric Acid, Stevia, *concentrate",{},,,,,,,
