Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free
NESCAFÉ Clásico Dark Roast Instant Coffee,,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f052a268-c734-45d6-8628-85617379eb62.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8d86a04-cd50-4129-acac-c0aab794f2d1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a496cf77-1b74-46e1-a903-df3b248c8624.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7fa9608-5d9f-4bcc-9e6c-3497dbb011bb.jpg 4x","NESCAFÉ CLÁSICO Dark Roast delivers rich, bold flavor to your cup in an instant with quality you can taste in every sip. This distinctive dark roast is crafted with 100% real coffee. We use only the finest-quality, respectfully grown arabica and robusta coffee beans and roast them separately to capture a unique flavor and aroma for you to enjoy. Discover a bolder, richer flavor in this remarkably unique instant coffee you can make anytime the moment is right. Savor an irresistible cup of coffee instantly with the world’s best-selling coffee brand,* NESCAFÉ. *Based on 2020 global retail sales data reported by independent research company comparing brands of coffee.,• PREMIUM COFFEE: Savor smooth, well-balanced flavor in an instant with the pure coffee taste of NESCAFÉ CLÁSICO Dark Roast Instant Coffee,• EXCEPTIONAL TASTE: NESCAFÉ invites you to elevate the taste of the coffee in your cup with our bolder, richer taste that's crafted to perfection,• PURE QUALITY: Crafted with respectfully grown, high-quality coffee beans from around the world, NESCAFÉ is proud to be the world’s best-selling coffee brand*,• EASY TO PREPARE: It's never been easier to get a perfect cup of coffee. Simply scoop one teaspoon of NESCAFÉ CLÁSICO Instant Coffee, add 6 fluid ounces of hot water, stir and enjoy,• MAKES UP TO 100 CUPS: When prepared as directed, this 7-ounce jar makes up to 100 cups of real, premium instant coffee that satisfies with every sip, whether you like your coffee black or with cream and sugar",Instant Coffee,"1 tsp + 6 oz = stir and enjoy!,Keep in a cool dry place. Packaged in a protective atmosphere.,Close tightly.","To avoid clumping, insert dry utensil.",,
"Dunkin' Roast & Ground Coffee, Unflavored",$11.49,$13.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e418a976-9550-49d5-8a9d-566288f1a37d.jpeg 4x,"America runs on Dunkin’ — and this is the coffee that started it all. Dunkin’ Original Blend Coffee is the rich, smooth, medium roast that made the brand famous. The ground coffee in this convenient resealable bag is made from 100% premium Arabica beans, roasted and blended to deliver that same deliciously drinkable coffee taste that could only be Dunkin’. In other words, when the craving strikes and you can’t make it to a shop, this is just what you need brew up your go-to Dunkin’ coffee at home. Keep a bag on hand at home so it’s always ready when you are.",Coffee.,"Try it hot:,1.Start with a clean coffeemaker and use fresh, cold water for the best flavor.,2. Measure one heaping tablespoon* of ground coffee per 6 fl oz of water (adjust to taste).,3. Then, coffee in hand, officially begin your day.,*This coffee is specially blended and roasted to achieve the signature Dunkin' Donuts taste at home. We recommend using 1 1/2 tablespoons of ground coffee per 6 fl oz of water.,Try it cold:,When Brewing iced coffee, use half the amount of water you normally use. Brew. Pour over ice and enjoy!",,,
"Dunkin' French Vanilla, K-Cup Pods",,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_165d0cb5-90d9-4e7e-a8dd-b346d3efaf87.jpg 4x,"There’s vanilla coffee, and then there’s Dunkin’ French Vanilla. And Dunkin’ French Vanilla artificially flavored coffee is anything but ordinary. It starts with our Original Blend, made from premium coffee beans to deliver an especially crave-worthy cup. Then comes the French Vanilla goodness — nothing quite compares to that rich and smooth, sweet and creamy, distinctly Dunkin’ deliciousness. Every sip is a treat for your taste buds. And these convenient K-Cup pods are made to work with your home Keurig machine, which means you can enjoy that amazingness anytime you want, in just a few moments. Yep, it’s safe to say vanilla flavored coffee doesn’t get any better this.","Coffee, Natural And Artificial Flavor.","For use in Keurig K-Cup Brewers. For the most authentic Dunkin' Donuts taste, use your brewer's 8 ounce setting.",Caution: Pod is hot. Allow to cool after use.,,
Starbucks French Roast Dark Roast Ground Coffee,$10.39,$19.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_36fcdd28-e5d8-49b2-83e0-d41641c24bba.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a9a3b3b9-e614-4049-a98b-5878b0bb7167.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07e79efe-6357-42b7-86a8-6e5f5c42c239.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f28ae82-a1ea-4c20-a345-44c76b6ad13f.jpg 4x","Muted with oil, the tumbling beans become eerily silent. A master roaster watches, knowing that if he pushes them a second too long, they’ll burst into flames. White smoke hangs down as the glistening beans turn ebony. This is Starbucks French Roast coffee, and you can’t roast it darker. Straightforward, light-bodied with low acidity, and immensely popular since 1971, our darkest roast is adored for its intense smokiness. We source 100% arabica beans when crafting our coffee. Each coffee bean requires a unique balance of temperature and time to reach its individual peak of aroma, acidity, body and flavor. The Starbucks Difference: What is the Starbucks difference? It's our commitment to create a long-term supply of high-quality, gourmet coffee and positively impact the lives and livelihoods of coffee farmers and their communities.,Starbucks, in pursuit of premium quality coffee, harmoniously sources beans from more than 30 coffee-producing countries located within the ""Coffee Belt."" As a result, we have instituted our own set of comprehensive guidelines to help ensure the coffee we buy is ethically grown and responsibly traded. Nestlé uses Starbucks trademarks under license.,• PREMIUM GROUND COFFEE: Starbucks delivers fresh tasting roasted coffee cup after cup with this 12-ounce bag of French Roast dark roast ground coffee,• STARBUCKS FRENCH ROAST COFFEE: With notes of dark caramel and sweet smoke, the intense and roasty flavor of Starbucks French Roast coffee is as dark as our dark roasts get; it’s gourmet coffee that's perfect for every day,• CAFE QUALITY: Starbucks adheres to the highest quality standards—shipping you the same carefully roasted 100% arabica coffee beans we brew in our cafés,• MAKE IT YOUR OWN: Whether you like black coffee or adding cream and sugar, Starbucks coffee is carefully ground to be ideal for a variety of brewing methods, including drip brewer, coffee press, pour-over and moka pot,• ETHICALLY SOURCED: Starbucks is committed to 100% ethical coffee sourcing in partnership with Conservation International",Ground Arabica Coffee,Freshness: Seal bag tightly and store at room temperature.,,,
Folgers Roast & Ground Coffee,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_116e31bb-d46b-4e50-ae75-c83168840e08.png 4x,"Folgers Classic Roast coffee is made from Mountain Grown beans, the richest and most aromatic in the world. This classic medium-roast ground coffee has a fresh, eye-opening aroma that will entice you every morning. Folgers Classic Roast coffee is classic for a reason—that consistently rich, pure taste, cup after cup and The Best Part of Wakin’ Up for more than 150 years.,Folgers coffee great pure taste is equally matched by the dedication to bringing you the flavors you love in the format you choose. Some of your favorite Folgers roasts are also available in canisters, K-Cup Pods, instant, individual single serve packets and other convenient formats.",100% Pure Coffee,"For best brewing results, we recommend 10 servings cold water to 1/2 measuring cup Folgers coffee",,,
Dunkin' Roast & Ground Coffee,$11.49,$13.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4faaa46-c52e-40b1-8ad8-dd7245edd812.jpeg 4x,"There’s vanilla coffee, and then there’s Dunkin’ French Vanilla. And Dunkin’ French Vanilla artificially flavored coffee is anything but ordinary. This 100% premium Arabica blend delivers an especially crave-worthy cup. Nothing quite compares to that rich and smooth, sweet and creamy, distinctly Dunkin' amazingness. Every sip is a treat for your taste buds, and that indulgent vanilla aroma is a delight for your nose, too. Its versatile ground coffee form can conveniently be used in virtually any coffee maker, which means you can enjoy that amazingness anytime you want. Yep, it’s safe to say vanilla flavored coffee doesn’t get any better this. Order now!","Coffee, Natural And Artificial Flavor.","1.Start with a clean coffeemaker and use fresh, cold water for the best flavor.,2. Measure one heaping tablespoon* of ground coffee per 6 fl oz of water (adjust to taste).,3. Then, coffee in hand, officially begin your day.,*This coffee is specially blended and roasted to achieve the signature Dunkin' Donuts taste at home. We recommend using 1 1/2 tablespoons of ground coffee per 6 fl oz of water.",,,
Starbucks Pike Place Medium Roast Ground Coffee,$10.39,$19.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3a0c7c2-5524-4e17-9804-383296a7b0ce.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ed7bda4-9111-46ca-a1bd-aafc63367455.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f07621c-e0ac-44c0-aba2-012ddccd2e80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dbf071c9-2f5b-4517-9705-f8a61b6973f5.jpg 4x","Named for our first store in Seattle’s Pike Place Market, this coffee is served fresh every day in Starbucks cafés around the world. A smooth, well-rounded blend of Latin American beans with subtly rich flavors of cocoa and praline, it’s the perfect brewed coffee—a consistently delicious cup you can really look forward to. Enjoy the spirit of Pike Place in every sip.,The Starbucks Difference: What is the Starbucks difference? It's our commitment to create a long-term supply of high-quality, gourmet coffee and positively impact the lives and livelihoods of coffee farmers and their communities. Starbucks, in pursuit of premium quality coffee, harmoniously sources beans from more than 30 coffee-producing countries located within the ""Coffee Belt."" As a result, we have instituted our own set of comprehensive guidelines to help ensure the coffee we buy is ethically grown and responsibly traded.,Pike Place is a registered trademark of The Pike Place Market PDA, used under license. Nestlé uses Starbucks trademarks under license. Keurig and K-Cup are trademarks of Keurig Green Mountain, Inc., used with permission.,• PREMIUM GROUND COFFEE: Starbucks delivers fresh tasting roasted coffee cup after cup with this 12-ounce bag of Pike Place Roast medium roast ground coffee,• STARBUCKS PIKE PLACE ROAST COFFEE: A smooth, well-rounded blend of Latin American coffees with subtly rich notes of cocoa and rich praline; it’s gourmet coffee that's perfect for every day,• CAFE QUALITY: Starbucks adheres to the highest quality standards—shipping you the same carefully roasted 100% arabica coffee beans we brew in our cafés,• MAKE IT YOUR OWN: Whether you like black coffee or adding cream and sugar, Starbucks coffee is carefully ground to be ideal for a variety of brewing methods, including drip brewer, coffee press, pour-over and moka pot,• ETHICALLY SOURCED: Starbucks is committed to 100% ethical coffee sourcing in partnership with Conservation International",Ground Arabica Coffee,Freshness: Seal bag tightly and store at room temperature.,,,
NESCAFÉ Taster's Choice French Medium-Dark Roast Instant Coffee,$12.69,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e88a3cc6-66b1-4292-bf05-fa098d192a08.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a0aed938-d76c-46fc-a9aa-d467928be677.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1210c2dc-68f0-4d58-92d9-055df927a332.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5129f2b0-57a6-47fe-8951-52d6a53f60b1.jpg 4x","NESCAFÉ Taster's Choice French Roast Medium Dark Roast delivers bold, complex flavor in every cup. Crafted with 100% real coffee, you can taste the quality instantly. We use only the highest quality, responsibly sourced arabica and robusta coffee beans and carefully roast them to capture each blend’s full flavor and aroma. Savor an irresistible cup of coffee, instantly with the world’s best-selling coffee brand,* NESCAFÉ.,*Based on 2020 global retail sales data reported by independent research company comparing brands of coffee.,• PREMIUM FLAVOR—Savor rich aroma and flavor with NESCAFÉ Taster's Choice French Roast Instant Coffee.,This full-bodied, dark-roasted coffee delivers intense flavor with smoky overtones.,• EXCEPTIONAL TASTE—This dark roast coffee delivers rich, bold flavor to your cup in an instant,,with quality you can taste in every sip,• PURE QUALITY—Crafted with respectfully grown, high-quality coffee beans from around the world, NESCAFÉ is proud to be the world’s best-selling coffee brand*,• EASY TO PREPARE—It's never been easier to get a perfect cup of coffee. Simply scoop 1 teaspoon,,add hot water, stir and enjoy,• MAKES 105 CUPS—Scoop your way up to 105 cups of real, premium instant coffee",Instant Coffee,"Customize your cup! Select desired cup, add hot water, enjoy! Small 6 fl oz cup / 1 tsp. Medium 8 fl oz cup / 1 heaping tsp. Large 12 fl oz cup / 2 tsp.,Store in a cool, dry place.",,,
Starbucks French Dark Roast K-Cup Coffee,$10.39,$18.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_300bf6db-374d-40ca-bbc8-5079b0d58a5d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ded2abd-a391-4ed9-bdd2-c6b6184d96af.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3cd21690-d218-4475-8c28-bff200bfe63d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4f35a2b-fd28-4bc8-8997-790d65225be9.jpg 4x","Muted with oil, the tumbling beans become eerily silent. A master roaster watches, knowing that if he pushes them a second too long, they’ll burst into flames. White smoke hangs down as the glistening beans turn ebony. This is Starbucks French Roast coffee, and you can’t roast it darker. Straightforward, light-bodied with low acidity, and immensely popular since 1971, our darkest roast is adored for its intense smokiness. Nestlé uses Starbucks trademarks under license,• 10-count K-Cup pods box of French Roast dark roasted coffee,• Intense and smoky with pure, explosive flavor,• Crafted with the same 100% arabica beans we brew in our cafés,• Make it your own by adding milk, cream, syrup, etc.,• New look. Same great taste. You may receive either package",Ground Arabica Coffee.,"It's Easy to Brew the Perfect Cup: Use 8 oz setting on your brewer. Press the brew button. Add milk or sugar to bring out even more flavor.,Store unused pods at room temperature.",Caution: Pod is hot. Allow to cool after use.,,
Dunkin' Roast & Ground Coffee,$11.49,$13.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0611a119-e280-40c5-9cb5-603980a9ccac.jpeg 4x,"Love that Dunkin’ coffee taste but prefer less caffeine? Count on Dunkin’ Decaf for medium roast decaffeinated coffee that hits the spot. The ground coffee in this convenient resealable bag is made from premium Arabica beans, blended to deliver that same rich, smooth taste as Dunkin’ Original Blend. It’s that perfect, no-fuss flavor, just like the cup you’d order from the counter. Decaffeinated and ready in a snap. So, when the craving strikes and there’s not even time to make it to a drive-thru, this is just what you need brew up your go-to Dunkin’ coffee at home. Keep a bag on hand at home so it’s always ready when you are—order now!",Decaffeinated Coffee.,"1. Start with a clean coffeemaker and use fresh, cold water for the best flavor.,2. Measure one heaping tablespoon of ground coffee per 6 fl oz of water (adjust to taste).,3. Then, coffee in hand, officially begin your day.",,,
Dunkin' Roast & Ground Coffee,$10.39,$13.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0732659c-6b06-46a6-bde6-f252fcd58326.jpeg 4x,"Love that Dunkin’ coffee taste but prefer less caffeine? Count on Dunkin’ Decaf coffee pods for medium roast decaffeinated coffee that hits the spot. These convenient K-Cup pods contain coffee made from premium coffee beans, blended to deliver that same rich, smooth taste as Dunkin’ Original Blend. It’s that perfect, no-fuss flavor, just like the cup you’d order from the counter. Decaffeinated and ready in a snap. So, when the craving strikes and there’s not even time to make it to a drive-thru, just pop a pod into your Keurig machine and enjoy your go-to decaf Dunkin’ coffee taste at home.",Decaffeinated Coffee,"For use in Keurig K-Cup brewers. For the most authentic Dunkin' Donuts taste, use your brewer's 8 ounce setting.",Caution: Pod is hot. Allow to cool after use.,,
Starbucks Vanilla Chilled Coffee Drink,,$7.77, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c5cd932-bf1c-45f2-9e48-ef9e0f9ee94f.jpg 4x,"Pop the cap. Savor the sip. Go. Vanilla Frappuccino chilled coffee drink is a harmonious blend of Starbucks coffee and creamy milk with a tasty hint of vanilla.,• A delicious treat for on the go.,• Discover Vanilla Frappuccino coffee drink, a creamy blend of coffee and milk, mixed with divine vanilla flavor,• We use the finest Arabica beans to create a rich and undeniably luscious beverage","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Maltodextrin, Pectin, Natural Flavor.","Shake well, serve chilled over ice.",Contains milk ingredients.,,
Café Bustelo Roast & Ground Coffee,$6.89,$9.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25990b87-dd98-4484-a93f-d6cbda7aadd4.jpeg 4x,"¡Estás invitado! Explore and enjoy the bold taste of pure, dark-roast coffee flavor from Café Bustelo. This espresso-style dark roast coffee is made from 100% pure coffee beans specially blended, roasted to perfection, ground, and packaged in a vacuum-sealed brick for convenience and freshness by the beloved Café Bustelo brand. The distinct blend of purposely selected beans gives this espresso dark roast ground coffee a vibrant character all its own. Es un sabor como ningún otro. And its delicious, full-bodied flavor stands out, with or without cream or sugar. Made to brew and experience in your own way, in just one sip you’ll know why this rich flavor is essential for traditional Latin American coffee drinks like a Cafecito or a Café con Leche",Coffee.,"Prepare using your preferred method: drip brewed, cappuccino, espresso or cold with ice.",,,
Starbucks Frappuccino Mocha Coffee Drink,$10.79,$11.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82787e5a-a9fc-4cb5-9797-27aeca2eaf24.jpeg 4x,"Pop the cap. Savor the sip. Go. Mocha Frappuccino chilled coffee drink is a harmonious blend of Starbucks coffee and creamy milk with chocolaty mocha.,• Pack of 4 glass bottles,• You'll fulfill your coffee daydream in our Mocha Frappuccino coffee drink, a creamy blend of the finest Arabica coffee and milk, swirled together with our indulgent and chocolaty mocha,• We use the finest Arabica beans to create a rich and undeniably luscious beverage","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Cocoa, Pectin.","Serving Suggestion: Shake well, serve chilled over ice.",,,
