Product Title,Product Price,Images,Contains,May Contain,Package Quantity,Net weight,TCIN,UPC,Item Number (DPCI),Origin,Grocery Disclaimer,Dietary Needs,Features,Style
Smucker's Uncrustables Frozen Whole Wheat Peanut Butter & Strawberry Jam Sandwich - 8oz/4ct,$3.99,"https://target.scene7.com/is/image/Target/GUEST_8b68429c-25db-45df-9a37-2d9db4d92ddc?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_13b71c15-1e04-4da6-8269-4d51fcf680f3?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8266d763-43b6-4ca4-ae27-5ddb9cb6e330?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_330f187f-fe72-42a6-848d-7b27dc0ba355?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_eb4c5b30-3f4a-4246-aa55-7431836b6414?wid=800&hei=800&qlt=80&fmt=pjpeg"," Peanuts, Wheat"," Tree Nuts, Milk", 4, 8 Ounces, 13234508, 051500041383, 270-02-0101, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,
Stouffer's Salisbury Steak with Mac and Cheese Frozen Meal - 9.625oz,$3.59,"https://target.scene7.com/is/image/Target/GUEST_f91d9737-117c-4762-aa3c-10dd4ef00109?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_0e97a04f-8d1e-4944-af06-06d474020429?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_d372d672-6aa4-4b07-8aa5-78b312c86c49?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_46e9a37d-dfa3-4243-bd6a-161c7bc1698e?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_aeb1bc1b-639f-4d94-b0e8-ad7ddc1e8004?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Soy, Wheat", Eggs, 1, 9.62 Ounces, 13459031, 013800100702, 270-02-1550, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", High Protein, No Preservatives,
DiGiorno Cheese Stuffed Crust Pepperoni Frozen Pizza - 8.5oz,$3.99,"https://target.scene7.com/is/image/Target/GUEST_d18a621b-cd72-4053-864b-6a1ac213d257?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_391a69ef-e844-4518-8484-c431bcff5acd?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_f2ebd621-6907-4c87-b55d-1500300bf4f7?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_bae4893d-141e-4d3e-affc-eb58f24b3703?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_f8a81303-7c9d-4535-9c59-cfbf44825dca?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", Eggs, 1, 8.5 Ounces, 13505878, 071921016692, 288-03-0699, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", High Protein,, Stuffed Crust
Lean Cuisine Frozen Glazed Chicken - 9.5oz,$3.49,"https://target.scene7.com/is/image/Target/GUEST_bb55244a-c4aa-43e8-8980-93dd8cebac83?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_426fefc8-0dea-4a61-9021-c67573ea57ce?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_339cc619-973e-41a0-9257-d5a05b78c640?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_18c03bcf-f6a7-43cb-8e6c-c61ddba76283?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_cd96c469-e2cc-4e0a-baa7-0f4690aff6e5?wid=800&hei=800&qlt=80&fmt=pjpeg"," Soy, Wheat",, 1, 9.5 Ounces, 88063608, 013800312518, 270-02-8639, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," 0 Grams Trans Fat, High Protein", Whole Grain,
Lean Cuisine Protein Kick Four Cheese Frozen Pizza - 6oz,$3.49,"https://target.scene7.com/is/image/Target/GUEST_7695c428-c169-4eb9-9568-4d5eaf16a8b7?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_c9da45ce-3e45-4cf2-bd4c-2d4cbb092c0f?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_c0129c32-37a3-45aa-86a4-539bcea388e2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_3cb0d949-26af-4198-9995-3edf42e3436e?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8a4a3c67-7f4a-40e1-804b-d8a83521a319?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", Fish, 1, 6 Ounces, 13291617, 013800047199, 270-02-0300, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," High Protein, 0 Grams Trans Fat"," No Artificial Flavors, No Artificial Colors", Traditional Crust
Purple Carrot Vegan Frozen Plant-Based Spinach Artichoke Cavatappi Bowl - 10.75oz,$4.79,"https://target.scene7.com/is/image/Target/GUEST_fe0d889c-e99c-49e2-86af-01fb1f6ae60d?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1c2f2153-1285-44b0-bcf9-a1655998f38b?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_dc447b41-247b-4011-92c1-8cd327f0682e?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_0bc99939-e3cd-4328-a1ee-7bad4d55916c?wid=800&hei=800&qlt=80&fmt=pjpeg"," Wheat, Soy",, 1, 10.75 Ounces, 84728627, 072655040090, 270-02-3997, Assem USA w/foreign/dom. parts,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,
El Monterey Family Pack Beef & Bean Frozen Burritos - 32oz/8ct,$5.29,"https://target.scene7.com/is/image/Target/GUEST_e8769e3f-1a43-4230-bc5b-0515db83ecb9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_2425ed08-6531-4af2-937c-aa69cb1403a3?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_109784c6-a30e-4502-aa43-13001884e4c9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_51270df3-120c-4e81-b2d8-3c5401252111?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_9a746137-7287-4192-b791-2cd9bae816e3?wid=800&hei=800&qlt=80&fmt=pjpeg"," Soy, Wheat", Milk, 8, 32 Ounces, 13329510, 071007018688, 270-06-0558, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,
Devour Frozen Smokehouse Meat & Potatoes - 9.8oz,$3.79,"https://target.scene7.com/is/image/Target/GUEST_77dbc493-24b1-4547-8cc7-1dff0000d05b?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_af48254e-fefa-46c3-b98e-9dd98b8183c0?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_6ca41688-b525-4f4e-a6b3-b0a1d3789ddc?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_f084638c-eaec-4b5c-b18f-cd54da26ac77?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_bfbbdc6e-4cc5-4c80-96d4-f8a0471bbd78?wid=800&hei=800&qlt=80&fmt=pjpeg", Anchovy,, 1, 9.8 Ounces, 81624933, 025155000545, 270-02-2888, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,
Stouffer's Mac and Cheese Frozen Meal - 12oz,$3.79,"https://target.scene7.com/is/image/Target/GUEST_e0c7aa87-0a1e-43f5-a292-a4b67dd00eab?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_64453545-db3f-4a1e-b422-14eef40e54f2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1edbc3b8-fcd5-4c3d-b0cf-1123c5c75c5c?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ff9aefd7-544b-4dee-8b56-c1c6a42c0261?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ff02d95b-1e54-4b5a-90e6-40fb715aa736?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", Eggs, 1, 12 Ounces, 13291577, 013800103406, 270-02-1499, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," 0 Grams Trans Fat, High Protein"," No Added Sugar, No Preservatives",
Amy's Frozen Pesto Tortellini Bowls - 9.5oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_51d349f0-1955-4b7e-9b21-64f614df3009?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_84a42e34-d267-412f-bd3f-92d91c1342d2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_5156a1d3-5223-4398-9d76-360f882b9bf5?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_fc5b0302-3d60-4c37-a3a0-e933c6af25ea?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat"," Soy, Tree Nuts", 1, 9.5 Ounces, 13192275, 042272001767, 270-02-0512, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," Non-GMO Project Verified, Organic Certified, Kosher"," Peanut-Free, Does Not Contain Shellfish, Does Not Contain Egg, Does Not Contain Fish",
DiGiorno Traditional Crust Four Cheese Frozen Pizza - 9.2oz,$3.99,"https://target.scene7.com/is/image/Target/GUEST_967bb122-609b-4eda-aa1f-451024da6416?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_25bba584-d976-4154-8cb0-b50e00eb8005?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b4d179ff-312d-462b-9d0c-8cbcaa9e2df1?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b28fbb77-f16d-4066-b0c2-45a880842b0d?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_10b47542-5954-4756-b009-ce343962539b?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Soy, Wheat",, 1, 9.2 Ounces, 13428577, 071921008284, 288-03-0467, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", High Protein,, Traditional Crust
