Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free
"New Belgium Brewing Imperial IPA Beer, 19.2 fl oz Can",$5.29,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0aa98396-e432-4cf0-9cfe-bfc5e30b2fbb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_444f861d-3be6-4141-9cf2-7c992da49eb8.jpg 4x","Voodoo Ranger Imperial IPA is a beer crafted with a rare blend of choice hops. It features an explosion of fresh-cut pine and citrus flavors. This premium craft beer is bold yet balanced, brewed with a mix of Delta, Bravo, Centennial, Cascade, Calypso, and Mosaic hops. It’s a rich, classic, and complex beer that’s likely to become your new go-to IPA. Plus, with a 9% ABV, Voodoo Ranger Imperial is basically IPA royalty. Brewed by New Belgium Brewing, a certified B-Corp and proud member of 1% for the Planet.,If you’re looking for innovative IPAs that are hop forward, bold, and occasionally hazy, the Voodoo Ranger fam has your back. UOM is 19.2 fluid ounces. Count: one can.",contains GLUTEN,See bottom for enjoy by date.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Foster's Lager Oil Can,$2.75,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e76e8bdf-69d7-4705-b09e-4f62a2a6f4b3.png 4x,"William and Ralph Foster created Foster's in 1887. Now, more than 120 years later, Foster's is the largest selling Australian beer brand in the world. Unlike other beers, Foster's hops are added at the end of the brewing process to preserve their freshness, giving the beer it's bold, refreshing taste. For the last 120 years, Foster's has been delivering beer with an amber golden color, and a bold, refreshing taste. It's unique Australian roots, makes Foster's beer Cans the perfect 5% ABV option for your next party, cookout or relaxing night at home. No matter what the occasion, Fosters will deliver. With it's low malt notes and slight hop bitter, it's sure to be a crowd pleaser at your next holiday, whether it's a 21st birthday party, summer barbeque or tailgate.,•Foster's Lager,•A moderate aroma with a fully malty character,•Foster's iconic 'Oil Can' arrived in the U.S. in 1972,•Delivers a refreshing beer-drinking experience pairing perfectly with any occasion,•Light & Refreshing with 5% ABV","Water, Barley Malt, Yeast, Corn Syrup (Dextrose And Maltose)*, Hops *Not Hfcs, Not Present In The Final Product",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Corona Light Mexican Lager Import Lower Calorie* Light Beer Bottles,$18.99,$21.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85d14b90-0bf7-4f15-94de-e83a8c42a078.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bb5dbcd2-27e9-44e5-bceb-b7424ec809e3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7747cdc1-0c75-40ab-be30-0ebab152d0de.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e942e26-5cfc-4581-ad92-6979e6b43a28.jpg 4x","Corona Light Mexican Lager Import Beer is a lower-calorie, lower-carb beer with just 99 calories in each 12 fl. oz. bottle.* Brewed for a uniquely refreshing taste, this Mexican light beer offers a pleasant fruity-honey aroma, a distinctive hop flavor, and a crisp and clean finish. The perfect choice for those seeking a flavorful light lager beer, Corona Light tastes best chilled with a lime wedge. It is an excellent Mexican lager style beer to pair with spicy food, pork, shellfish, steak, or citrus-infused dishes. Share this 12-pack of light bottled beer with friends on a hot day or at your next backyard barbecue. For a refreshing, full-flavored Mexican beer with fewer carbs and calories*, enjoy Corona Light—The Light Cerveza. While this is not a low calorie beer or light calorie beer, this product is lower calorie as compared to Corona Extra. *Per 12 fl. oz. serving average analysis: Calories: 99, Carbohydrates: 4.8 grams, Protein: 0.8 grams, Fat: 0.0 grams as compared to Corona Extra per 12 fl. oz. serving average analysis: Calories: 149, Carbs: 14.0 grams, Protein: 1.2 grams, Fat: 0.0 grams.,• 12-pack of 12 fl. oz. bottles of Corona Light Mexican Lager Beer,• Lite beer with distinctive hop flavor and a pleasant fruity-honey aroma,• The perfect cerveza to enjoy with spicy food, pork, shellfish, steak, or citrus-infused dishes,• Pilsner-style light lager beer with a crisp, clean finish,• Imported beer brewed and bottled in Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
Topo Chico Hard Seltzer Variety 12 Pack Cans,$19.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_865cbf45-5f23-482a-9770-a50044e0a85c.png 4x,"Inspired by over 125 years of Topo Chico's legendary refreshment, these hard seltzers are bursting with crisp, refreshing taste. They're gluten free and contain 2g of sugar, 100 calories and added minerals for taste. Enjoy a variety of delicious flavors with 4.7% ABV in the Topo Chico Hard Seltzer Variety Pack, which includes Strawberry Guava –– ripe tropical fruit aroma balanced with sweet strawberry and guava flavors, Tropical Mango –– tropical fruity aroma with sweet mango flavor and a crisp, refreshing finish, Exotic Pineapple –– ripe, fruity aroma balanced with sweet pineapple flavor and a refreshing finish, and –– Oasis Cherry –– fruity cherry aroma with sweet, crisp cherry flavor and a refreshing finish. These hard seltzer drinks pair well with shrimp, chicken, curry or French vanilla ice cream, and are perfect for barbecues, beach days, outdoor adventures, casual hangouts or anytime. Pick up a 12 pack of 12.0 fl oz cans and enhance the moment.,•12 pack 12.0 fl oz cans of Topo Chico Hard Seltzer Variety Pack,•Flavors include Strawberry Guava, Tropical Mango, Exotic Pineapple and Oasis Cherry; all with 4.7% ABV,•Certified gluten free, contains 2g sugar and 100 calories with added minerals for taste,•Inspired by over 125 years of Topo Chico's legendary refreshment authenticity,•Topo Chico Hard Seltzers are perfect for dinner parties, barbecues, happy hours or anytime you want a refreshing spiked seltzer","Purified Carbonated Water, Alcohol, Sugar, Natural Flavors, Citric Acid, Sodium Citrate, Magnesium Chloride*, Potassium Chloride*,*Minerals For Taste",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
White Claw Surge Hard Seltzer Variety 12 Pack Cans,$18.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d15b77e0-de2c-4e3c-84a5-8709bb773d85.png 4x,"At 8% alcohol, discover a stronger wave of taste refreshment with White Claw® Hard Seltzer Surge. White Claw® Hard Seltzer Surge available in four refreshing flavors for everyone to enjoy including sweet Blackberry, zesty Lime, unmistakable Blood Orange and tart Cranberry. Each 12oz can contains 8% alcohol, 2g carbs, and is gluten-free. Please drink responsibly. 21+.,• White Claw® Hard Seltzer Surge is made from a blend of sparkling water, gluten-free alcohol, and a hint of fruit flavor,• Variety Pack with twelve (12) 12oz cans of White Claw® Hard Seltzer,• Four (4) refreshing flavors: sweet Blackberry, zesty Lime, unmistakable Blood Orange and tart Cranberry,• Each 12oz can contains 8% alcohol and 2g carbs. Gluten Free.,• 8% Alcohol,• 2g Carbs,• Gluten Free,• 12oz Can","Lime: Lime Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Blood Orange: Blood Orange Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Cranberry: Cranberry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Blackberry : Blackberry Ingredients: Purified Carbonated Water, Alcohol Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate.",{},"Contains alcohol., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Mike's HARDER Lemonade,$5.29,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_761c1198-a3c9-4388-be4e-69eaaeaa4ae7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d87cfa39-91d4-4120-897c-b031c4f91dc5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_145b20d2-0e66-4999-816b-83d0971ba419.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9db28838-c582-40cd-a6e1-63f9ea3acb46.jpg 4x","Mike’s HARDER’S classic original lemonade flavor features a natural juicy lemon aroma with the refreshing taste of real, tart lemons, and just the right amount of carbonation. There is a nice balance between tartness and sweetness that makes it extremely refreshing and drinkable with a clean finish.,• 8% Alcohol,• Classic lemonade flavor,• Refreshing taste of real, tart lemons,• Just the right amount of carbonation,• Extremely refreshing and drinkable with a clean finish",,{},"Crafted to remove gluten. Mike's is fermented from grains that contain gluten and crafted to remove gluten. The gluten content cannot be verified and this product may contain gluten., Warning: Contains alcohol., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Gluten Free,,
Miller Lite American Light Lager Beer,,$15.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_486288c6-780f-409a-87b7-53f53ea45575.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2949447-b5e3-4c96-a472-876c410aa75a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ce8474f-8264-46e6-a690-7c84ed9e30b1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01d8dee7-ab14-4287-bbf4-f1a62b69a370.jpg 4x","Miller Lite Beer is the original light lager beer. With a smooth, light and refreshing taste, this American-style pilsner beer has 4.2% ABV. Brewed for more taste, this light beer has a light to medium body with a hop-forward flavor, solid malt character, and a clean finish. This case of beer bottles makes bringing along tasty drinks easy. Miller Lite is brewed with pure water for great taste; barley malt for flavor and golden color; and Galena and Saaz hops for aroma, flavor, and bitterness. These elements all lend to a consistently great malt beer experience. This light American beer has 96 calories and 3.2 grams of carbs per 12-ounce serving. It is a perfect low-calorie beer to accompany tailgating, barbeques, hanging out with friends and any occasion that would be better with Miller Lite. Miller beer goes well with countless food items such as burgers, grilled shrimp skewers, and whitefish. It’s Miller Time.,•You'll get twelve 12-ounce beer bottles of Miller Lite Light Lager Beer,•Smooth, light, and refreshing American style lager beer with 4.2% ABV,•Light beer with a light to medium body, hop-forward flavor, and clean finish,•Low-calorie American beer with 96 calories and 3.2 grams of carbs per serving,•Enjoy this 12-pack of beer bottles with traditional American fare such as burgers, hot dogs, and barbecue,•Case of beers makes it easy to bring to parties and gatherings with family and friends,•Pairs well with burgers, grilled shrimp, lemon pepper wings and makes a great sports watching companion","Water, Barley Malt, Corn Syrup (dextrose), Yeast, Hops And Hop Extract.",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Miller Lite American Light Lager Beer,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14dae794-a069-4b9a-a9c9-c095b0afbd52.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14120cc5-ea5c-4042-84de-8247fdf88b2f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4954b480-45e8-424e-b338-87c8174b987c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1ec7ab8-bdf1-4e56-88dd-ef41dbb379cd.jpg 4x","Miller Lite Beer is the original light lager beer. With a smooth, light and refreshing taste, this American-style pilsner beer has 4.2% ABV. Brewed for more taste, this light beer has a light to medium body with a hop-forward flavor, solid malt character, and a clean finish. This case of beer cans makes bringing along tasty drinks easy. Miller Lite is brewed with pure water for great taste; barley malt for flavor and golden color; and Galena and Saaz hops for aroma, flavor, and bitterness. These elements all lend to a consistently great malt beer experience. This light American beer has 96 calories and 3.2 grams of carbs per 12-ounce serving. It is a perfect low-calorie beer to accompany tailgating, barbeques, hanging out with friends and any occasion that would be better with Miller Lite. Miller beer goes well with countless food items such as burgers, grilled shrimp skewers, and whitefish. It’s Miller Time.,•You'll get one 24-ounce beer can of Miller Lite American Light Lager Beer,•Smooth, light, and refreshing American style lager beer with 4.2% ABV,•Light beer with a light to medium body, hop-forward flavor, and clean finish,•Low-calorie American beer with 96 calories and 3.2 grams of carbs per serving,•Enjoy this beer can with traditional American fare such as burgers, hot dogs, and barbecue,•Case of beers makes it easy to bring to parties and gatherings with family and friends,•Pairs well with burgers, grilled shrimp, lemon pepper wings and makes a great sports watching companion","Water, Barley Malt, Corn Syrup (Dextrose)*, Yeast, Hops And Hop Extract *Not Hfcs, Not Present In The Final Product",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Modelo Oro 12 Pack Cans,$18.49,$18.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3500e4eb-3137-4135-a4c5-aaa142f8b0f1.png 4x,"Modelo Oro Mexican Lager Import Beer is a light beer forged by the brand that has had decades of experience brewing authentic cerveza since 1925. A light lager beer that is much more than a lower-calorie* light Mexican beer, Modelo Oro is the gold standard of light cervezas. This Modelo beer seals in premium flavor, delivering an exceptionally smooth, elevated taste and a crisp, clean finish. Pair this 90-calorie**, premium beer in 12 oz beer cans with Mexican dishes, pizza, or seafood for a perfect match. This imported beer 12 pack also makes an ideal tailgating beer.While this is not a low calorie beer or light calorie beer, this product is lower calorie as compared to Modelo Especial. *Modelo Oro 90 calories per 12 fl. oz volume compared to Modelo Especial 143 calories per 12 fl. oz volume. Not a low-calorie food. **Per 12 fl. oz. serving of average analysis: Calories 90, Carbs 3 g, Protein 0.6 g, Fat 0 g.,• 12 pack of 12 fl oz slim cans of Modelo Oro Mexican Lager Import Beer,• Modelo light bodied cerveza with a smooth, elevated taste,• Canned lite beer perfect for pairing with Mexican dishes, pizza, or seafood, or enjoying on its own,• Premium import beer with a crisp, clean finish,• Golden-hued, premium light lager beer from Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Twisted Tea Half & Half Hard Iced Tea,$5.29,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4edb0af0-72a3-49c7-a336-7da7bee24747.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_450d5f02-9a96-4b09-8ca9-4786cef6c9b7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3151a53f-3115-41c7-9e9b-811d1f63ed05.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e04a568a-9044-4115-a2b4-85427144f541.jpg 4x","Twisted Tea Half & Half is refreshingly smooth combination of hard iced tea and lemonade. Half real brewed iced tea, half lemonade, 100% Twisted! Non-carbonated, naturally sweetened, and 5% ABV –it’s your favorite classic combination with a twist! Keep it Twisted.",,,"Government warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Pacifico Clara 12 Pack Bottles,$18.49,$18.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a58ad921-6978-4ffa-be43-f90a42bf4acc.png 4x,"Cerveza Pacifico Clara Mexican Beer is a pilsner-style light bodied lager beer that is hearty and crisp with a touch of grass-citrus and ocean mist flavor. Discovered in the 1970s by surfers along the Baja coast and brought back to the States, this imported beer features a recipe decades in the making. With aromas of malty grain and hop accents, this light lager beer is exceptionally enjoyable at just 18 International Bitterness Units and 4.4% alcohol by volume. Bring this pilsner beer 12 pack with you on the next beach adventure, or enjoy it at a barbecue. Pair this mildly bitter, 143-calorie*, Mexican cerveza in 12 oz beer bottles with premium seafood like grilled shrimp or Baja tacos. Pacifico beer was made for those with an Independent Spirit. *Per 12 fl. oz. serving of average analysis: Calories: 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Discover responsibly™. Pacifico Clara® Beer. Imported by Crown Imports, Chicago, IL,• 12 pack of 12 fl oz bottles of Pacifico Clara Mexican Import Beer,• Premium beer with notes of pleasant grass-citrus and ocean mist flavors and aromas of malty grain and hop accents,• Pacifico beer great for pairing with premium seafood like grilled shrimp and Baja tacos,• Pacifico cerveza with 18/100 IBUs (International Bitterness Units),• Golden-hued, light bodied, pilsner-style lager beer from Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Miller Lite American Light Lager Beer,,$10.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9998ce85-5898-4736-a888-75251b4c0210.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66d4500f-0433-4c6a-bea8-85d30690f38d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c392fe4-4acd-4d85-8c01-c274e16a1d62.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_380850f1-53f4-43d5-8384-15633e3cca2c.jpg 4x","Miller Lite Beer is the original light lager beer. With a smooth, light and refreshing taste, this American-style pilsner beer has 4.2% ABV. Brewed for more taste, this light beer has a light to medium body with a hop-forward flavor, solid malt character, and a clean finish. This case of beer bottles makes bringing along tasty drinks easy. Miller Lite is brewed with pure water for great taste; barley malt for flavor and golden color; and Galena and Saaz hops for aroma, flavor, and bitterness. These elements all lend to a consistently great malt beer experience. This light American beer has 96 calories and 3.2 grams of carbs per 12-ounce serving. It is a perfect low-calorie beer to accompany tailgating, barbeques, hanging out with friends and any occasion that would be better with Miller Lite. Miller beer goes well with countless food items such as burgers, grilled shrimp skewers, and whitefish. It’s Miller Time.,•You'll get six 12-ounce beer bottles of Miller Lite Light Lager Beer,•Smooth, light, and refreshing American style lager beer with 4.2% ABV,•Light beer with a light to medium body, hop-forward flavor, and clean finish,•Low-calorie American beer with 96 calories and 3.2 grams of carbs per serving,•Brewed with pure water, barley malt, yeast and Galena and Saaz hops,•Case of beers makes it easy to bring to parties and gatherings with family and friends,•Pairs well with burgers, grilled shrimp, lemon pepper wings and makes a great sports watching companion","Water, Barley Malt, Corn Syrup (Dextrose)*, Yeast, Hops And Hop Extract *Not Hfcs, Not Present In The Final Product",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Heineken Lager Beer 6 Pack Bottles,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6cdf9f72-f90f-49b8-a48d-fc480319149c.png 4x,"Heineken Original Netherlands Lager Import Beer, 6 Pack, 12 fl oz Bottles, Heineken is a premium imported lager beer contains 142 calories per serving – 5% ABV, Heineken beer was first brewed in 1873, Imported from Holland, In a 12-ounce can or bottle, Heineken beer is made with three main ingredients: malted barley, hop extract and water, Slightly bitter beer brewed with our signature Heineken beer A-Yeast® , Mild bitter taste and a balanced hop aroma, Enjoy responsibly , Smooth, nicely blended bitterness, clean lager beer finish. For over 150 years, Heineken® has made a ceaseless commitment to premium taste and quality have made Heineken® the most iconic beer brand in the world. When you see the red star on the green bottle, you know every ice-cold, crisp sip will deliver that richly satisfying flavor with subtle fruity notes. Born in the Netherlands, a tradition of taste that has lived on for over a century and a half thanks to the simplicity and quality of the ingredients and the meticulous attention to the brewing process.","Water, Malted Barley, Hop Extract",{},"Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Pabst Blue Ribbon Beer Cans,$17.19,$18.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af0d807c-f37d-4d3e-b282-118e61017e8c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f19757f0-efe5-4fb6-8d7c-b459a62da1aa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_05fe667e-ec6e-4422-ba50-58a577dc46af.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_177d21ae-2724-4d9c-859f-726c8fa4dc67.jpg 4x","PBR Pabst Blue Ribbon Beer - 12 Pack, 12-oz cans. USA- American-Style Lager- 4.7% ABV. Silver Medal GABF 2017. Crafted with a hefty infusion of 6-row barley and a unique combination of Pacific domestic hops blended with an imported Yugoslavian variety for a smooth, robust finish that is reminiscent of a fine Pilsner. Enjoy!,This is the Original® Pabst Blue Ribbon Beer. Nature's choicest products provide its prized flavor. Only the finest of hops and grains are used. Selected as America's best in 1893. Established in Milwaukee 1844.,• Twelve (12) Pack, 12 Fluid Ounce Cans of Pabst Blue Ribbon Beer,• 144 calories per serving,• Established in Milwaukee in 1844, this is the original Pabst Blue Ribbon beer.,• Nature's choicest products provide its prized flavor. Only the finest of hops and grains are used. Selected as America's Best in 1893.,• 4.74% ABV,• 2017 Great American Beer Festival Award Winner",Pabst Blue Ribbon Beer.,{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Extra Mexican Lager Import Beer Can,$4.69,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e07af05-65fe-4827-b90a-3ecc550c8721.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b6e82cf4-86c4-46c4-9534-647724269ca7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f5a0a4b-28db-4c3e-8988-5d8a83f9424f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b734eec-ebb4-4f67-83e7-c94c6803b187.jpg 4x","Corona Extra Mexican Lager Beer is an even-keeled, light bodied, imported beer with aromas of fruity-honey and a touch of malt. Brewed in Mexico since 1925, this canned beer's flavor is refreshing, crisp, and well-balanced between hops and malt. Made from the finest-quality blend of filtered water, malted barley, hops, corn, and yeast, Corona Extra Beer has a refreshing, smooth taste that offers the perfect balance between heavier European import beer and lighter domestic beer. Sold in conveniently portable large beer cans, this Mexican lager style beer is an ideal cooler beer and a great summer beer; enjoy this 24 oz beer in cans at your next barbecue, beach day, tailgate, or evening get-together. A smooth-drinking beer, this Corona Extra cerveza in a single beer can contains 148 calories* and 4.6% alcohol by volume. *Per 12 fl. oz. serving of average analysis: Calories 148, Carbs 13.9 grams, Protein 1.2 grams, Fat 0 grams. Relax responsibly®. Corona Extra® Beer. Imported by Crown Imports, Chicago, IL,• Single 24 fl oz can of Corona Extra Mexican Beer,• Even-keeled Corona beer with fruity-honey aromas,• Mexican import beer that pairs well with all types of food,• Mexican lager style light bodied beer with a refreshing, crisp, and well-balanced flavor,• Pilsner-style lager beer from Mexico with a golden hue","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
Mike's Hard Lemonade Original Hard Lemonade,,$12.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29256722-3303-46ee-951c-dee3e557ef03.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f61549ed-bd5c-4d58-8274-f787f03e5591.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ab573ba-6c06-4ba4-887c-ca123c2c768b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bca8f085-737b-4778-9e92-fd483c74b789.jpg 4x","We started the Mike’s Hard Lemonade with the single aim of creating the most refreshing & amazing tasting beverages. Every bottle is bursting with a delicious blend of lemon and fruit flavors! Taste the perfect juicy, tart lemon that’s very smooth with just the right amount of carbonation in Mike's Hard Lemonade. Nice balance between tartness and sweetness that makes Mikes Hard Lemonade extremely drinkable. Mike’s is the original. Always has been. Always will be. For more information about our beverages, please visit mikeshard.com. Cheers! – Mike,• 6pk of 11.2 fl oz bottles of Mike's Hard Lemonade,• The original hard lemonade & the iconic flavor of Mike's,• Nobody Makes Lemonade like Mike’s®,• Mike’s Hard Lemonade is the original hard lemonade and provides the iconic flavor of Mike’s. Each bottle is 5% ABV and bursting with refreshing lemon flavor.,• 5% ABV",,{},"Crafted to remove gluten. Product is fermented from grains that contain gluten and crafted to remove gluten. The gluten content cannot be verified and this product may contain gluten., Contains alcohol., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Gluten Free,,
Dos Equis Mexican Lager Beer,,$19.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a19848f9-8c4c-4e60-a62f-5672c4d0bbd0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_34bffcc5-4051-44d8-bc91-ff2c074b1d0c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_919c4be1-8c01-439a-be13-3914ae80b781.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f8a4c145-440f-4225-9e11-f8ba948c0355.jpg 4x","Enjoy Dos Equis Lager Especial Import Beer in bottles or cans, Contains 131 calories per serving – 4.2% ABV, Imported from Mexico, Golden pilsner-style beer made from the choicest hops, brewed the same way since 1897, Dos Equis® Lager is flavorful, yet light-tasting and smooth, Balanced composition and clean finish, A crowd pleaser at parties, cookouts, tailgates and more, Enjoy responsibly, Dos Equis® Lager Especial is a golden pilsner-style beer made from the choicest hops. With a balanced composition and a smooth, clean finish, it’s the party guest who is always invited and never overstays their welcome. A golden pilsner style beer with a nuanced blend of malts, spices, and earth tones. Flavorful yet light-tasting and smooth. Balanced composition and clean finish. Dos Equis® Lager Especial is a Mexican Import and available in cans and bottles. This refreshing beer is delicious on its own or dressed with lime and salt.",Lager Especial.,Enjoy responsibly.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
