Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
Sutter Home Pinot Grigio White Wine,,$6.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14b91744-0384-4b4d-981b-7e5bcf8f04a4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eeeeae12-87a0-4c27-99eb-fa91dc6ae5ac.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c05127e8-dfcf-4d13-951f-4dfa3e402670.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_659ac1ed-9fbd-457e-88ef-ba9a4c74b26b.jpg 4x","Sutter Home Pinot Grigio White Wine is always a crowd pleaser. Light, crisp and refreshing, this Pinot Grigio wine offers vibrant tropical fruit flavors and vivid acidity with a clean finish. Delicate floral notes mingle with ripe pear, peach and melon on the nose, leading to bright citrus, white peach and tropical fruit flavors. Sutter Home Wine has earned Silver from 2023 Toast of the Coast Wine Competition and 90 points - Gold from 2020 San Diego International. Serve this fruit-forward dry white wine for a variety of occasions. As you gather around the table this holiday season, enjoy Sutter Home wine in your favorite wine glasses with mashed potatoes, chicken, turkey, stuffing and all the pumpkin & apple pies. Or get cozy around the fireplace and warm up while enjoying a glass of wine. Sutter Home wines is the perfect holiday gift. Whether you gift wine as a stocking stuffer, to your neighbor across the street, or serve at your own holiday table. Sutter Home wines are a great addition to holiday wine gift sets! Sutter Home, family owned since 1948, is the brand generations of wine lovers trust to deliver consistent, award-winning quality and value for every wine occasion.,• Semi-sweet wine with bright citrus, white peach and tropical fruit flavors,• Light with crisp acidity and a clean finish with delicate floral notes,• Earned Silver from 2023 Toast of the Coast Wine Competition and 90 points - Gold from 2020 San Diego Int'l,• Pairs well with pasta primavera, citrusy salads and grilled seafood,• Dry white wine with a screwcap for easy opening,• Cold fermented in stainless steel tanks to preserve crisp acidity,• Four 187mL wine bottles of Sutter Home Pinot Grigio White Wine, 13.1% ABV",Sulfites.,{},"Contains sulfites.,GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Juggernaut Hillside Cabernet,$19.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f75da92-5c78-44c1-ac3d-b5739ca93276.png 4x,"Overcoming challenges builds character. Our grapes are grown in challenging conditions, where true grit and determination yield spectacular results. Steep hillside vineyards present the ultimate challenge. Mountainous terrain tests both the grower and the vine.,But the results can be extraordinary.,These hillside vineyards have less access to water, with the rockier soil also holding fewer nutrients. These conditions stress the vines, resulting in the production of a fraction of the fruit of most vineyards. The harsh environment causes the vines to struggle, yielding fewer clusters and smaller berry size. The result is berries that are loaded with rich, ripe, intensely concentrated flavors and complexity.",,{},Contains sulfites,,,
Josh Cellars Legacy Red Wine,$15.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74e9a2af-3271-475b-b144-99bff1f49685.png 4x,"Take time to enjoy the moment with this bottle of Josh Cellars Legacy Red Blend, a handcrafted red wine made and bottled in California. Josh Cellars Legacy Red is a rich, velvety red blend bursting with flavors of ripe plum, black cherry and toasted cedar with scents of dark fruit and pepper. This is a delicious, well-balanced blend made to exacting standards. Josh Cellars works with California's best growers to source and assemble wine of great character and complexity. Pair this red wine blend with full-bodied dishes like BBQ ribs, leg of lamb, and grilled skirt steak. Josh Cellars Legacy Red Blend is a 750 ml bottle of wine and 13.5% ABV. Created by Joseph Carr and named after his father, Josh Cellars makes high-quality, well-balanced, delicious wines that are expressions of gratitude grounded in hard work, high standards and the recognition of others. Josh wine is worth sharing with those who matter.","California Grapes, Sulfites.",,Contains sulfites,,,
Bota Box Chardonnay,$19.99,$28.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28df2682-ecb9-4843-9292-8dc7d42e70ee.png 4x,"Living the Bota life means great times with best friends over good wine. It’s about leaving expectations behind and going with the flow—wherever life takes you next. Our award-winning wine uses sustainable materials & the three-liter box and spout keep light and air out, so you can enjoy quality wines anywhere, anytime for up to 30 days after opening. Our Bota Box Chardonnay is bright and balanced, with flavors poised perfectly between crisp and rich. Its aromas evoke citrus zest, honeydew melon and a hint of oak; on the palate it’s vibrant and silky, with medium-bodied flavors of lemon, Honey Crisp apple and graham cracker, ending with a rich, juicy finish. Serve chilled & pair perfectly with angel hair pasta with scallops, fish & chips, or grilled Caesar salad, and all of life’s adventures.,• Award-winning, high-quality wines,• Each 3 Liter Bota Box contains 4 bottles of Chardonnay wine,• Aromas of citrus zest, honeydew melon, and a hint of oak lead to flavors of lemon, honey crisp apple, and graham cracker ending with a rich, juicy finish,• Bright and balanced white wine pairs well with angel hair pasta with scallops, fish & chips, or grilled Caesar salad for your dinner party,• 100% recyclable boxes with packaging that produces 96% less landfill waste and has a lower carbon footprint when compared to glass bottles; Boxes block out light and air to keep wine fresh for up to one month after opening","Wine Chardonnay, Sulfites.","See bottom of box for opening instructions. Opening Instructions: 1. Open Panel: Lay box flat with perforated opening facing upwards. Press down firmly on round tab. Next, press in the perforated sides and pull open the large panel without tearing it off. 2. Pull Tab: Reach in like you own this wine (after, all you bought it) and pull the tap out of the box by its base, sliding the first groove of the tap over the edge of the box. 3. Lock Tab: Tuck large panel into first groove, locking the tap into place, with spout pointing down for pouring. 4. Peel Foil: Almost there. Now peel off the protective foil. 5. Voila! Press tap to begin pouring - and enjoy responsibly.,Once open stays fresh for up to 30 days.",Contains sulfites,,,
La Crema Sonoma Coast Pinot Noir,$24.99,$29.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c6ebbb7-c881-4bf2-a457-e56f2eb95c06.png 4x,"La Crema Sonoma Coast Pinot Noir is an elegant dry red wine bursting with layers of ripe fruit flavors. This medium bodied La Crema wine has aromas of red fruit and mocha that open up to flavors of red cherry, blood orange, dark berry fruit and spice. Fine, supple tannins and juicy, balanced acidity drive a long finish on this dry wine. Crafted using boutique winemaking techniques, this pinot noir red wine is aged in oak barrels for a minimum of nine months to deliver a unique wine drinking experience. Pair a wine bottle of this expressive red wine Pinot Noir with roast chicken and mushrooms, grilled pork loin or gruyere macaroni. The 2021 vintage La Crema Pinot Noir Sonoma Coast received 91 points from Wine Enthusiast Magazine in March 2023. The Sonoma Coast growing region is known for its strong maritime influence, where warm summer temperatures are moderated by coastal fog creating a cool growing climate. With its unique geography and climate, the Sonoma Coast has proven to be one of the world’s premier pinot noir wine producing regions. From the vine to the glass, every step of the La Crema pinot noir winemaking process seeks to preserve the California wine’s rich fruit flavors. La Crema’s original name, La Crema Vinera, means “best of the vine,” setting the standard for all La Crema has done since 1979. La Crema is committed to sustainability. This bottled wine has a 13.5% ABV.,One 750ml bottle of La Crema Sonoma Coast Pinot Noir Red Wine,The 2021 vintage La Crema Pinot Noir Sonoma Coast received 91 points from Wine Enthusiast Magazine in March 2023,Red wine Pinot Noir with flavors of red cherry, blood orange, dark berry fruit and spice,Open this Pinot Noir wine to pair with roast chicken, pork loin or gruyere macaroni,Silky, dry wine has aromas of red fruit and mocha with fine tannins and balanced acidity to drive a long finish,Serve this La Crema Pinot Noir wine bottle with dinner or to celebrate special occasions,California wine from the cool climate of the Sonoma Coast",Pinot Noir,Drink Responsibly,Contains sulfites,,,
Taylor New York Port Red Wine,$13.29,$15.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65b99e47-3568-482d-8d19-0ee7ad218df4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1488d69-8687-4462-a3b8-bdda541938b5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4a4fa10-56cc-4c44-8b45-66f2a3bb4804.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6b037470-f548-45ed-a3c0-27c00dc486d7.png 4x","The combination of quality and affordability makes Taylor Dessert Wines an appealing luxury that can be enjoyed every day. Taylor Desserts Port is a rich, moderately sweet, ruby red port. Taylor Desserts was founded in 1880 with a seven-acre vineyard overlooking Keuka Lake in the Finger Lakes region of New York state. With a special selection of high-quality, sweet, and smooth dessert wines, Taylor is great for cooking or simply enjoying as an after-dinner treat. This wine features a rich fruity taste and smooth finish, which create a unique taste and depth of character. This wine pairs well with roasted duck, pork medallions, and chicken with mushrooms.",Port,{},Contain sulfites,,,
Franzia Chillable Red House Favorites United States,,$13.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4158301b-6c3c-477f-b75b-33c485175570.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1118a234-cee0-4d2a-b8e1-c5cb7930e908.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46d10d17-cca4-4aa2-9258-9e755708ddf6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0767cc0a-887a-4cf8-8e8b-91f3ec5220c0.jpg 4x","Franzia Chillable Red red wine is a light-bodied red wine with full red berry aromas. Chillable Red has more body and flavor than blush wine and is softer than traditional red wines. This Chillable Red pairs well with chicken and green salad and is ideal for enjoying on warm summer nights. With an alcohol content of 9% ABV, it’s perfect for casual gatherings or relaxed evenings. The wine stays fresh for up to 6 weeks after opening, making it convenient for any occasion. Franzia has a rich history of producing quality wines since 1906. For a limited time, packaging may vary.","Red Berry Flavors, Sulfites.","Serve chilled. Store in a cool, dry place, less than 70 degrees F. Easy Opening: Place box on its side with panel containing spout perforation facing the ceiling. 1. Press down firmly on tab A, breaking through perforations. 2. Pull entire perforated tab area (tab A & B) to the left as indicated. Tear off tab A. 3. Reach in and find the spout. Pull spout out of box by its base, sliding the first groove of the spout over the cardboard opening. Set box upright. 4. Close tab B over the top of spout of secure. To dispense wine, slowly twist knob counter-clockwise. To stop flow, twist knob clockwise until fully closed.",Contains sulfites,,,
Sutter Home Merlot Red Wine,$7.99,$9.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e31d50c-3c7b-4e92-9bda-9abb0b8fce43.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5e329fb1-f903-40b1-9d6b-1b428170fcdd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d199c408-5711-4d68-acea-d946c5ebcecc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37a7041e-4feb-473f-8195-024f3c5cf13e.jpg 4x","Sutter Home Merlot Red Wine is a full-bodied, silky-smooth red wine with delicious fruit characteristics, soft tannins and a rounded mouthfeel. Ripe black cherry aromas with hints of tobacco and herbal spice lead to smoky black cherry and spiced plum flavors on the palate. Sutter Home Merlot wine has earned 90 points - Gold from 2023 Toast of the Coast Wine Competition and Triple Gold-Best of Class from 2022 Dan Berger's International Wine Competition. This dry red wine pairs well with herb-roasted chicken, spaghetti Bolognese and mushroom risotto. The wine making process starts with grapes from premier vineyards in cool coastal regions and warmer inland regions of California. This dry wine is fermented in stainless steel tanks at cool temperatures to preserve its vivid cherry flavors and aromas. This four pack of mini bottled wine has 13.4% alcohol by volume and comes with screw caps for easy opening. Sutter Home, family owned since 1948, is the brand generations of wine lovers trust to deliver consistent, award-winning quality and value for every wine occasion.,• Dry red wine with ripe black cherry aromas, hints of tobacco and herbal spice leading to smoky black cherry and spiced plum flavors,• Full-bodied, silky-smooth red wine with soft tannins and a rounded mouthfeel,• Earned 90 points - Gold from 2023 Toast of the Coast Wine Competition and Triple Gold-Best of Class from 2022 Dan Berger's International Wine Competition,• Merlot wine is a perfect partner for herb-roasted chicken, spaghetti Bolognese and mushroom risotto,• Made with grapes grown in California vineyards,• California wine fermented in stainless steel tanks at cool temperatures to preserve vivid cherry flavors and aromas,• Four 187mL wine bottles of Sutter Home Merlot Red Wine, 13.4% ABV",,{},"Contains sulfites.,GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"[yellow tail] Cabernet Sauvignon, 1.5L",$9.99,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17eea1f8-1fa4-4bc9-a595-1612c8b5d58c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62b46513-9d62-424f-880b-17e1f849bf1f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_784ca28e-f0d6-41c2-a880-29b89877dd97.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3db6755-6bec-4bf7-8fa0-8c3f9f9eee7d.jpg 4x","Made in South Eastern Australia, [ yellow tail ] Cabernet Sauvignon is a red wine that brings the flavors and essence of the region to your glass, ensuring a smile with each sip. This cabernet sauvignon is everything a great wine should be with its easy to drink, velvety taste and classic flavor profile. Featuring vibrant flavors of juicy blackcurrants, sweet mocha and spice, this red wine is full bodied and silky smooth. Enjoy this flavorful red wine with a steak dinner or lamb. Serve this bottle of wine with chocolate fondue, perfect for sharing with friends. [ yellow tail ] wine is wonderful for livening up casual dinners with loved ones and bringing a lighthearted spirit to any and every event and celebration. This [ yellow tail ] wine bottle is 1.5 L and has a 13% ABV. Great quality wine can be affordable and good fun too. We like our wines to be vibrant, flavorsome and approachable, making everyday moments even more enjoyable. A wine for any occasion, [ yellow tail ] is easy to choose, drink and enjoy.","Cabernet Sauvignon, Flavors (Blackcurrants, Mocha and Spice), Sulfites.",{},Contains sulfites,,,
Black Box Wines Merlot Red Wine Go Pack,$7.99,$9.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_879aab28-77a6-493d-9f53-2a7b0c8a7769.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6f53aab-9253-4f05-84cb-9155f3006883.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_543577c8-ba86-4cd9-99e2-1161dcc1525d.png 4x","Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. Our award-winning Merlot's plum, vanilla, and cinnamon aromas are met with flavors of black cherry and red berries, soft tannins and supple acidity. This compact and recyclable 500-milliliter box contains 3 glasses of wine and is a convenient choice for taking high quality wine on-the-go. Enjoy this delicious red wine with grilled meats or pizza at your next picnic or cookout.",Merlot,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Sonoma-Cutrer Chardonnay, Sonoma Coast",$30.49,$43.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d1381e5-b2bf-4091-b35d-65acb415f522.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed101eac-bdf3-4a90-9d8e-32b50800b23a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11f2635f-08d8-488f-a676-4ef09163d7c0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ea830ec-ab17-4d52-8791-145796f44962.png 4x","Sonoma-Cutrer Sonoma Coast Chardonnay Dry White Wine reflects a balance of fruit flavors and oak aging for a fuller-bodied white wine with elements of a classic chardonnay. This dry chardonnay wine is a pale to medium beautiful straw color and explodes out of the glass with aromas of apricot, nectarine and melon. These fruit aromas are combined with notes of oak spice accented with hints of vanilla, toasted nuts and a touch of butterscotch. With rich flavors of ripe pear and peach, this is a bottle of wine you serve when you want to show people you care about them—or serve it just for you, because you've earned it. Marrying Burgundian practices with Californian innovation, Sonoma-Cutrer produces wine of elegantly rich California chardonnay unlike any other. This medium-bodied white chardonnay wine delivers rich, creamy flavors contrasted with vibrant acidity and a long barrel spice finish. This Sonoma-Cutrer white wine bottle is 13.9% alcohol by volume, and you can enjoy it on its own or pair it with risotto, chicken or seafood dishes.,One 750 mL bottle of Sonoma-Cutrer Sonoma Coast Chardonnay 2022,California wine with rich flavors of ripe pear and peach,Fruit aromas and notes of oak spice, vanilla, toasted nuts and light caramel,Pair this dry wine with risotto, smokey cheeses, salads, pasta, chicken or seafood dishes,Medium-bodied white wine chardonnay with a balance of fruit flavors, oak aging, vibrant acidity, and a long barrel spice finish",Sonoma-Cutrer Chardonnay 2016.,"This classic, medium-bodied Sonoma Coast Chardonnay is a staple for any white wine lover and pairs well with smokey cheeses, late summer vegetables, pasta, and salads. If you are looking for the perfect entre pairing, try a Couscous Risotto.","Contains sulfites., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Woodbridge Pinot Noir Red Wine Bottle,$13.09,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d7d640d-648b-44f3-bce8-19f598fd94bc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33f6c1f9-1afc-4d09-8605-36f35916b25f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3aba0211-aced-47f9-9fdb-d63c7813454c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bcaa8295-9cee-4c01-a9a3-ff94bbba132d.jpg 4x","Woodbridge® Pinot Noir Red Wine offers a bright, fruit-forward character with strawberry and cherry aromas and hints of spice and toast. This Pinot Noir wine from California offers flavors of ripe cherry and rich cocoa that culminate in a smooth, velvety finish. When it comes to creating excellent Pinot Noir, California is a premier winegrowing region, where warm days and cool breezes cultivate fully mature grapes that consistently produce wines with well-balanced, fruit expressive flavors. The grapes for this red California wine were sourced from the Lodi region. The wine was then aged in French and American oak. It’s a full bodied red wine that tastes delicious on its own or paired with salmon, pork chops, or pasta with red sauce. Whether you’re hosting a dinner for two or looking to try more red wines, Pinot Noir by Woodbridge is a perfect choice. Store this 1.5L bottle at room temperature, but chill for 30 to 60 minutes in the refrigerator before serving for best taste. Discover Woodbridge, winner of multiple Wine Enthusiast BEST BUY awards since 2011.,• One 1.5 L bottle of Woodbridge Pinot Noir Red Wine, equal to two standard 750 mL bottles,• Full bodied wine with aromas and flavors of strawberry and cherry and hints of spice and toasty oak,• Pairs beautifully with salmon or a red sauce pasta dish,• A rich, full taste culminates in a smooth, velvety, and toasty finish,• California wine made from premium grapes grown in the Lodi region",Pinot Noir,{},Contains sulfites.,Peanut Free,,
Prati by Louis M. Martini Sonoma County Cabernet Sauvignon Red Wine,$29.09,$35.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a8a4c4dd-2c45-4a73-995a-908ad5dab893.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d0301092-e42a-4ecd-89a2-f1cd269c5cb1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_904ab5cc-9f6c-4672-82db-c0e6c4f6a01a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b46bf10-8daa-4af5-8402-c8d0a0cbb390.png 4x","Prati by Louis M. Martini Cabernet Sauvignon Red Wine is a rich burgundy color and has deep layers of blackberry, black cherries and black currant aromas. The fruit tones are framed by sweet herbs, licorice and toasted vanilla. Rich, complex and superbly balanced, this full bodied red wine has an expansive mid palate and a long, elegant finish. Enjoy this distinct Cabernet wine on its own or paired with a rich steak or bold cheese.,• One 750 mL bottle of Prati by Louis M. Martini Sonoma County Cabernet Sauvignon Red Wine,• Rich, full bodied red wine with a long, graceful finish,• Well-balanced Cabernet wine with layers of dark berry, black cherries and toasted vanilla,• Enjoy this red California wine on its own or with any meal,• Sonoma County wine from California","Cabernet Sauvignon (Supple Tannins and Concentrated Flavors of Berry, Plum, Licorice and Mocha).",{},Contains sulfites.,,,
Mumm Napa Brut Prestige,,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a77540a6-a881-46bf-9fb8-7a448a626ecc.png 4x,"Mumm Sparkling Wine Brut Prestige is the signature cuvée from Mumm Sparkling. The grapes for this California sparkling wine are harvested by hand during the crisp morning hours to ensure they arrive at the winery in pristine condition. The result is a relaxed yet elegant wine featuring aromas of red apple, juicy pear, nectarine, strawberry and a hint of biscuit. Its vibrant flavors are balanced by fine acidity and a rich, lingering finish. Fermentation takes place in stainless steel vats at cool temperatures to preserve freshness and fruit intensity. After initial fermentation, the art of the blending begins. Our winemakers find the perfect blend of wines to create our signature taste. The wine undergoes a second fermentation, a 16-month yeast aging to add complexity, subtle bread dough flavors and layers of creaminess, followed by an additional 3 months of aging after disgorgement on the cork to fully marry the dosage with the base wine. This versatile and balanced sparkling wine pairs well with sushi, creamy cheeses, hors d'oeuvres, poultry, or enjoy it in a bubbly cocktail like a classic Mimosa or Spritz. It is the perfect bottle to transform everyday moments into lasting memories. Enjoy Responsibly.,BRUT PRESTIGE: A reflection of the best grape-growing regions in California,INCLUDES: One 750 mL bottle of Mumm Sparkling Wine Brut Prestige; 12.5% alcohol by volume; Enjoy and drink responsibly,PERFECT PAIRINGS: This Brut Prestige pairs well with sushi, creamy cheeses, hors d'oeuvres and poultry, and are perfect in a Mimosa or Spritz cocktail,FLAVOR AND AROMA NOTES: Apple, stone fruit and bright citrus with subtle notes of marzipan and toast with a bright, lingering acidity that carries through into a long, fruity finish,EXCEPTIONAL GRAPES: The grapes in this dry sparkling wine are harvested by hand during the crisp morning hours to preserve their condition","Chardonnay, Pinot Noir, Pinot Gris, Pinot Meunier","Pairs with: Salad, creamy cheeses, and fried chicken",Contains sulfites,,,
Apothic Dark Red Blend,$13.29,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_05f9c129-44a2-45a1-a5b7-81e8a2f3a931.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16a779a4-9982-418f-9e2f-930aa3de5667.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35b7cc5b-691d-4c01-a63f-2286744ad1fc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca6ed401-39d9-48d2-b955-45faee77ff25.png 4x","Apothic Dark is an inviting blend that showcases layers of deep, rich flavor. This unmistakable bold red blend is overflowing with black cherry and plum notes, with aromas of lightly roasted oak. Perfect for enjoying with friends at home, it pairs exquisitely with grilled meats, aged cheeses, and spiced desserts. As dusk settles and the day draws to a close, let Apothic Dark be the highlight of your conversation, creating cherished memories with every sip.,• One (1) 750 mL bottle of Apothic Dark Red Blend Red Wine,• Bold and opulent Apothic wine with jammy dark fruit notes and a smooth finish,• Apothic Dark wine features notes of plum, blueberry and blackberry with hints of chocolate,• Apothic Dark Red Blend from California,• Enjoy Apothic Dark red wine at room temperature,• Each 750 mL bottle contains about 6 glasses of wine with 13.9% alcohol by volume,• Produced and bottled by Apothic using California grapes","Flavors of Blueberry, Blackberry, Notes of Coffee, Dark Chocolate, Sulfites.",{},Contains sulfites,,,
The Family Coppola Diamond Collection Cabernet Sauvignon California,$18.59,$25.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c7d15a9-b253-43eb-8b71-d1e0f6ee3cf1.png 4x,"In 1972, legendary filmmaker Francis Ford Coppola had a vision of a wonderland among the rolling hills of Northern California wine country. Enduring the twists and turns, peaks and valleys (and multiple brushes with bankruptcy) along that winding road, Francis Coppola never gave up on his desire to create a wine designed ""to celebrate the love of life."" Crafted with the same passion and determination he brings to his films, the Diamond Collection is a tribute to all those dreamers and risk-takers like himself. Every member of the Diamond Collection is a testament to the family's craftsmanship and the perfect gift to ""celebrate the love of life"". Our Cabernet Sauvignon is a full-bodied and intense red wine that holds a true complexity by blending fruit from contrasting soil compositions and climates. The perfect pairing for any meal, this is a classic California Cab Sav with immediate drinkability. Watch it dazzle like the gem it is at your next dinner party with friends. Ready for a glass? Join the Coppola family, get a glimpse of beautiful Sonoma County, and savor a real taste of the diamond life.,• 92 points Wine Enthusiast (2021),• Classic, yet vibrant aromas of cherry, vanilla, and toasted oak,• Balanced with flavors of fresh red fruits, caramel, and baking spices,• Pairs effortlessly with foods like ribeye steak and portabella mushrooms",,{},Contains sulfites,,,
La Vieille Ferme Rose,$9.99,$11.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_174f3023-96a4-4f65-bdb5-8a4f7afeb689.png 4x,"France at its best. Since 1967, La Vieille Ferme has been producing authentic and delicious wines vintage after vintage, and has been acknowledged as one of the very best value wines in the world. The vines selected are grown high on the slopes, which gives this wine unique freshness and elegance. Pale pink in color, with soft undertones. Fresh and very aromatic nose, this wine has a delicate bouquet with notes of red fruit, flowers, and citrus fruit. Nice balance between sweetness and acidity in the mouth. The finish shows fresh fruit, and great length. www.vineyardbrands.com. Facebook: lavieilleferme. Instagram: (at)lavieilleferme. 13.5% alc./vol. 26 Product of France.","Rose Wine, Sulfites.",{},Contains sulfites.,,,
J. Lohr Chardonnay,$14.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6bf0cd11-e3b8-47a1-afa8-a9c7a8c5b30d.png 4x,"Barrel fermented. Barrel aged. The J. Lohr Estates Riverstone Chardonnay marries true, traditional winemaking with cool-climate fruit from our family’s vineyards in Monterey’s Arroyo Seco. Sustainably grown and produced, this superb Chardonnay layers inviting aromas of blossoms, peach, and nectarine with fresh flavors of citrus, apple, and cream. A light touch of oak on the long finish completes an authentic classic.","Chardonnay Wine, Tropical and Stone Fruit Flavors, Vanilla Bouquet, Sulfites.",{},Contains sulfites,,,
Clos du Bois Cabernet Sauvignon Red Wine,$13.29,$14.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a2e44e9-f929-40ee-b8e2-d5aa9c4b9870.jpeg 4x,"Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Cabernet Sauvignon is full-bodied and velvety on the palate. The wine is deep purple in color with a ruby red hue; it displays aromas of ripe blackberry with hints of milk chocolate and oak barrel spice. This lush Cabernet Sauvignon red wine pairs well with grilled meats and veggies.",Cabernet Sauvignon,This wine pairs perfectly with your favorite grilled meats or veggies.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
