Product Name,Product Image,Price,Artikel-Nr.:,Anbieter Art.-Nr.:,Zustand:,Verfügbar:,Motorcode:,Laufleistung:,Kategorie:,Hersteller:,Hersteller-Nr.:,EAN:,Verkaufseinheit:,Betriebsart:,Baujahr ab:,Farbe:,Ergänzungsartikel / Ergänzende Info:,Ergänzungsartikel / Ergänzende Info 2:,Durchmesser:,Spannung:,Anzahl der Steckkontakte:,Steckergehäuseform:,Gebrauchsnummer:,Allgemeine Hinweise:,Austauschteil,Gewicht:,Neuteil ohne Pfand,Nennspannung:,Einbauposition:,Herstellereinschränkung:,Anschlusstechnik:,Nettogewicht:,Garantie:,Altteilrückgabe nicht erforderlich,Alt- mit Neuteil zwingend abgleichen (insbesondere OE-Nr.),für OE-Nummer:,Material:,Abgasnorm:,Anschlussanzahl:,Anzahl der Befestigungsbohrungen:,Ventilart:,wahlweise,alternativer Reparatursatz:,Verpackungslänge:,Verpackungsbreite:,Verpackungshöhe:,Kühlungsart:,Fabrikationsnummer:,Vorgaben des Fahrzeugherstellers beachten,Artikelnummer des empfohlenen Zubehörs:
AGR-Ventil BorgWarner (Wahler) 72147559D,https://cdn.autoteile-markt.de/tecdoc/0079/72147559D_550_500_75.webp,"150,21 €",5YQ51P7P,1583868,Fabrikneu,1 Stück,,,AGR-Ventil,BorgWarner (Wahler),72147559D,4014427162513,1,elektrisch,,,mit Dichtung,,,,,,A2818852866F1,EGR_INFO.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil 12 V DELPHI EG10473-12B1,https://cdn.autoteile-markt.de/tecdoc/0089/EG10473_550_500_75.webp,"99,21 €",4RJW26Z8,10498819,Fabrikneu,2 Stück,,,AGR-Ventil,DELPHI,EG10473-12B1,5012759543153,1,,,,,,,12 V,,,,Ansehen,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A4 Allroad (8W, B9) 04L131501B M3N342PR",https://cdn.autoteile-markt.de/5ee0e2364963c831f173ec13/45bece76f3610dd76babd2803c6ee3e4_550_500_75.jpg,"28,49 €",M3N342PR,23950569,Gebraucht,1 Stück,,1 Km,AGR-Ventil,,,,,,2016,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A4 Allroad (8W, B9) 04L131501S Z6EPMKPW",https://cdn.autoteile-markt.de/5ee0e2364963c831f173ec13/91487bfb1b1906e65f2adfea3a0fbf20_550_500_75.jpg,"48,74 €",Z6EPMKPW,23950399,Gebraucht,1 Stück,,1 Km,AGR-Ventil,,,,,,2016,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil CONTINENTAL/VDO 2803601003302,https://cdn.autoteile-markt.de/5af9ab5867027e13dc786782/2ec34a659dcc08d603fd7187cad7e762_550_500_75.jpg,"195,45 €",NLGLJ1V5,4034512,Fabrikneu,2 Stück,,,AGR-Ventil,CONTINENTAL/VDO,2803601003302,4103590772664,1,elektrisch,,,mit Dichtungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil MEAT & DORIA 88329R,https://cdn.autoteile-markt.de/tecdoc/0244/88329R_550_500_75.webp,"102,46 €",5GRV8EZV,127129695,Fabrikneu,4 Stück,,,AGR-Ventil,MEAT & DORIA,88329R,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil VEMO V10-63-0085,https://cdn.autoteile-markt.de/tecdoc/0183/V10-63-0085_02_550_500_75.webp,"107,50 €",M3NVL55L,1462863,Fabrikneu,9 Stück,,,AGR-Ventil,VEMO,V10-63-0085,4046001696879,1,elektrisch,,,,,,,5 -polig,oval,,,,"0,725 kg",,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil HERTH+BUSS ELPARTS 70671043,,"125,61 €",E852XGPK,G0SVO5,Fabrikneu,>10 Stück,,,AGR-Ventil,HERTH+BUSS ELPARTS,70671043,4026736468064,1,elektrisch,,,mit Dichtung,,,,5 -polig,,,AGR-VENTIL_0001_E.pd...,,,,12 V,,,,,,,,,,,,,,,,,,,,,,
"AGR Ventil für Audi A4 A5 Q5 2,0 TDI DETA DET 04L128637E 04L128063T 1MZV7VN8",https://cdn.autoteile-markt.de/59636fea67027e6e13065511/86c1bad6d6135203a4f910246113f1ee_550_500_75.jpg,"49,00 €",1MZV7VN8,380811,Gebraucht,1 Stück,,,AGR-Ventil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil nach AGR-Kühler ELSTOCK 73-0235,https://cdn.autoteile-markt.de/tecdoc/0226/XR_08-01452_550_500_75.webp,"102,25 €",1JZ9MGLJ,14491637,Überholt,4 Stück,,,AGR-Ventil,ELSTOCK,73-0235,5704651676663,1,elektrisch,,,mit Dichtungen,,,,,,,XR_TRBLSHT_EGR_VLVS_...,,,,,nach AGR-Kühler,Continental,5 pin connector,"0,62 kg",,,,,,,,,,,,,,,,,,
AGR-Ventil ESEN SKV 14SKV278,https://cdn.autoteile-markt.de/tecdoc/4969/SKV_00SKV701_WM_01_550_500_75.webp,"103,44 €",4LG67ZJ1,3755925,Fabrikneu,1 Stück,,,AGR-Ventil,ESEN SKV,14SKV278,5903968499334,1,,,,,,,,,,,,,,,,,,,,3 Jahre Garantie,,,,,,,,,,,,,,,,,
AGR-Ventil MEAT & DORIA 88329,https://cdn.autoteile-markt.de/tecdoc/0244/88329_550_500_75.webp,"123,24 €",ZVKRZ49W,14130996,Fabrikneu,1 Stück,,,AGR-Ventil,MEAT & DORIA,88329,,1,,,,,,,,,,,,,,,,,,,,,,,04L 131 501 B,,,,,,,,,,,,,,
AGR-Ventil NISSENS 98379,https://cdn.autoteile-markt.de/tecdoc/0123/NISSENS_98379_550_500_75.webp,"114,94 €",77M9126J,H07ZPQ,Fabrikneu,>10 Stück,,,AGR-Ventil,NISSENS,98379,5707286503236,1,elektrisch,,,,ohne Unterdruck-Bypass,,,5 -polig,,A2818852866F1,,,,,,,,,,,,,,Aluminium,,,,,,,,,,,,,
AGR-Ventil Ansaugkrümmer ELSTOCK 73-0236,https://cdn.autoteile-markt.de/tecdoc/0226/XR_08-01461_550_500_75.webp,"157,14 €",8LXJLE85,14490815,Überholt,3 Stück,,,AGR-Ventil,ELSTOCK,73-0236,5704651676670,1,elektrisch,,,mit Dichtungen,,,,,,,XR_TRBLSHT_EGR_VLVS_...,,,,,Ansaugkrümmer,Valeo,,"0,98 kg",,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A4 Allroad (8W, B9) 04L131501B E2MN65X9",https://cdn.autoteile-markt.de/5ee0e2364963c831f173ec13/0cbffb66b42930e7c1e57a11798489ef_550_500_75.jpg,"29,30 €",E2MN65X9,27951712,Gebraucht,1 Stück,,,AGR-Ventil,,,,,,2016,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil HOFFER 7518329,https://cdn.autoteile-markt.de/tecdoc/0341/88329_550_500_75.webp,"129,79 €",M1XNLR2L,,Fabrikneu,5 Stück,,,AGR-Ventil,HOFFER,7518329,,1,,,,,,,,,,,,,,,,,,,,,,,04L 131 501 B,,,,,,,,,,,,,,
AGR-Ventil BUGIAD BGR13106,https://cdn.autoteile-markt.de/tecdoc/0157/bgr13106_550_500_75.webp,"133,59 €",Z9NJY35R,4115899,Fabrikneu,5 Stück,,,AGR-Ventil,BUGIAD,BGR13106,4043193131065,1,,,,mit Dichtung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil NTK 93336,https://cdn.autoteile-markt.de/tecdoc/5414/NGKNTK_EGE5-D158_U_550_500_75.webp,"132,21 €",VEN7W23V,3125754,Fabrikneu,9 Stück,,,AGR-Ventil,NTK,93336,4010326933360,1,elektrisch,,,,,,,5 -polig,D-Form,EGE5-D158,,,,,,,,,,,,,,Aluminium,,,,,,,,,,,,,
AGR-Ventil ESEN SKV 14SKV232,https://cdn.autoteile-markt.de/tecdoc/4969/SKV_14SKV232_WM_01_550_500_75.webp,"79,47 €",6659PE2Q,3029998,Fabrikneu,3 Stück,,,AGR-Ventil,ESEN SKV,14SKV232,5903968418052,1,,,,,,,,,,,,,"0,67 kg",,,,,,,3 Jahre Garantie,,,,,,,,,,,,,,,,,
AGR-Ventil NRF 48453,https://cdn.autoteile-markt.de/tecdoc/0205/48453_1500X1000_WM_001_550_500_75.webp,"253,61 €",8K4KQLVG,G0QFAD,Fabrikneu,6 Stück,,,AGR-Ventil,NRF,48453,8718042330680,1,,,,mit AGR-Kühler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil TRISCAN 8813 29058,https://cdn.autoteile-markt.de/tecdoc/0108/881329058_550_500_75.webp,"304,90 €",K36L6P99,0108_881329058,Fabrikneu,7 Stück,,,AGR-Ventil,TRISCAN,8813 29058,5710476293534,1,elektrisch,,,ohne Dichtungen,Hochdruckseite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil VALEO 700454,https://cdn.autoteile-markt.de/tecdoc/0021/EGR_VALVE_700454_01_550_500_75.webp,"153,15 €",V9Z49Q8M,E15E9D,Fabrikneu,>10 Stück,,,AGR-Ventil,VALEO,700454,3276427004540,1,elektrisch,,,mit Dichtungen,ohne Unterdruck-Bypass,,,,,,,,"1,2 kg",,,,,,,,,,,,Euro 6,,,,,,,,,,,,
AGR-Ventil 12 V ERA 555272A,https://cdn.autoteile-markt.de/tecdoc/0234/ERA_555272A_WM_01_550_500_75.webp,"97,67 €",3QEPZ85X,14312360,Fabrikneu,4 Stück,,,AGR-Ventil,ERA,555272A,8053379171972,1,elektrisch,,,mit Dichtungen,mit Dichtring,,12 V,,,,,,"0,82 kg",,,,,,,,,,,,,5,3,,,,,,,,,,
AGR-Ventil 12 V PIERBURG 7.10334.11.0,https://cdn.autoteile-markt.de/tecdoc/0005/7.10334.11.0z_main1_550_500_75.webp,"99,20 €",6G56JWRQ,3426597,Fabrikneu,>10 Stück,,,AGR-Ventil,PIERBURG,7.10334.11.0,4028977938306,1,elektrisch,,,mit Dichtung,Niederdruckseite,,12 V,,,,Ansehen,,,,,,,,,,,,,,,,,Steuerventil,,,,,,,,,
AGR-Ventil NISSENS 98419,https://cdn.autoteile-markt.de/tecdoc/0123/NISSENS_98419_550_500_75.webp,"82,96 €",RERLXR8,3919120,Fabrikneu,3 Stück,,,AGR-Ventil,NISSENS,98419,5707286505872,1,elektrisch,,,,ohne Unterdruck-Bypass,,,5 -polig,,,,,,,,,,,,,,,,Aluminium,,,,,,,,,,,,,
AGR-Ventil 12 V ERA 555469A,https://cdn.autoteile-markt.de/tecdoc/0234/ERA_555469A_WM_01_550_500_75.webp,"220,24 €",ENPJ8LZ9,3755193,Fabrikneu,1 Stück,,,AGR-Ventil,ERA,555469A,8053379925902,1,elektrisch,,,mit Dichtungen,,,12 V,,,,,,"1,19 kg",,,,,,,,,,,,,5,,,,555469,,,,,,,
AGR-Ventil AKS DASIS 045200N,https://cdn.autoteile-markt.de/tecdoc/0080/045200N_550_500_75.webp,"111,93 €",RE9Z7EV8,4919391,Fabrikneu,5 Stück,,,AGR-Ventil,AKS DASIS,045200N,4044455844006,1,,,,,,,,,,,,,"0,86 kg",,,,,,,,,,04L131501B,,,,,,,,19 cm,17 cm,13 cm,,,,
AGR-Ventil METZGER 0892714,https://cdn.autoteile-markt.de/tecdoc/0094/0892714_550_500_75.webp,"184,54 €",E43MPGY,16109946-0,Fabrikneu,2 Stück,,,AGR-Ventil,METZGER,0892714,4062101060952,1,elektrisch,,,,Hochdruckseite,,,5 -polig,,,AGR_VENTILE_HINWEIS....,,,,,,,,,,,,,,,,,,,,,,,wassergekühlt,,,
AGR-Ventil NTY EGR-VW-048,https://cdn.autoteile-markt.de/tecdoc/6355/EGR-VW-048_1-WM_550_500_75.webp,"113,34 €",PJXMWLK9,131465044,Fabrikneu,9 Stück,,,AGR-Ventil,NTY,EGR-VW-048,5902048330253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGR-VW-048,,
AGR-Ventil nach AGR-Kühler DRI 717730235,https://cdn.autoteile-markt.de/tecdoc/0460/XR_08-01452_550_500_75.webp,"121,10 €",WEPYZ2L3,14444986,Überholt,1 Stück,,,AGR-Ventil,DRI,717730235,5708279470443,1,elektrisch,,,mit Dichtungen,,,,,,,XR_TRBLSHT_EGR_VLVS_...,,,,,nach AGR-Kühler,Continental,5 pin connector,"0,62 kg",,,,,,,,,,,,,,,,,,
AGR-Ventil PartsTec PTA510-0414,https://cdn.autoteile-markt.de/tecdoc/6457/PTA510-0414_550_500_75.webp,"126,77 €",MV87V81L,6457_PTA5100414,Fabrikneu,>10 Stück,,,AGR-Ventil,PartsTec,PTA510-0414,4251045532759,1,elektrisch,,,mit Dichtung,,,,,,,PI_0001_2023_PTA510D...,,,,,,,,,,,,,,,,,Magnetventil,,,,,,,,,
AGR-Ventil FEBI BILSTEIN 171186,https://cdn.autoteile-markt.de/tecdoc/0101/171186_1_550_500_75.webp,"261,07 €",MGQ2GQ9,3112955,Fabrikneu,1 Stück,,,AGR-Ventil,FEBI BILSTEIN,171186,4054224711866,1,,,,mit Dichtung,,,,,,,,,"0,935 kg",,,,,,,,,,,,,5,,,,,,,,,,,
AGR-Ventil DELPHI EG10552-12B1,,"120,94 €",Q7EVQ8ZZ,,Fabrikneu,4 Stück,,,AGR-Ventil,DELPHI,EG10552-12B1,,1,,,,,,,,,,,Ansehen,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil 12 V nach AGR-Kühler METZGER 0892742,https://cdn.autoteile-markt.de/tecdoc/0094/0892742_550_500_75.webp,"109,93 €",QME2Z19R,1902920,Fabrikneu,2 Stück,,,AGR-Ventil,METZGER,0892742,4062101076519,1,elektrisch,,,mit Dichtung,Steuergerät/Software muss angelernt/upgedatet werden,,12 V,5 -polig,,,AGR_VENTILE_HINWEIS....,,,,,nach AGR-Kühler,,,,,,,,,,,,,,,,,,,,,
AGR-Ventil 12 V ERA 555411A,https://cdn.autoteile-markt.de/tecdoc/0234/ERA_555411A_WM_01_550_500_75.webp,"120,39 €",2VL44XY1,2886798,Fabrikneu,6 Stück,,,AGR-Ventil,ERA,555411A,8053379172689,1,elektrisch,,,mit Dichtungen,,,12 V,,,,,,"0,67 kg",,,,,,,,,,,,,5,3,,,,,,,,,,
AGR-Ventil NTY EGR-AU-026,https://cdn.autoteile-markt.de/tecdoc/6355/EGR-AU-026_1-WM_550_500_75.webp,"87,90 €",6829E4YQ,3253983,Fabrikneu,3 Stück,,,AGR-Ventil,NTY,EGR-AU-026,5902048198709,1,elektrisch,,,ohne Dichtung,Steuergerät/Software muss angelernt/upgedatet werden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGR-AU-026,,
AGR-Ventil 12 V PIERBURG 7.10334.13.0,https://cdn.autoteile-markt.de/tecdoc/0005/7.10334.13.0z_main1_550_500_75.webp,"119,79 €",EWZX8411,3602509,Fabrikneu,1 Stück,,,AGR-Ventil,PIERBURG,7.10334.13.0,4028977947261,1,elektrisch,,,mit Dichtung,,,12 V,,,,Ansehen,,,,,,,,,,,,,,,,,Steuerventil,,,,,,,,,
AGR-Ventil CONTINENTAL/VDO A2C59507763,https://cdn.autoteile-markt.de/tecdoc/0083/A2C59507763_550_500_75.webp,"136,17 €",E4NMG9WK,14522736,Fabrikneu,1 Stück,,,AGR-Ventil,CONTINENTAL/VDO,A2C59507763,4103590671639,1,elektrisch,,,ohne Dichtung,Steuergerät/Software muss angelernt/upgedatet werden,38 mm,,,,,A2C59507763_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,VW 04L 131 547 A
