Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Milk Free,Gluten Free,Soy Free,Treenut Free
Dave's Killer Bread Organic Thin Sliced Whole Grain Bread,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9dd98949-a5df-4b61-8eb2-368acee211e0.png 4x,"Dave's Killer Bread® Sprouted Whole Grains Thin-Sliced bread loaf is USDA organic bread with slightly sweet taste and soft texture from the delicious sprouted whole grains baked into each loaf. 3g protein, 2g fiber, 30mg ALA Omega-3 and 16g whole grains per slice. With 70 calories per slice, Sprouted Whole Grains Thin-Sliced is the perfect size for enjoying sandwiches on-the-go. Plus, each Non-GMO Project Verified bread slice is made with organic oats, wheat and rye. Dave's Killer Bread® has no high-fructose corn syrup, no artificial preservatives and no artificial ingredients. You can trust Dave's Killer Bread® to deliver killer taste, texture and whole grain nutrition. Sprouted Whole Grains Thin-Sliced bread is just what you need for sandwiches, toast and snacks. The story of Dave’s Killer Bread® began at the Portland Farmers Market, when Dave Dahl and his nephew brought some loaves of Dave's bread to sell. For Dave, this marked the beginning of a new chapter in his life. Though he grew up in a family of bakers, his life took a different path. A path that landed him in prison for 15 years. Determined to prove his worth and make a positive impact, Dave worked tirelessly to bake breads that tasted unlike anything else on the market — packed with seeds and grains, made with only the very best organic and Non-GMO Project Verified ingredients. Dave’s Killer Bread® believes everyone is capable of greatness. One in three of the company's employee partners at their Milwaukie, OR bakery has a criminal background—but your past doesn't define your future. As a proud Second Chance Employer, Dave’s Killer Bread® truly believes everyone deserves a second chance to become a Good Seed.,• You'll get a 20.5 oz loaf of Dave's Killer Bread® Sprouted Whole Grains Thin-Sliced,• 3g protein, 2g fiber, 30mg ALA Omega-3 and 16g whole grains per serving,• This soft and slightly sweet sandwich bread features organic oats, organic wheat and organic rye,• Dave's Killer Bread® is Non-GMO Project Verified and USDA organic, plus has no high-fructose corn syrup, artificial preservatives or artificial ingredients,• ""America’s #1 Organic Bread*,*Circana Latest 52wks ending 8.11.24"",• For the most accurate and updated ingredient info, always check the ingredients label on the actual product","Organic Whole Wheat (organic Sprouted Whole Wheat Flour, Organic Cracked Whole Wheat), Water, Organic Cane Sugar, Organic Sprouted Grain Mix (organic Sprouted Wheat, Organic Sprouted Rye), Organic Rolled Oats, Organic Expeller Pressed Canola Oil, Contains 2% Or Less Of Each Of The Following: Organic Wheat Gluten, Organic Molasses, Organic Oat Fiber, Yeast, Sea Salt, Organic Cultured Wheat Flour, Organic Vinegar, Organic Whole Wheat Flour, Organic Acerola Cherry Powder, Enzymes.",{},"Contains: wheat, sesame.",,,,,
Pepperidge Farm Farmhouse Hearty White Bread,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d643ff5-5ecd-4780-b6b9-8eecfaeea192.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3ca167a-1fdd-42eb-b5f6-02f807d1a59b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7504cd5-2a4f-485d-8fd0-fe64820cd340.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01afa462-db03-41b8-905b-3e31d417d0f7.jpg 4x","Farmhouse is the bread you would make if you made bread. At Pepperidge Farm, we have been baking delicious breads inspired by small batch recipes and crafted with premium ingredients for over 75 years. For us, baking is more than a job, it’s a real passion. Our dedication to quality shows in the care we put into every detail. Pepperidge Farm Farmhouse Hearty White Bread stays true to the classic recipe you know and love: A delicious, versatile white bread baked with quality ingredients and a touch of sweetness with no high fructose corn syrup and no colors or flavors from artificial sources. These thick slices of sandwich bread are soft, yet strong enough to stand up to any sandwich ingredient. And with a delightfully mild flavor, it’s the perfect bread for sandwich lovers. Enjoy the great taste of homemade, because after all, there’s no taste like home.","Enriched Wheat Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Contains 2% Or Less Of: Salt, Vegetable Oils (soybean And/or Canola), Monoglycerides, Calcium Propionate And Sorbic Acid To Extend Freshness, Malted Barley Flour, Whey, Soy Lecithin, Datem, Wheat Gluten",{},"Contains: wheat, milk, soy.",,,,,
Pepperidge Farm 15 Grain Bread,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3cfb3a2d-edc1-4e97-ba58-6e5c75f34bd7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_922bdc60-0065-4de4-93e7-79fa1a20aad1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_96896a7d-53ab-4971-b206-431e68ab6a0d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62e42b55-6940-4694-9f1d-24c2ae68d699.jpg 4x","Help maintain a healthy lifestyle, deliciously, with Pepperidge Farm Whole Grain 15 Grain Bread. Two slices deliver 10 grams of protein, 6 grams of fiber, and 46 grams of whole grains. Pepperidge Farm 15 Grain bread has the perfect touch of sweetness and a satisfying blend of grains. Enjoy this multigrain bread with sandwiches or toast up a slice for breakfast!","Whole Wheat Flour, Water, Sugar, Sunflower Seeds, Wheat Gluten, Wheat Berries, Yeast, Flaxseed, Oats, Contains 2% Or Less Of: Vegetable Oil (soybean And/or Canola), Pearled Barley, Rye, Triticale, Salt, Corn Grits, Sugarcane Fiber, Calcium Propionate And Sorbic Acid To Extend Freshness, Monoglycerides, Datem, Brown Rice Flour, Buckwheat Flour, Flaxseed Meal, Millet Flour, Amaranth Flour, Whole Quinoa Flour, Whole Sorghum Flour, Whole Spelt Flour, Soy Lecithin, Whey",{},"Contains: wheat, milk, soy.",,,,,
Sara Lee White made with Whole Grain Bread,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_22306ab9-3ad7-442e-9fb2-0928f3e432d1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08a459f2-e21c-4c01-8e2e-4e95c9e6f6f8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e45925ba-e4fe-4c8f-b024-7376bafa767b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2b5cc6a-efec-43f3-b330-253ed99d15dd.jpg 4x","Bring delectable straight-from-the-bakery taste home to your family with Sara Lee White Made With Whole Grain Sandwich Bread. Soft, smooth and delicious, this Sara Lee made with whole grain white bread is the perfect base for anything you create. This loaf of white bread is made with no high fructose corn syrup, no artificial colors or artificial flavors, bringing only the best to you and your family. From decadent buttered toast to scrumptious chicken salad sandwiches and PB&Js, you can count on Sara Lee white made with whole grain bread for taste and quality that even the pickiest of eaters will love. Enjoy Sara Lee sliced bread right out of the bag for convenient meals to fit your busy schedule. Celebrate the goodness in life during every meal with Sara Lee white sandwich bread. This item is Shelf Stable. Size Description: Regular.","Enriched Wheat Flour [flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate (vitamin B1), Riboflavin (vitamin B2), Folic Acid], Water, Whole Wheat Flour, Sugar, Yeast, Wheat Gluten, Cellulose Fiber, Calcium Sulfate, Salt, Vegetable Oil (soybean), Preservatives (calcium Propionate, Sorbic Acid), Soy Flour, Monoglycerides, Datem, Soy Lecithin, Citric Acid, Vitamin D3, Grain Vinegar, Monocalcium Phosphate, Oat Fiber, Sesame Seeds","Our bakery products retain their best quality if stored at room temperature. for best results, please use by date on package. we are committed to providing you with quality products and welcome your questions and comments. call 1-800-984-0989, consumer relations department. when writing, please include the proof-of-purchase (bar code) and stamped date code.","Contains wheat, soy, sesame.,made in a bakery that may also use milk, egg, tree nuts.",,,,,
Stonefire Original Naan Dippers,,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ba401db-6610-4281-b502-92c4da7af150.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bb5568b-f2c0-43d1-baa6-76ca40953fa1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ca72044-3451-4a84-8435-2494c00f770b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_644a8b7f-8745-40d1-bd92-63a7e83c2210.png 4x","Re-invent your snacks and appetizers & more. They may be bite-sized but they're still Stonefire® Naan. Delightful bite-sized naan that is baked in our patented high heat oven that creates an amazing taste & texture you notice on first bite. Stonefire® Original Naan Dippers are made with fresh buttermilk and ghee (clarified butter) and the right amount of bubbles and char. Give your family and friends a whole new way to enjoy their favorite dips and spreads. Kids love them too. Be creative and create bite-sized PB & J sandwiches, grilled cheese, naanchos, and bite-sized pizzas. Stonefire® Naan Dippers® are the perfect, pillowy, snack-sized flatbread for any time of day or occasion. Keep Refrigerated.,• Soft pillowy bite sized Naan,• Re-invent your snacks and appetizers & more,• Baked in our patented high heat oven to create our bubbles & char and an amazing texture and taste you notice on first bite,• Great for appetizers & kid-friendly snacks/lunches,• Keep Refrigerated","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added As A Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Water, Buttermilk (nonfat Milk, Dry Buttermilk, Bacterial Culture), Soybean Oil, Modified Wheat Starch, Cultured Wheat Flour, Sugar, Salt, Ghee (clarified Butter), Dextrose, Acacia, Leavening (sodium Acid Pyrophosphate, Baking Soda), Yeast, Mono-and Diglycerides, Enzymes","Bake: HEATING INSTRUCTIONS: Remove Naan Dippers from packaging and choose your desired warming method or enjoy right out of the package. BAKE: 400 Degrees F (200 Degrees C) 1 minute from fresh, 2 minutes from frozen. Microwave: HEATING INSTRUCTIONS: Remove Naan Dippers from packaging and choose your desired warming method or enjoy right out of the package. MICROWAVE: 10 seconds from fresh, 15-20 seconds from frozen Stonefire Naan Dippers must be kept refrigerated. Can be frozen to maintain freshness.,Recipe Suggestions:,Cinnamon Sugar Naan Dippers.,Keep refrigerated.","Contains: wheat and milk. May contain: eggs, soy and sesame.",,,,,
Nature's Own Perfectly Crafted Brioche Style Hamburger Buns 8 Pack,,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26c4b994-cc66-4aa3-a210-71f7774322f5.png 4x,"Nature's Own Perfectly Crafted® Brioche Style Hamburger Buns set the bar high for your next barbecue with their soft texture and subtle sweetness. With eight fluffy and delicious brioche style burger buns, you can add a gourmet touch to picnics, family gatherings or camping. Load them up with juicy burgers and all the toppings, or add some sweetness to pulled pork sandwiches with cole slaw. Nature's Own Perfectly Crafted soft hamburger buns have no artificial preservatives, colors or flavors, and no high-fructose corn syrup; and no cholesterol. Plus, you can trust that all Perfectly Crafted products from Nature's Own are Non-GMO Project Verified. You'll feel confident serving family and friends delicious choices from Nature's Own bread, America's #1 selling loaf bread brand.*,Nature's Own Perfectly Crafted means indulgence, artisan style, bakery-inspired and perfectly delicious. From multigrain and rye bread to brioche style buns and rolls, Nature's Own Perfectly Crafted products help you bring creativity back to your kitchen and serve meals worthy of your friends and family. All Nature's Own Perfectly Crafted products have no artificial preservatives, colors or flavors, and no high fructose corn syrup and are Non-GMO Project Verified.,*Source: Circana Syndicated Data for the total U.S. latest 52 weeks ending 1.21.24,• You'll get eight Nature's Own Perfectly Crafted brioche style hamburger buns,• Brioche style burger buns with soft texture and subtle sweetness,• Non-GMO Project Verified with no artificial preservatives, colors or flavors, and no high fructose corn syrup,• Delicious hamburger buns add a gourmet twist to your picnic supplies or BBQ party,• From multigrain and rye bread, to brioche style buns and rolls, try all of Nature's Own Perfectly Crafted's delicious offerings","Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Wheat Gluten, Butter* (made From Milk), Contains 2% Or Less Of Each Of The Following: Salt, Cultured Wheat Flour, Sunflower Lecithin, Monocalcium Phosphate, Calcium Sulfate, Vegetable Oil (sunflower Oil, Canola Oil, Soybean Oil), Corn Maltodextrins, Vegetable Proteins (pea, Potato, Faba Bean), Enzymes, Annatto, Turmeric, Corn Dextrose, Ascorbic Acid, Corn Starch, Durum Wheat Flour, *a Trivial Source Of Cholesterol",,,,,,,
King's Hawaiian Original Hawaiian Sweet Rolls 4PK,,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fea33b18-33e0-4528-8839-97d205fff6f0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4547bea8-30a9-4439-9ed4-056262e49b46.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24f323ff-9034-4299-8b95-3741fe2e6b68.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c07fa32-54bf-4d11-8276-c410f3c11d4a.jpg 4x","• One 4 count pack of KING'S HAWAIIAN Original Hawaiian Sweet Rolls,• Dinner rolls made with the original KING'S HAWAIIAN sweet recipe,• Soft bread with a fluffy, melt-in-your mouth texture,• KING'S HAWAIIAN rolls are made with no high fructose corn syrup, artificial dyes or trans fat,• Use sweet bread rolls to make great-tasting sliders, unique snacks and desserts, or serve them as a side to elevate any meal,Enjoy the delicious taste of KING'S HAWAIIAN Original Hawaiian Sweet Rolls. This original Hawaiian sweet bread recipe is rolled into an authentic Hawaiian sweet dinner roll. KING'S HAWAIIAN dinner rolls have a melt-in-your mouth texture– soft and fluffy with just the right touch of sweetness that can elevate any meal. With no high fructose corn syrup, artificial dyes or trans fat, these sweet bread rolls are uniquely crowd-pleasing. KING'S HAWAIIAN Rolls are the perfect size to make great-tasting slider rolls, kid-friendly snacks and delightful desserts such as glazed donut bites. When they’re not the main dish, KING'S HAWAIIAN sweet rolls still make an impression as a complement to family dinners or when shared as a delicious heat and eat side that’s ready in a pinch. Don’t be surprised if these irresistibly delicious dinner rolls get eaten before they ever make it to the table.","Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Butter (pasteurized Cream, Salt), Eggs, Contains 2% Or Less Of The Following: Sodium Silicoaluminate, Potato Flour, Yeast, Sorbitan Monostearate, Ascorbic Acid (added As A Dough Conditioner), Whey, Corn Flour, Monocalcium Phosphate, Soy Flour, Nonfat Milk, Salt, Wheat Gluten, Datem, Calcium Silicate (anti-caking), Sodium Stearoyl Lactylate, Calcium Sulfate, Ammonium Sulfate, Wheat Starch, Enzymes",{},"Contains: wheat, milk, eggs, soy.",,,,,
Stonefire Original Naan 2pk,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9e23313-0350-4c34-bfc1-4f215c4d3ba6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1b74d04-a548-4e06-907e-c56e14c51e9e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f48ab081-b634-429c-b6f7-82edb0c11c0d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0984670c-1292-4ffa-be5d-27a458d0eaaf.png 4x","A great alternative to everyday bread, rolls or pita. Great for any occasion - use it as a side bread, tear and share, dip and scoop or make a delicious pizza. Soft, fluffy and delicious! Stonefire® Original Naan bread uses high quality ingredients like fresh buttermilk & ghee (clarified butter) and each naan is hand-stretched into its unique teardrop shape. Then each naan is baked in our high heat patented oven to create our signature bubbles & char and an amazing texture and taste you notice on first bite. Stonefire® Original Naan is always welcome at your table. Just heat and serve to make any meal special.,• A great alternative to everyday bread, rolls or pita,• Great for any occasion - use it as a side bead, tear & share, dip and scoop or make a delicious pizza,• Soft fluffy texture,• Baked in our patented high heat tandoor tunnel oven to create our signature bubbles & char and an amazing texture and taste you notice on first bite","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added As A Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme Folic Acid), Buttermilk (nonfat Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean Oil, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (sodium Acid Pyrophosphate, Baking Soda, Cornstarch, Monocalcium Phosphate), Sea Salt Ghee (clarified Butter), Wheat Gluten, Dextrose, Dextrin, Carrot Fiber, Yeast","400 degrees F (200 degrees C) for 2-3 minutes. 5-6 minutes from frozen. Grill at 350 degrees F (180 degrees C) for 1-2 minutes. 4-5 minutes from frozen. Toast: Heat at medium setting. Wrap top and bottom with paper towel. High setting 15-30 seconds. 30-45 seconds from frozen. Better served warm. Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter.","Contains: wheat, milk and eggs. May contain: soy and sesame.",,,,,
Guerrero Harina Caseras Fajita Flour Tortillas,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e293a1d2-dc90-45b0-b7d9-919c5cb4ada0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b90f96e-9c1b-4a84-9a0e-0bae36d690d2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3933ae8-93bd-49a5-ad37-490c1d319e2e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10788a92-4301-4400-9b82-f6409df15a56.jpg 4x","Guerrero Caseras Fajita Flour Tortillas are made the right way, using quality ingredients and time-tested techniques that honor the heritage of all of your family's favorite meals. Whether you're making a generations-old fajita recipe or a quick batch of tacos, our tortillas' fluffy texture and authentic flavor will enhance everything at the dinner table. You can also feel good about serving our tortillas to your friends and family because they're certified kosher and completely free of lard, trans fat, and cholesterol. We recommend trying our flour tortillas with marinated steak, guacamole, and crispy cabbage for a quick and easy weeknight dinner. Includes one 20-count package of Guerrero Caseras Fajita Flour Tortillas.","Enriched Bleached Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Contains 2% Of Less Of Salt, Sugar, Baking Soda, Sodium Acid Pyrophosphate, Distilled Monoglycerides, Enzymes, Cellulose Gum, Guar Gum, Fumaric Acid, And Calcium Propionate And Sorbic Acid (to Maintain Freshness)",{},Contains: wheat.,,,,,
"Sara Lee Delightful, Multi-Grain Bread",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_555cd18f-3970-4051-a6ca-f56c94070e7f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_751ba800-6fbc-40bd-849e-953038171a92.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78d0a9ff-110f-45c7-afc5-949285033ed0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_096cc91f-31cd-48e5-a1e7-218158d2281b.png 4x","Sara Lee Delightful Healthy Multi Grain Bread proves that healthy can be delicious. Made with fiber and nutritious whole grains, this Sara Lee Delightful sliced bread provides a delicious hint of sweetness to every savory flavor you add to it. On top of great taste, this multi grain bread made with 8 grams of whole grains and 45 calories per slice (16 grams of whole grains and 90 calories per two-slice serving). Sara Lee Delightful sandwich bread contains no high fructose corn syrup, artificial colors, or flavors, ensuring that you're sharing only the best with your family. From egg white sandwiches to calorie-conscious grilled cheese and more, you can count on Sara Lee healthy multigrain bread for a smarter bread choice that doesn’t sacrifice delicious taste and quality. Enjoy Sara Lee Delightful bakery bread right out of the bag for convenient meals to fit your busy schedule or place in the freezer for later. Celebrate the goodness in life during every meal with Sara Lee Delightful Healthy Multi Grain bread. This item is Shelf Stable. Size Description: Regular.","Whole Wheat Flour, Water, Wheat Gluten, Whole Grain Mix (bulgur Wheat, Wheat, Rye, Oats, Barley, Triticale, Corn, Millet), Modified Wheat Starch, Sugar, Yeast, Cellulose Fiber, Salt, Preservatives (calcium Propionate, Sorbic Acid), Vegetable Oil (soybean), Monoglycerides, Datem, Natural Flavor, Wheat Bran, Cellulose Gum, Honey Solids, Monocalcium Phosphate, Soy Lecithin, Ground Flaxmeal, Reb A (stevia Leaf Sweetener), Citric Acid, Grain Vinegar, Sesame Seeds","Our bakery products retain their best quality if stored at room temperature. for best results, please use by date on package. we are committed to providing you with quality products and welcome your questions and comments. call 1-800-984-0989, consumer relations department. when writing, please include the proof-of-purchase (bar code) and stamped date code.","Contains wheat, soy, sesame.,made in a bakery that may also use milk, tree nuts.",,,,,
"Voortman Bakery Cookies, Zero Sugar, Shortbread",$3.49,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28f5b9c4-336c-4056-863e-adfb37ca9a29.jpeg 4x,"Enjoy delicious, classic shortbread without the added sugar, high-fructose corn syrup, or artificial flavors! Pair VOORTMAN Bakery Zero Sugar Shortbread Cookies with a satisfying glass of milk or a cup of coffee, and savor them on your own or with friends. These crisp and tasty treats come in a resealable package and are perfect for anytime snacking and dunking. Munch on them at sunrise, mid-afternoon, or for a late-night snack. Plus, they’re sure to add an extra layer of delight to your family’s favorite dessert recipe! Enjoy those precious moments with your loved ones, as delicious VOORTMAN Zero Sugar cookies are sure to bring a smile to everyone's face.","Enriched Flour (wheat, Malted Barley, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (canola, Soybean, Hydrogenated Soybean, Palm, Palm Kernel), Maltitol, Water, Salt, Natural Flavor, Acesulfame K, Vanilla Extract, Nonfat Dry Milk, Egg, Soy Lecithin",Ambient Temperature,"Contains egg, milk, soy, wheat.,may contain almond, coconut, pecan.",,,,,
Dave's Killer Bread Organic Boomin Berry Bagels 5 Pack,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_417c0acb-ddfd-4132-bf01-e9386fd66432.png 4x,"Dave's Killer Bread® Boomin' Berry® Bagels are USDA organic bagels bursting with berry flavor sure to start your day off with a bang! 11g protein and 13g of whole grains per bagel. These Non-GMO Project Verified berry bagels are boomin' with delicious super berries and fruit swirls, including cranberry, blueberry, blackberry, and açai—not to mention no high-fructose corn syrup, no artificial preservatives or ingredients. You can trust Dave's Killer Bread® to deliver killer taste, texture and whole grain nutrition. Boomin' Berry® Bagels are pre-sliced and ready to be slathered in smooth cream cheese or butter to help you build a better breakfast.,The story of Dave’s Killer Bread® began at the Portland Farmers Market, when Dave Dahl and his nephew brought some loaves of Dave's bread to sell. For Dave, this marked the beginning of a new chapter in his life. Though he grew up in a family of bakers, his life took a different path. A path that landed him in prison for 15 years. Determined to prove his worth and make a positive impact, Dave worked tirelessly to bake breads that tasted unlike anything else on the market — packed with seeds and grains, made with only the very best organic and Non-GMO Project Verified ingredients. Dave’s Killer Bread® believes everyone is capable of greatness. One in three of the company's employee partners at their Milwaukie, OR bakery has a criminal background—but your past doesn't define your future. As a proud Second Chance Employer, Dave’s Killer Bread® truly believes everyone deserves a second chance to become a Good Seed.,• You'll get a package of five Dave's Killer Bread® Boomin' Berry® Bagels,• These USDA organic bagels are packed with four super berries: cranberry, blueberry, blackberry and açai,• 11g protein and 13g of whole grains per berry bagel,• Dave's Killer Bread® is Non-GMO Project Verified and USDA organic, plus has no high-fructose corn syrup, artificial preservatives or artificial ingredients,• America’s #1 Organic Bread**Circana Latest 52wks ending 5/21/2023","Organic Wheat Flour, Water, Organic Ancient Grain Blend (organic Barley Flour, Organic Rye Flour, Organic Spelt Flour, Organic Millet Flour, Organic Quinoa Flour), Organic Vital Wheat Gluten, Organic Cane Sugar, Organic Oat Flakes, Infused Dried Organic Cranberries (organic Cranberry, Organic Sugar, Organic Sunflower Oil), Yeast, Contains 2% Or Less Of Each Of The Following: Infused Dried Organic Wild Blueberries (organic Wild Blueberry, Organic Sugar, Organic Sunflower Oil), Organic Canola Oil, Sea Salt, Organic Mixed Berry Blend (organic Sugar, Water, Organic Blackberries, Organic Blueberry Juice Concentrate, Organic Acai, Citric Acid), Organic Vinegar, Organic Corn Meal, Natural Flavor, Organic Carrot Juice Concentrate (organic Carrots, Water, Citric Acid), Ascorbic Acid, Cultured Wheat Flour, Enzymes.",{},Contains: wheat.,,,,,
"Ortega Yellow Corn Taco Shells, Kosher",,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64f875c6-5754-4be2-bbb4-24517821db9c.jpeg 4x,"Ortega Taco Shells offer the great taste and texture of yellow corn shells to help you prepare fun and tasty Mexican meals. Fill these crunchy and crispy taco shells with your favorite meat mixture, lettuce, tomato, cheese and taco sauce to enjoy delicious tacos with family and friends. Gluten-free and cholesterol-free, these kosher, hard taco shells are a flavorful choice for people with dietary restrictions. Even if you are not making hard shell tacos, this taco shell kit contains 12 whole corn taco shells that come ready to eat out of the box. Ortega hopes to help you create fond memories of great meals shared with your family.,• One 4.9 ounce box of 12 Ortega Yellow Corn Taco Shells,• Crispy and crunchy taco shells are perfect for preparing fun and tasty hard shell tacos and other Mexican meals,• Ortega Taco Shells are gluten-free, cholesterol-free and certified kosher,• These corn taco shells come ready to eat right out of the box,• Taste the difference with Ortega Taco Shells","Yellow Corn Masa Flour (yellow Corn Flour, Hydrated Lime), High Oleic Canola Oil And/or Corn Oil, Water, Salt","For Great Tasting Tacos You Will Need: 1 lb ground beef. 1 packet Ortega Taco Seasoning Mix. 3/4 cup water. Shredded lettuce & diced tomatoes. Shredded cheese. Ortega Taco Sauce, any variety. Ortega Fire Roasted Diced Green Chiles. 1. Brown beef; drain. Stir in water and seasoning mix. Heat until thickened, stirring often. 2 Remove taco shells from plastic wrap. Bake shells in a preheated 350 degrees F oven for 3 to 4 minutes or microwave on high 40-60 seconds. Do not prepare taco shells in toaster oven. 3. Fill taco shells with meat mixture and toppings. Store unused taco shells in airtight plastic bag or container.",,,,,,
Mission Gluten Free Spinach Herb Tortilla Wraps,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4da5dfb-ff9e-4831-9f07-9ae4fa2c64f1.png 4x,"We’ve put a new spin on Gluten Free! Our spinach tortillas are gluten free, high in fiber, and perfect for a vegan diet. Enjoy the same great taste and satisfyingly soft Mission tortillas you know and love, now with a zesty spinach and herb twist and a ton of new tasty ways to ditch gluten for good. Includes one 6 count pack of Mission Gluten Free Spinach Herb Tortilla Wraps.","Water, Modified Food Starch, Rice Flour, Pea Protein, Resistant Corn Starch, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Potato Extract, Tapioca Starch, Potato Starch, Sucralose, Sugar, Cellulose Gum, Guar Gum, Xanthan Gum, Salt, Monoglycerides, Seasoning (spinach Powder, Onion Powder, Spices, Garlic Powder, Sunflower Oil, Yellow 5 Aluminum Lake, Blue 1 Aluminum Lake, And Natural Flavor), Dextrose, Calcium Propionate (to Preserve Freshness), Baking Soda, Sodium Acid Pyrophosphate, Tapioca Flour, Millet Flour, Fumaric Acid, Inulin, Sorbic Acid (to Preserve Freshness).","Heating Instructions: For best results: Medium heat in skillet for 10 to 15 seconds per side. Place 4 to 6 tortillas between two damp paper towels for 30 to 45 seconds.,For Freshness: Refrigerate after opening.",Contains: soy,Gluten Free,,,,
