Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free,Treenut Free,Soy Free
"Lay's Dip, Smooth Ranch",,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1c33489-ac4e-457c-831f-e3eaaa809f1d.jpeg 4x,"Delicious, crowd pleasing and convenient ' it can't get much better than Frito-Lay chips and dips! From entertaining friends to relaxing at home and everything in between, our perfectly blended salsas and great-tasting dips are always a hit. Mix and match them to discover your own perfect pairing!,• 15.0 oz. of LAY'S Smooth Ranch Dip,• Smooth ranch dip that is creamy and delicious,• Perfectly paired with LAY'S Original Potato Chips,• Place this dip out at your next party,• No Artificial Flavors","Water, Sunflower Oil And/or Canola Oil, Whey Protein Concentrate, Modified Corn Starch, And Less Than 2% Of The Following: Salt, Monosodium Glutamate, Garlic Powder, Spices, Onion Powder, Natural Flavors, Sugar, Glucono Delta Lactone, Lactic Acid, Xanthan Gum, And Datem.","Best served chilled.,Refrigerate after opening.",Contains milk ingredients.,,,,,
Prego Traditional Pasta Sauce,$4.59,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f72c9476-f827-415d-ba7c-b66289d63fa7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16cebe40-59fc-44f8-908c-2945208086ad.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bf3293c7-1f5a-4969-bf41-82b286d6d069.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1f3559e5-897a-4d24-b359-ce64a1b858f8.jpg 4x","Be the hero at dinner with Prego® Traditional Pasta Sauce. Versatile and delicious, this classic red sauce features the rich, sweet taste of vine-ripened tomatoes balanced with flavorful herbs and seasonings, perfect for any recipe. This pasta sauce has a taste everyone loves and a thick texture that doesn’t water out, making it a perfect pairing with any pasta. Prego® pasta sauce is gluten free, vegan and made without artificial colors or added MSG for a spaghetti sauce you can feel good about. Top off any pasta with this Prego® Italian sauce for a quick, family-pleasing meal, or use it as a base for your favorite recipes. The tomato sauce jar top is easy to close and store in the refrigerator for leftovers. Give your family the taste everyone loves with Prego®.","Tomato Puree (water, Tomato Paste), Diced Tomatoes In Tomato Juice, Sugar, Contains Less Than 1% Of: Salt, Canola Oil, Dried Onions, Dried Garlic, Spices, Basil, Citric Acid, Onion Extract, Garlic Extract","Stove: Heat, Stirring Occasionally.",Do not purchase if safety button is up.,Gluten Free,,,,
Wrigley Extra Gum Peppermint Sugar Free Chewing Gum Single Pack Stick,$1.79,$2.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a0a060b-821e-421d-abdd-1c1b9f7d4935.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_042d0899-a311-43c9-a552-5967e68360d9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f18540cb-5ec5-42f6-aa95-654045225ba6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddcb7e55-62ea-44d6-bb98-c6196d177242.jpg 4x","Connections can happen anywhere. So get in your EXTRA Zone with EXTRA Peppermint Sugar Free Chewing Gum. EXTRA Chewing Gum is essential to have with you at all times to not only freshen your breath with long-lasting, invigorating peppermint flavor, but to keep you dedicated to those special moments.,Keep an EXTRA chewing gum pack in your car, back pocket, backpack, or tote bag. Keep minty EXTRA at your fingertips, because you never know when you need a refresh or engage in a refreshing moment.,Chewing away distractions and celebrate life's meaningful with EXTRA.,Add a pack of EXTRA Peppermint Sugar Free Chewing Gum to your cart now.,•Package includes a single pack of EXTRA Peppermint Sugar Free Chewing Gum,•Refreshing and delicious peppermint chewing gum offers long-lasting flavor to be shared with those around you for long-lasting connections,•Chew away distractions to enjoy life's little moments by chewing a stick of EXTRA sugarfree gum,•From Happy Hour to Study Sessions, unwrap a moment with EXTRA,•Take EXTRA along in your pocket, tote bag, backpack and briefcase, connection can happen any where","Sorbitol, Gum Base, Glycerol, Natural And Artificial Flavors, Hydrogenated Starch Hydrolysate; Less Than 2% Of: Aspartame, Mannitol, Acesulfame K, Soy Lecithin, Bht (to Maintain Freshness), Color (blue 1 Lake).",{},Phenylketonurics: contains phenylalanine.,,,,,
"Hershey's Cookies 'n' Creme Candy Bar, 1.55 oz",,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f5d8aca-8e34-41e2-b550-f5c04632a789.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46d22bcf-6251-498d-8f41-3cb2573da7f2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13be6d0b-8914-4400-ac77-c950badcc4a5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_baaa297c-3f83-4d6f-8bb2-f962ea353245.jpg 4x","There's happy, and then there's HERSHEY'S happy. HERSHEY'S Cookies 'n' Creme full size candy bars make life more delicious whether they're enjoyed alone or shared with loved ones. Delight your taste buds with two beloved flavors in one delectable treat. Crunchy chocolate cookie pieces combine with smooth white creme to offer delicious indulgence in every bite. This full size, kosher certified, individually wrapped candy bar offers a twist on the classic HERSHEY'S chocolate bar, and it's perfect for snacking moments throughout the day at home, at work and on the go. These HERSHEY'S candies are a well-loved treat for countless special and everyday occasions all year. Stuff Christmas stockings, fill Halloween trick-or-treat candy bowls, create Valentine's Day gift bags and stock Easter baskets with these tasty white creme treats. Keep a few on hand for guests and store some in your pantry for convenient snacking when the mood strikes. Looking to add some extra crunch to your favorite treats? You can sweeten up your best baked desserts with these bars by topping cupcakes, brownies, cookies and more with a section or two. Everyone is excited when they're reaching for HERSHEY'S Cookies 'n' Creme candy bars, and now you can be too!","Sugar, Vegetable Oil (palm Oil, Shea Oil, Sunflower Oil, Palm Kernel Oil, &/or Safflower Oil), Skim Milk, Enriched Wheat Flour (flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid), Corn Syrup Solids, Lactose (milk), Cocoa Processed With Alkali, Contains 2% Or Less Of: Whey (milk), High Fructose Corn Syrup, Chocolate, Lecithin (soy), Baking Soda, Salt, Pgpr, Natural & Artificial Flavor.",{},"Contains: milk, wheat, soy.",,,,,
"Baby Bottle Pop Original Candy Lollipops with Dipping Powder, Assorted Flavors, 1.1oz pop",,$3.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6fbca76d-6fac-4ec8-94c6-01457d1e48c6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a7c3005f-926f-47cc-bd62-2c4c3a0dce64.jpg 4x","For over two decades, Baby Bottle Pop has been one of kids' favorite candies – packed with the fun and silliness that makes being a kid so great. Now pick from one of five delicious kid-favorite flavors!,Each Baby Bottle Pop is a baby-bottle shaped lollipop and powder 2-in-1 candy that lets kids customize their flavor by dipping the sweet lollipop into delicious flavor-boosting powder. Just lick the lollipop top and dip, dunk or shake it with the sweet flavored powder to boost the taste to the next level of deliciousness and silliness.,Dip as much or as little as you want! And if you want to save some for later, pop on the plastic cap and take it on the go.,Pick from a mix of Strawberry, Blue Raspberry, Watermelon, Berry Blast and NEW Unicorn Glitterberry! Unicorn Glitterberry is the newest addiiton, a sweet pink-purple lollipop that comes with edible glitter powder with rainbow sparkles!,Baby Bottle Pop – Packed Full of Silliness! Great for kids, birthday parties, party favors, snacking, back to school, Halloween, Trick-or-Treat, Stocking Stuffers, Valentines, Easter basket fillers, and summer celebrations,Disclaimer: Not for children 3 and under.","Sugar, Dextrose, Glucose Syrup, Contains 2% Or Less Of Citric Acid, Buffered Lactic Acid, Natural & Artificial Flavors, Red 40 Lake, Red 40.",{},Not for children 3 and under.,,,,,
"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Cheddar Cheese",$3.49,$4.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_605a55fd-6f0b-40a3-83dc-beb6faea172a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed1a1ddd-ae05-4f66-8b40-75f0163976fd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_20ae32d1-3e67-4a52-94d6-f6fb27704203.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2b8ddc5-439d-49b3-8497-46020628deee.jpg 4x","What comes after the “pop” of a Pringles Cheddar Cheese can? The crisp, hit-the-spot taste of potato seasoned with cheesy flavor. Ingeniously shaped Pringles Cheddar Cheese potato crisps are insanely light, crispy, and never greasy. Perfect for sharing, these chips are bursting with over-the-top cheesy goodness. With the convenient, portable can, it’s easy to create your own snacking moments wherever, whenever; Grab a can as a pick-me-up for after school or pack into school lunch boxes. Bring these snacks to game time and pack a few for other Pringles fans. Stash this anytime snack in your work desk or pantry to enjoy anytime. Share Pringles at your next cookout or BBQ to turn up the flavor and fun among family and friends. Get your hands on Pringles Cheddar Cheese potato crisps for an irresistible taste experience that keeps you coming back, stack after stack.,• Crank up snacking moments with the outrageously delicious flavor and crispy shape of Pringles Cheddar Cheese potato crisps,• The original, stackable potato crisp chips seasoned with a craveable cheddar cheese flavor from edge to edge,• Always tasty, never greasy snacks; Kosher Dairy; Contains milk and wheat ingredients,• Enjoy these shareable size cans during game time, family movie night, barbeque, or as an anytime snack; The stackable snack options are endless,• Includes one, 5.5oz can of ready-to-eat Pringles Cheddar Cheese Potato Crisps; Packaged for freshness and great taste","Dried Potatoes, Vegetable Oil (corn, Cottonseed, High Oleic Soybean, And/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Contains 2% Or Less Of Whey, Salt, Monosodium Glutamate, Coconut Oil, Sugar, Natural Flavors, Onion Powder, Citric Acid, Cheddar Cheese (pasteurized Milk, Cheese Cultures, Salt, Enzymes), Blue Cheese (pasteurized Milk, Cheese Cultures, Salt, Enzymes), Buttermilk, Butter (cream, Salt), Lactic Acid, Nonfat Milk, Paprika Extract Color, Disodium Inosinate, Disodium Guanylate, Turmeric Extract Color, Yeast Extract, Autolyzed Yeast Extract, Wheat Starch",Ready to Eat,Contains milk and wheat ingredients.,,,,,
Slim Jim Giant Sized Original Smoked Snack Stick,$2.29,$2.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4be69e63-c54a-4b7b-93c2-efd68f7fa2aa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c512df9-c50c-4a61-ae7a-f205ddc038d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d783fbfc-ba2a-4776-b7f2-55aa4b378f6f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1956a103-2cd0-482d-8f06-86234d4ef3cf.jpg 4x","Experience intense, tabasco flavor with delicious Slim Jim Giant Sized Original Snack Sticks. Made with spicy beef, pork and chicken, these meat snack sticks contain no artificial flavors or colors for full meaty flavor everyone can love. Each meat stick serving is loaded with 6 grams of protein, ideal for protein snacks that kick hunger to the curb and leave you feeling satisfied. These individually wrapped snacks go where you go and are perfect as travel snacks, school snacks or anywhere meat snacks. Slim Jim Giant Sized Original Snack Sticks offer a bold and tasty way to take on the day. Each of the individual snacks is perfect for on-the-go snacking, so you are ready to hit back when savory cravings hit. Slim Jim keeps it interesting with a full line of beef sticks, snack sticks, pork rinds and jerky. Snap into a Slim Jim(R)!","Beef, Pork, Mechanically Separated Chicken, Water, Textured Soy Flour, Corn Syrup, Salt, Contains Less Than 2% Of: Natural Flavors, Dextrose, Paprika And Extractives Of Paprika, Hydrolyzed Soy Protein, Maltodextrin, Lactic Acid Starter Culture, Barley Malt Extract, Citric Acid, Soy Lecithin, Sodium Nitrite",{},Contains: soy.,,,,,
Ice Breakers Peppermint Sugar Free Chewing Gum,,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2aa02b15-2f7f-49ed-93e2-66d23e160c86.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d299a493-504c-4a79-8748-0618f92b776c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfa1db20-8995-497b-a96c-f5426d60fc71.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afccf78d-282c-4557-b048-7820406e26d9.jpg 4x","Invite a burst of freshness with ICE BREAKERS ICE CUBES peppermint flavored gum. Featured in a convenient 40-piece bottle, this minty flavored chewing gum offers a sugar free burst of invigorating flavor by your side anywhere you go. Take this convenient cube bottle anywhere you need a boost of freshness. This chewing gum is a quick and delicious satisfaction, that'll be your best friend during important moments in your life. Wherever the day takes you, these ADA accepted ICE BREAKERS ICE CUBES sugar free chewing gum pieces are made with xylitol and keeps your taste buds busy during meetings, after lunch, throughout movie nights and in the car. Feeling generous? With this 40-piece gum cube, it's easy to share this treat amongst friends, family and co-workers. Getting ready for a first date? Pop a chewing gum piece before the first hello! Need to wake up during long road trips? Get a burst of energy after the first chew. Display this vibrant cube near the candy dish at home or work to let guests, family members, friends and co-workers help themselves. They're sure to thank you for the long-lasting chewing gum treat. After all, it's just as good as a delectable minty dessert without any of the fuss.,• Contains one (1) 3.24-ounce, 40-piece cube bottle filled with ICE BREAKERS ICE CUBES Peppermint Flavored Sugar Free Chewing Gum,• ICE BREAKERS ICE CUBES chewing gum in a cube bottle perfect for keeping in a backpack, car cup holder, snack drawer at work or treat cabinet at home,• Sugar free, ADA accepted chewing gum made with xylitol and placed in a cube bottle for easy sharing and lasting freshness,• Enjoy sugar free chewing gum at birthday parties, anniversary dates and other events where fresh breath is a must,• A burst of delicious mint flavor in sugar free gum you'll want to keep chewing after snacking on your favorite Christmas, Valentine's Day, Easter or Halloween candy,• Bring mint flavored chewing gum with you to work meetings, presentations and networking events to ensure fresh breath and confidence all day","Xylitol, Gum Base, Maltitol Syrup, Mannitol, Contains 2% Or Less Of: Natural & Artificial Flavor, Maltodextrin, Maltitol, Lecithin (soy), Artificial Color Including Blue 1 Lake, Blue 1), Aspartame*, Modified Cornstarch, Gelatin, Acesulfame Potassium, Gum Acacia, Bht (to Maintain Freshness), Neotame, Sorbitol, Sucralose",{},Contains: soy.,,,,,
Jif Peanut Butter Spreads,$4.59,$5.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3aaaf40-dade-47fe-b671-ba8610e42263.jpeg 4x,"Spread the love! It’s easy to do with our Jif® Creamy Peanut Butter, full of that mouthwatering fresh roasted peanut taste you know the whole family enjoys. No other peanut butter will do, so it’s a no-brainer that you’ll enjoy this classic peanut butter taste paired with jelly or create your own show-stopper snack with a quick spread on veggies or fruit. Just one bite of this smooth, creamy peanut butter will remind you of your best childhood memories. From a brand that has been trusted for generations, Jif® Creamy Peanut Butter is That Jif’ing Good™, making it perfect for a variety of recipes from simple sandwiches to delightful baked goods, dolloped on celery, or just on its own in spoonfuls straight from the jar. Plus, this peanut butter is gluten free, contains no artificial preservatives and has 7g protein (7% DV) per serving (See Nutrition Information For Fat And Saturated Fat Content), so you’ll definitely want to keep the goodness going and stock up on this good stuff.","Roasted Peanuts, Sugar, Contains 2% Or Less Of: Molasses, Fully Hydrogenated Vegetable Oils (rapeseed And Soybean), Mono And Diglycerides, Salt",Ready to eat.,Contains Peanut Ingredients.,Gluten Free,,,,
Barilla Spaghetti - Non-GMO Pasta Made with Durum Wheat Semolina & Kosher Certified,$2.69,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_931b003e-7bf2-4ecb-96de-f123d7ce448c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac95e38c-c94c-4f11-a051-26ed4caf3c86.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c50e069b-d9af-4c33-b242-6dc58ba15e45.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb652181-91f2-49d7-b629-3cb609175758.png 4x","Spaghetti is the most popular pasta shape in Italy, commonly used with tomato sauces, fresh vegetables, or fish. Barilla Spaghetti pasta is made with non-GMO ingredients.,Barilla is a family-owned Italian company making pasta since 1877. Barilla brings you the best pasta made with care and the highest quality ingredients; Barilla works to bring you the best pasta that cooks perfectly al dente every time. Our spaghetti pasta is made from the finest durum wheat and is non-GMO project verified and Kosher Certified. Perfect for pairing with your favorite pasta sauce.,Get inspired with Barilla! Enjoy the full range of Barilla pasta and pasta sauces, including Ready Pasta, Protein+ Pasta, Whole Grain Pasta, Gluten Free Pasta, Chickpea Pasta and Red Lentil Pasta.,• SPAGHETTI PASTA: Give Barilla Spaghetti a twirl! No doubt it's the most fun pasta to eat and its delicious texture will please the whole family,• BARILLA PASTA: Made with durum wheat to deliver great taste and perfect ""al dente"" texture every time,• CREATE DELICIOUS PASTA MEALS: Pairs well with just about any type of pasta sauce or spaghetti sauce: from a simple tomato sauce to a hearty meat sauce, a chunky vegetable sauce or a creamy carbonara sauce,• COOKS TO PERFECTION EVERY TIME: Perfect pasta in 10-11 minutes,• NON-GMO & KOSHER CERTIFIED PASTA: Barilla Spaghetti pasta is crafted with the highest quality Non-GMO ingredients and is kosher certified","Semolina (wheat), Durum Wheat Flour, Vitamins/minerals: Vitamin B3 (niacin), Iron (ferrous Sulfate), Vitamin B1 (thiamine Mononitrate), Vitamin B2 (riboflavin), Folic Acid","1. Bring 4 - 6 quarts of water to a rolling boil, add salt to taste.,2. Add contents of package to boiling water. Stir gently.,3. Return to a boil. For authentic ""al dente"" pasta, boil uncovered, stirring occasionally for 10 minutes. For more tender pasta, boil an additional 1 minute.,4. Remove from heat. Drain well.,5. Serve immediately with your favorite Barilla pasta sauce.",Contains wheat ingredients.,,,,,
Orbit Sugar-Free Peppermint Gum,$1.79,$2.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5eacd6b-3aa8-4b4d-ac52-9a6732b42122.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5777bf75-82aa-4447-bb86-8d9cb9daca90.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e38f5d1f-4517-4e81-a8b9-901a53222468.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f5be836-7b7c-4355-abe2-8833c3c2ceb3.jpg 4x","With Orbit Peppermint Sugarfree Gum, there's no need to second-guess; you have the confidence to show the world what you're made of. The delicious Peppermint flavor gives you a clean, fresh-mouth feeling so you're ready to seize your moment when it comes. Boost your confidence with a clean mouth and fresh breath. Each pack of Orbit Peppermint Gum contains fourteen individually wrapped pieces, so you can enjoy bold, minty flavor whenever you need. Orbit Peppermint Sugarfree Chewing Gum is made with a deliciously cool minty flavor, so you can have that just-brushed clean feeling anytime. Keep a pack in your pocket or your desk so you'll always have breath-freshening flavor on hand. Chew this delicious mint-flavored gum to help stay focused while studying for big tests. Decorate gift baskets and party favors with long-lasting flavor. Be sure to stock up your car or pantry at home with this delicious sugarfree gum. Orbit Peppermint Sugarfree Gum is also great for Christmas stockings or as a fun birthday gift. With Orbit Gum, it's your time to shine.,•ORBIT Peppermint Sugarfree Gum in a 14-count pack,•Make the most of the moment with the clean and fresh mouth feeling of ORBIT Gum,•Confidence, like the classic, bold flavor of ORBIT Peppermint Gum, never goes out of style,•A sweet treat for 5 calories or less per piece,•ORBIT Gum has received the American Dental Association Seal of Acceptance in recognition of the oral-care benefits of chewing sugar-free gum","Sorbitol, Gum Base, Glycerol, Mannitol, Natural And Artificial Flavors; Less Than 2% Of: Hydrogenated Starch,Hydrolysate, Aspartame, Acesulfame K, Soy Lecithin, Xylitol, Bht (To Maintain Freshness).",,Phenylketonurics: contains phenylalanine. Allergy information: contains soy lecithin.,,,,,
"Reese's Big Cup Milk Chocolate King Size Peanut Butter Cups, Candy Pack, 2.8 oz",,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9793d4e9-14ae-4916-bc96-fe37348d12a2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d47cf28-390e-43b1-a1e5-213224491ab3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5a50923d-2731-4994-9266-611cef8ba383.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b1519a1-86a3-402f-aca4-6223506d0e9a.jpg 4x","Name a more iconic duo. Everyone will wait... You can't beat this old fashioned, match made in heaven when it comes to creamy milk chocolate combined with delicious peanut butter. Get ready to taste perfection! REESE'S Big Cup milk chocolate peanut butter cups are ready to be your go-to snack. Bring this king size pack along to the next sporting event as a concession treat, as movie marathon snacks or game night prizes. Store them in your pantry for an anytime snack or slip a pack into lunch boxes and purses for a midday surprise. REESE'S Big Cup milk chocolate peanut butter cups are a sweet delight that you can bite, break, dunk or nibble on. Yes! Dunk them into a cold glass of milk, a cup of hot chocolate or your coffee to experience the melty goodness. Put a unique twist on classic baked goods like cookies, cupcakes and ice cream decadents with whole, halved or crumbled REESE'S Big Cup candy. These peanut butter treats are kosher certified and gluten free candies that go well with almost everything, especially during your holiday celebrations. Add them to Christmas stockings, Halloween candy bowls, Valentine's Day gift bags and Easter baskets. Just don't forget to save a few for yourself!","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Milk Fat, Lactose, Lecithin (soy), Pgpr), Peanuts, Sugar, Dextrose Salt, Tbhq & Citric Acid (to Maintain Reshness).",{},"Contains: peanuts, milk, soy.",,,,,
"YORK Dark Chocolate Peppermint Patties, Candy Pack, 1.4 oz",$1.19,$2.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ebad683-264f-4760-b8df-c28fa878ecd7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9711b7c8-ae5d-458e-9500-ded203ff7a4d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cbcd325e-b663-433a-8b25-c8b76653cf69.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67c15a07-62cb-4097-80e3-2baac8b3eb53.jpg 4x","A sweet treat made with 70 percent less fat? Sign us up! YORK dark chocolate covered peppermint patties are a tiny but mighty snack that'll excite your taste buds with rich dark chocolate finished with a minty kick to keep you feeling ready for the day ahead. Featured in a convenient pack, you can bring this tasty candy with you anywhere and everywhere! This pack is perfect for special occasions like movie marathons, work celebrations and family get-togethers. Put this minty, dark chocolate candy into a dish so everyone can reach in and grab YORK peppermint patties treats of their own. YORK dark chocolate peppermint candy is also fun to bake with! Wrap your favorite cookie dough around the chocolate peppermint candy, bake in the oven, then experience a minty fresh cookie created by yours truly. You can also hand out scrumptious YORK dark chocolate peppermint patties candies during the holidays. Pack Easter eggs and baskets, stuff Christmas stockings, fill Halloween candy bowls and Valentine's Day gift bags with a minty-fresh treat everyone is sure to love. Even better, these minty delights covered in dark chocolate are gluten free and kosher certified, making them perfect for sharing with those who love a rich, refreshing snack.","Sugar, Corn Syrup, Chocolate, Cocoa, Invert Sugar, Milk Fat, Egg Whites, Cocoa Butter, Lecithin (soy), Oil Of Peppermint, Pgpr, Natural Flavor.",{},"Contains: milk, eggs, soy",Gluten Free,,,,
Nutella Chocolate Hazelnut Spread,$4.59,$8.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ef2fd7d-f8ab-46e7-994e-92f02ef28476.jpeg 4x,"Wake up to wow with the rich, creamy hazelnut spread that you know and love, Nutella. The original hazelnut and cocoa spread that has been on the breakfast tables of millions worldwide, spreading good moments to start the day for more than 50 years. Nutella is famous for its authentic hazelnut and cocoa taste, made even more irresistible by its unique creaminess. Add it to the breakfast table and add a teaspoon of Nutella to your pancakes, waffles or toast. This irresistible spread also makes the perfect hazelnut treat with coffee, fruit or a topping on your favorite snack. Simply spread Nutella on top of a croissant, waffle, crêpe, pancake or piece of toast and discover a new way to enjoy the delectable hazelnut spread. You can also transform your favorite recipes into something extraordinary by adding Nutella to your baking. Bring the taste of wow to breakfast, brunch and recipes with Nutella.,• 13-ounce jar of Nutella, the Original Hazelnut Spread,• Rich, creamy hazelnut spread with cocoa,• Breakfast or brunch topping for pancakes, waffles and more,• Add Nutella to recipes like cupcakes, muffins, cookies and more,• Add cheer to your holiday cooking and your holiday gift baskets","Sugar, Palm Oil, Hazelnuts, Skim Milk, Cocoa, Lecithin As Emulsifier, Vanillin: An Artificial Flavor.","For best results, do not refrigerate or microwave.","Contains tree nuts (hazelnuts), milk, soy.",Gluten Free,,,,
Campbell's Cream of Mushroom Soup,,$3.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16162520-7d07-4232-9fae-7f98344216bc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f24c470d-ab7c-4373-8966-3360ca9ba003.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe39ca87-7fec-418a-ab88-db83782b0067.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5caf438-1e56-432f-a72c-00f531ecdb63.jpg 4x","Add rich, creamy flavor to your favorite dishes with Campbell's® Condensed Cream of Mushroom Soup. This vegetarian soup is crafted with mushrooms, garlic and farm-fresh cream to provide a deliciously smooth foundation to any recipe. Use it as the hero ingredient in recipes like Green Bean Casserole and Swedish Meatballs, or substitute it for roux or bechamel as a sauce starter. Campbell’s® convenient canned soup is a year-round pantry staple and a must-have for creating something quick and easy. It's also delicious on its own, topped with fresh herbs or a drizzle of olive oil, or enjoyed with a sandwich or salad. Simply mix the condensed soup with 1 can of water or milk and microwave on high for 3 to 3.5 minutes in a covered microwave-safe bowl, or heat in a pot on the stove, stirring occasionally. Each 10.5 oz recyclable can contains about 2.5 servings of microwave soup and features a non-BPA lining. From Cream of Mushroom to Chicken Noodle and everything in between, Campbell's® makes delicious soups in flavors your family knows and loves, with quality, farm-grown ingredients in every can. M'm! M'm! Good!®","Water, Mushrooms, Vegetable Oil (corn, Canola, And/or Soybean), Modified Cornstarch, Wheat Flour, Salt, Cream, Whey, Soy Protein Concentrate, Monosodium Glutamate, Yeast Extract, Dried Garlic, Natural Flavoring","Mix Soup + 1 Can Water (Or For Richer Soup 1 Can Milk Or ½ Milk And ½ Water),Microwave On High 3 To 3 1/2 Min.* In Covered Microwaveable Bowl. Let Stand For 1 Min. Carefully,Remove And Stir.,Stove: Heat, Stirring Occasionally.,*Microwaves Vary; Time Is Approximate.","Contains: wheat, milk, soy.",,,,,
