Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,Peanut Free,Treenut Free,"Enjoy the delicious taste of chorizo with El Burrito Organic Soyrizo Meatless Soy Chorizo. Made with non-GMO soybeans and free of cholesterol and preservatives, this vegan product has 60% less fat than traditional chorizo. The seasoning blend includes spices, chile pepper, onion powder, garlic powder, and sea salt for a flavor that's hard to resist. This gluten-free and kosher product is also organic and vegetarian. Quick fry on high heat after removing the casing and savor the rich aroma. With only 90 calories per serving, this product is a healthy addition to your meal. Get yours today through Instacart for same-day delivery or pickup!","Craving a meat alternative that is both delicious and healthy? Look no further than Upton's Naturals Lightly Seasoned Shredded Jackfruit. This vegan and vegetarian option is made with only natural ingredients, including organic jackfruit, garlic, and onion. Plus, it's gluten-free and low in fat for guilt-free indulgence. With five grams of fiber per serving, this shredded jackfruit is perfect for adding to tacos or salads for a filling meal. Each container has two servings so you can enjoy it now and later. Order it today on Instacart for same-day delivery or pickup!",Egg Free,Fish Free,Wheat Free,"For a protein-packed meal that's sure to satisfy, try Wildwood Grilling Tofu, Organic, High Protein, Super Firm. Made with organic soybeans and gluten-free ingredients like magnesium chloride and calcium sulfate, this tofu is super firm and perfect for grilling or pan-frying. With 14 grams of protein per serving and only 130 calories, it's a great choice for vegetarians and vegans looking to boost their protein intake. Keep it refrigerated as it's perishable. You'll love the taste and texture of this organic tofu in your favorite recipes. Get it delivered to your doorstep or pick it up at a store with Instacart same-day delivery or pickup.",Milk Free
"Impossible Sausage Made From Plants, Bratwurst, 4 Links",,$13.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9fa317e9-33ae-47d3-a7e9-4ed63d322291.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a5e436a-9843-41b6-b213-81b849e9b88a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f24dc7c1-3513-4c82-8058-472b8aaa6b74.png 4x","The star of summer BBQs and every tailgate ever is now even more awesome thanks to plants. Before you ask…yes, Impossible™ Bratwurst has a snap, sizzle and flavor you’ll love, plus 13 g of protein, 5 g of dietary fiber and 0 mg cholesterol per super-flavorful link. Bring on your brat cooking method of choice—and if you don’t have one, just ask your uncle or grandpa, or here’s a few ideas: sear in a pan or in the oven or UPDATE: your uncle says you absolutely have to simmer them in beer and onions, then toss on the grill. But first, he wants you to look for the red package in the refrigerated case or hit Add to Cart.,• Meat! Made from plants farm-grown from the soil in warm sunshine,• 13 g of protein and 5 g fiber in every juicy link,• 0 mg of cholesterol,• No added nitrites or nitrates,• Gluten-free,• Awesome snap, sizzle, and flavor. Yeah, flex on everyone at the tailgate,• Every time you eat an Impossible Bratwurst link instead of the animal version, you use 79% less water and generate 71% less GHG emissions (Impossible Foods LCA, ISO compliant; EY, 2019)","Water, Soy Protein Concentrate, Sunflower Oil, Coconut Oil, 2% Or Less Of: Methylcellulose, Salt, Yeast Extract, Vegetal Casing (sodium Alginate, Konjac Gum, Guar Gum), Cultured Dextrose, Food Starch Modified, Dextrose, Natural Flavors, Citric Acid, White Pepper, Garlic Powder, Spices, Marjoram, Soy Leghemoglobin, Mixed Tocopherols (antioxidant), L-tryptophan, Soy Protein Isolate Vitamins & Minerals: Zinc Gluconate, Niacin (vitamin B3), Pyridoxine Hydrochloride (vitamin B6), Riboflavin (vitamin B2), Vitamin B12","Charcoal or gas grill:,1. Preheat grill.,2. Over moderate direct heat, grill links for about 8-10 minutes, turning approximately every 2 minutes. For best results, brown all sides.,Skillet or griddle:,1. Preheat a nonstick skillet or griddle to medium heat. If not using a nonstick skillet, use about 1 tbsp of oil.,2. Cook links for about 10-12 minutes, turning approximately every 2 minutes. For best results, brown all sides.,Conventional oven:,1. Preheat oven to 375°F.,2. Place links on a sheet pan lined with parchment paper or aluminum foil.,3. Cook for about 16 minutes, turning halfway through.,Fully cooked when interior is 160°F.",Contains: soy,Gluten Free,,,,,,,,,,,
Actual Veggies Mushroom Quinoa Veggie Burgers,,"$9.99Buy 1, get 1 50% off", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_746d97ce-fd78-4f56-b83c-3bc856e664ff.png 4x,,"White Button Mushroom, Oat, Carrot, Black Bean, Onion, Chickpea Flour, Potato, Spinach, White Quinoa, Apple Cider Vinegar, Sunflower Seed, Ovata Seed, Avocado Oil, Potato Starch, Hemp Heart, Shiitake Mushroom, Spice Blend (kosher Salt, Garlic Powder, Black Pepper, Rosemary, Sage)","Safe Handling Instructions: Some raw products may contain bacteria that can cause illness if mishandled, or cooked improperly. Keep frozen. Thaw in refrigerator. Keep raw product separate from other foods. Wash working surfaces (including cutting boards), utensils, and hands after touching raw product. Cook thoroughly to an internal temperature of 165 degrees. Keep hot foods hot. Refrigerate leftovers or discard.,Recommended Cooking Instructions: Skillet or Grill: Pre-heat non-stick pan or grill with a light amount of oil over medium to high heat and cook each side for 5-6 minutes. Oven: Pre-heat oven to 425 degrees and cook for 14-15 minutes. Air-Fryer: Pre-heat to 400 degrees F and cook each side for 6-7 minutes.,Toppings: Try adding garlic aioli, sauteed onion & arugula.,Keep frozen.","Safe handling instructions:,some raw products may contain bacteria that can cause illness if mishandled, or cooked improperly.,keep refrigerated or frozen. Thaw in refrigerator.,keep raw product separate from other foods. Wash working surfaces (including cutting boards), utensils, and hands after touching raw product.,cook thoroughly to an internal temperature of 165°.,keep hot foods hot. Refrigerate leftovers or discard.",Gluten Free,,,,,,,,,,,
"House Foods Tofu, Shirataki, Spaghetti",,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b9aaf2a9-a722-4959-959a-ecdd81e42230.png 4x,"Spaghetti shaped noodle substitute. 20 calories; 3 g carbs; 2 g fiber per serving. No cholesterol, no sugar, gluten-free, vegan, guilt-free. Perishable. Do not freeze. Hungry girl approved. This product has been deemed an excellent guilt-free noodle substitute by Hungry Girl. Use it in soups, stir-fries, casseroles and pasta dishes. No preservatives. This product is made from soybeans and yam flour that were not genetically engineered.","Water, Soybeans, Yam Flour, Calcium Hydroxide, Glucono Delta Lactone, Calcium Sulfate",Drain and rinse thoroughly. Parboil for 2-3 mins. (or microwave for 1 min.) to reduce the authentic aroma. Dry very well and use as you would regular cooked noodle. Keep refrigerated.,,Gluten Free,,,,,,,,,,,
"Trans-Ocean Imitation Lobster, Lobster Classic, Chunk Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afd43973-6e04-4d38-9422-5982efd869f5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c266de50-6395-4f83-ab06-7ab166ad0acb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17b9a4df-9ab4-479e-90c5-9f7e8901185b.png 4x","Fully cooked. Pasteurized. Ready-to-eat. Healthy, great-tasting seafood made with wild Alaska pollock. Lobster classic is gluten-free, heart healthy and sustainable. It is fully cooked with a mild flavor that is delicious and easy to use in many recipes. Heart-Check food certification does not apply to recipes unless expressly stated. Alaska genuine pollock. Certified sustainable seafood MSC. www.msc.org. This seafood has met the MSC’s global standard for sustainability. www.msc.org.,• Heart Healthy,• Fat Free/No Fat,• Gluten Free","Alaska Pollock (msc Certified), Water, Pea Starch, Sorbitol, Sugar, Modified Tapioca Starch, Contains 2% Or Less Of: Lobster Meat, Natural And Artificial Flavor (extracts Of Lobster, Blue Crab, Snow Crab, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Egg Whites, Sea Salt, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,Tear here,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date and kept frozen for up to 9 months.","Contains: fish (alaska pollock) crustacean shellfish (lobster, blue crab, snow crab), egg.",,,,,,,,,,,,
"Beyond Meat Beyond Breakfast Sausage, Plant-Based Breakfast Links",,$7.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2d5790b7-bac2-4d54-a282-c67106f15f85.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d24c1cb-7279-48cf-8262-a51a7bd792e6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dff1b1eb-bde8-4a42-bae3-e0287b65902b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6313e59-6290-4c10-872c-f4c137a05f88.jpg 4x","A better breakfast has arrived. These hearty plant-based breakfast sausage links are juicy, nutritious, and a delicious start to your day. They are a good source of protein (8g per serving), have no cholesterol and are lower in sodium (40% less than a leading brand of pork sausage). Made from simple plant-based ingredients - likes peas and brown rice - our Beyond Breakfast Sausage Links have no GMOs, soy or gluten. Each pack contains 8 plant-based links that can be enjoyed on the side, crumbled into eggs, folded into a burrito and beyond. You do the rise, these do the shine. See nutrition panel for fat, sat fat and sodium content.","Water, Pea Protein*, Expeller-Pressed Canola Oil, Refined Coconut Oil, Calcium Alginate Casing, Natural Flavors, Yeast, Rice Protein, Chicory Root Fiber, Methylcellulose, Salt, Tapioca Syrup Solids, Tapioca Dextrose, Apple Extract, Psyllium Husk Fiber, Yeast Extract, Potassium Chloride, Pomegranate Extract, Vinegar, Lemon Juice Concentrate, Pea Fiber, Sunflower Lecithin, Beet Powder (for color), Spices, Carrot.","Safe Handling Instructions: Some raw products may contain bacteria that can cause illness if mishandled or cooked improperly. Keep frozen. Keep raw product separate from other foods. Wash working surfaces (including cutting boards, utensils, and hands after touching raw product. Cook thoroughly. Keep hot foods hot. Refrigerate leftovers or discard.,Cook Method: Skillet: Heat a large non-stick skillet over medium-low to medium heat. Add links and cook for 6-7 minutes, burning frequently. Oven: Pre-heat oven to 350 degrees F. Place links on an aluminum foil lined baking sheet. Bake for 7-8 minutes; turning links halfway through. Cook time may vary depending on equipment. Always cook to an internal temperature of 165 degrees F. Not recommended microwaving, boiling or deep frying.,Perishable: keep refrigerated. Storage & Prep: Keep refrigerated and use within 3 days of opening. Do not refreeze. Cook thoroughly before. Serving. If purchased frozen, thaw in refrigerator before cooking. Consume within 7 days of thawing.,If purchased refrigerated, best before: Retailer: Apply refrigerated best before date.",*Peas are legumes. People with severe allergies to legumes like peanuts should be cautious when introducing pea protein into their diet because of the possibility of a pea allergy. Contains no peanuts or tree nuts.,"Gluten Free,Peanut Free,Soy Free,Treenut Free",,,,,,,,,,,
Lightlife Marinated Tempeh Strips,,$5.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d2579e7-4b98-49b0-91a1-461082a66f96.png 4x,"Lightlife® Organic Smoky Bacon Tempeh Strips are a versatile plant-based protein source for vegans and flexitarians alike. Made with Non-GMO and vegan ingredients, our savory Smoky Tempeh strips have a deep, smoky flavor that naturally enhances a variety of recipes and works well as a healthier alternative to bacon. Whether you fry, sauté, or bake it, the protein-rich tempeh strips add balanced flavor to grain bowls, rice dishes, salads, sandwiches, and more. For over 40 years, the Lightlife® brand has been committed to creating delicious and nutritious plant-based meat alternatives and looking for ways to improve the impact we have on the planet.","Water, Cultured Organic Soybeans (organic Soybeans, Lactic Acid From Plant Sources), Organic Tamari Soy Sauce (water, Organic Soybeans, Salt, Organic Alcohol), Organic Cider Vinegar, Organic Cane Sugar, Natural Smoke Flavor, Sea Salt, Less Than 2% Of Organic Onion Powder, Organic Brown Rice, Organic Beet Powder (color), Organic Spices. Xanthan Gum.","To Cook: Pan fry in a moderate amount of hot oil until crispy around edges.,Keep refrigerated.,For Food Safety: Will keep for 5-7 days tightly wrapped and refrigerated after opening.",Contains: soy.,,,,,,,,,,,,
"Morinaga Mori-Nu Tofu, Firm, Silken",,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_069f45b3-fa44-4f16-a9e4-0923995f6fa2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a6062db-6804-4b19-99b6-3a63218c0313.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16df20bf-06ac-4eb6-9cb0-12e299395a68.png 4x","For entrees, salads & desserts. What makes our tofu special: No refrigeration until opened; No preservatives; Award-winning aseptic package; Long shelf life. Soft firm extra firm. Good alternative to meat, eggs, and dairy in cooking. Please recycle.,• Gluten Free,• Low Fat,• Dairy Free,• Kosher,• Vegan,• No preservatives. Free of saturated fat.","Water, Soybeans, Soy Protein Isolate, Glucono-delta- Lactone, Calcium Chloride","Keep in a cool, dry place. Refrigerate unused portions in an airtight container and use within 2 days.,1. Unfold flaps and cut along dotted line. 2. Pull tab up and cut along dotted line. 3. Turn package over and repeat.",Allergy information: contains soy,Gluten Free,,,,,,,,,,,
Impossible Spicy Plant Based Sausage Links,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f602eb9-b42e-4362-8889-430b600682cd.png 4x,"Fully-seasoned and unbelievably meaty, the Impossible™ Spicy Sausage link delivers a chili and cayenne kick to elevate all your favorite meaty sausage dishes—add to sandos, pastas, soups, or simply serve in its spicy, naked glory with nothing but a fork. Yeah, it’s made from amazing plants grown on lovely, sunny farms, but that won’t even cross your mind, because even though it’s nutrient-packed and better for the planet, our spicy sausage link still tastes like an awesomely bad decision. Look for the red package in the freezer section or simply hit Add to Cart!,• Meat! Made from plants farm-grown in the sunshine,• Delivers delicious flavor and that sausage-y snap and sizzle,• 14 g protein and 5 g dietary fiber in every juicy link,• 0 mg of cholesterol,• No added nitrites or nitrates,• Every time you eat an Impossible Spicy Sausage link instead of the animal version, you use 79% less water and generate 71% less GHG emissions (Impossible Foods LCA, ISO compliant; EY, 2019)","Water, Soy Protein Concentrate, Sunflower Oil, Coconut Oil, 2% Or Less Of: Methylcellulose, Salt, Yeast Extract, Vegetal Casing (sodium Alginate, Konjac Gum, Guar Gum), Cultured Dextrose, Food Starch Modified, Dextrose, Natural Flavors, Citric Acid, Paprika, Spices, Black Pepper, Chili Pepper, Coriander, Red Pepper, Garlic Powder, Onion Powder, Soy Leghemoglobin, Mixed Tocopherols (antioxidant), L-tryptophan, Soy Protein Isolate Vitamins & Minerals: Zinc Gluconate, Niacin (vitamin B3), Pyridoxine Hydrochloride (vitamin B6), Riboflavin (vitamin B2), Vitamin B12","Get Cookin'!: For best results, cook from thawed. Charcoal or Gas Grill: Preheat grill to Moderate heat. about 8-10 minutes or to desired doneness, turning approximately every 2 minutes. For best results, brown all sides. Skillet or Griddle: Preheat nonstick skillet or griddle to Medium heat. If not using nonstick skillet, use about 1 tbsp of oil. Cook links for 2 minutes. For best results, brown all sides For all Preparation Methods: Product is fully baked when interior reaches 160 degrees F. Appliances may vary. Cooking times are approximate.,Perishable, keep refrigerated or frozen. If purchased refrigerated, refer to use-by date applied by merchandiser. If purchased frozen, consume before best-before date. Thaw unopened in refrigerator before cooking.",Contains: soy,Gluten Free,,,,,,,,,,,
"Tofurky Deli Slices, Smoked Ham Style, Plant-Based",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b291185-db02-4fbe-975c-ac339645a07d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3a8488f-5139-47a0-9455-0bd73100980b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90513bb2-0bea-4047-b62a-99957f630218.png 4x","Pig out, hold the pig. Our smoked ham is a winning sandwich stuffer. It's also brilliant in a benedict. Sandwich fanatics, we get you. Dreamers of crusty bread, crunchy pickles and drippy dressing. You're makers of awesome, we celebrate your daily. Pickle's 'plus one'. These slices are ready to eat out of the pack cold or heated. Friendliest food on the plate. Good food is kind to people, animals, the environment, and especially tastebuds. That's exactly the kind of food we've been making at Tofurky for more than 35 years. Recycle it. Certified B Corporation.","Water, Vital Wheat Gluten, Tofu (water, Soybeans, Magnesium Chloride, Calcium Chloride), Expeller Pressed Canola Oil, Contains Less Than 2% Of Granulated Garlic, Sea Salt, Spices, Cane Sugar, Natural Flavors, Natural Smoke Flavor, Color (lycopene, Purple Carrot Juice), Oat Fiber, Carrageenan, Dextrose, Konjac, Potassium Chloride, Xanthan Gum.",Keep refrigerated / ok to freeze.,"Contains: soy, wheat.",,,,,,,,,,,,
"Nasoya Tofu Baked, Teriyaki",,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6bf22e29-f960-4710-af77-3f87f24f9f6f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9e1b5d9-9ea2-480c-87e0-cb0cd73dcfb9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc84f69f-b201-4bd5-b32a-731ba248e4ea.png 4x",Ready to eat.,"Organic Tofu (water, Organic Soybeans, Less Than 2% Of Magnesium Chloride, Calcium Sulfate), Organic Tamari Soy Sauce (water, Organic Soybeans, Salt, Organic Alcohol), Organic Sugar, Contains 2% Or Less Of Water, Organic Agave Syrup, Organic Garlic Powder, Organic Apple Cider Vinegar, Salt, Organic Onion Powder, Natural Flavors, Organic Caramel Color, Organic Ginger Powder, Organic Natural Flavor (sesame)",Perishable. Keep refrigerated.,Contains: soy.,Gluten Free,,,,,,,,,,,
Impossible Plant-Based Beef Lite,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a76db3f2-5751-4c7e-93e3-8eab758b726a.png 4x,"Meat obsessed but want to eat healthier? This product totally gets you. Impossible™ Lite Ground Beef made from plants is the heart-healthy* (but still deliciously meaty) beef that fits perfectly into any meat-craver’s repertoire. It cooks, sizzles and tastes like animal ground beef, but with 21 g protein, 6 g fiber and 0 mg cholesterol per serving. Look for it in the refrigerated section or just hit Add to Cart!,(*Diets low in saturated fat and cholesterol, and as low as possible in trans fat, may reduce the risk of heart disease.),• Meat! Made from plants farm-grown from the soil of the Earth,• It’s amazingly delicious beef that’s heart-healthy,• 21 g of protein and 6 g of fiber per serving,• Makes delicious burgers, stir-fries, pasta sauce & any other meat dish you’re thinking of right now,• No cholesterol,• Gluten-free,• Way better for the planet","Water, Soy Protein Concentrate, Sunflower Oil, Natural Flavors, 2% Or Less Of: Methylcellulose, Cultured Dextrose, Yeast Extract, Food Starch Modified, Dextrose, Coconut Oil, Soy Leghemoglobin, Salt, Mixed Tocopherols (antioxidant), L-tryptophan, Onion Powder, Garlic Powder, Spices, Soy Protein Isolate, Dried Yeast, Vitamins And Minerals (zinc Gluconate, Niacin (vitamin B3), Thiamine Hydrochloride (vitamin B1), Pyridoxine Hydrochloride (vitamin B6), Riboflavin (vitamin B2), Vitamin B12).","For best results, cook from thawed using a non-stick pan. Product is fully cooked when interior reaches 160 degrees F.,Perishable, keep refrigerated or frozen.,If purchased refrigerated, refer use-by date applied by merchandiser. If purchased frozen, consume before best-before date. Thaw unopened in refrigerator before cooking.",Contains: soy,Gluten Free,,,,,,,,,,,
House Foods Organic Extra Firm Tofu,,$3.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_edd287e7-e181-431d-920c-8b389ce9b51c.png 4x,"Good source of protein. USDA organic. Pasteurized with double cooling system for premium quality. This tofu is made from soybeans that were not genetically engineered. Perishable. No preservatives. Gluten free. Certified organic by QAI, Quality Assurance International.","Water, Organic Soybeans, Calcium Sulfate, Calcium Chloride.",Keep refrigerated. Store in water.,,Gluten Free,,,,,,,,,,,
El Burrito Soyrizo,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_607372ff-6fc8-4819-95dd-6fa5ed26af23.png 4x,,"Water, Organic Textured Soy Protein (organic Soy Flour), Organic Distilled Vinegar, Organic Seasoning (organic Chile Pepper, Organic Spices, Salt, Organic Paprika, Organic Dextrose, Organic Ancho Chile, Organic Onion Powder, Organic Garlic Powder, Sea Salt, Natural Extractives Of Paprika), Organic Soybean Oil, Organic Caramel Color, Sea Salt, Xanthan Gum, Natural Extractives Of Paprika (for Color)",Perishable. Keep refrigerated. Remove casing before cooking. Quick fry - High heat. See inside label for complete cooking instructions.,Contains soy.,Gluten Free,,,,,,,,,,,
"Nasoya Tofu, Extra Firm, Organic, Two Pack",,$4.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dcaf582a-f39f-44f1-9f07-e912a81f7e75.jpeg 4x,"No.1 America's selling Tofu brand (based on sales revenue, Nielsen's tofu category). Simple ingredients. Free of anti-foaming chemicals. Eat one now. Save one for later. Convenient two pack.","Water, Organic Whole Soybeans, Nigari (sea Water Extract), Calcium Sulfate.","Pasteurized, perishable. Keep refrigerated. Unused Portion: add water and store covered in refrigerator. Change water daily; use within 5 days.",Contains: Soy.,Gluten Free,,,,,,,,,,,
Meati Classic Steaks Mushroom Root Protein 2 Pack,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_81a34d06-25f4-4a16-9ae3-5ad02079884c.png 4x,"Clean, Nutritious, Minimally Processed and Delicious. Meati Foods builds Good Energy® from the ground up by working closely with Mother Nature to cultivate a complete protein that’s been at the root of our living world for millennia.,Deliciously juicy and ready to sear — the perfect base for whatever top-secret spice rub or marinade you usually go for.,• Clean and minimally processed,• 95% MushroomRoot™,• Complete protein and excellent source of fiber,• Equally delicious as an ingredient or a simple, whole cut!","Mushroom Root (mycelium), Less Than 2% Of: Salt, Natural Flavor, Fruit Juice for Color, Oat Fiber, Vegetable Juice for Color, Lycopene for Color.","How to Cook: 1. Season with salt, pepper and a thin coating of oil. 2. Pre-heat a non-stick skillet or grill to medium heat with 1 tbsp oil. 3. Grill (22 minutes if frozen, 12 if thawed) or saute (13 if frozen, 7 if thawed). 4. Flip every 2 minutes until outside is browned and internal temperature is 165 degrees F. 5. Remove, let rest for several minutes, and enjoy! Keep refrigerated and use within 2 days of opening. Cook thoroughly before serving. If purchased frozen, thaw in refrigerator before cooking. Consume within 15 days of thawing. Do not refreeze once thawed or cooked.","Avoid if sensitive to Fungi such as Mushroom, Mold, or Yeast.,Keep refrigerated and use within 2 days of opening. Cook thoroughly before serving. If purchased frozen, thaw in refrigerator before cooking. Consume within 15 days of thawing. Do not refreeze once thawed or cooked.",Gluten Free,,,,,,,,,,,
"Lightlife Sausage, Plant-Based, Ground",,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c95b6e4-4908-40ac-9638-afc638b3c988.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e5fa7172-6909-45ff-ad42-bd114952c68d.png 4x","Ingredients you know and taste you'll love. Whether sliced, diced or crumbled, Gimme lean Sausage makes it easy to enjoy traditional sausage flavors in your plant-based breakfast. Plus, it has 0 mg of cholesterol and 0 g saturated fat, making it delicious win-win for the whole family. Carbon Zero (Learn more about our commitment to carbon neutrality: Lightlife.com/carbonneutral) Carbon Neutral Company.","Water, Soy Protein Concentrate, Soybean Oil, Soy Protein Isolate, Spices, Salt, Cane Sugar, Natural Flavors, Caramelized Sugar, Beet Powder (color), Canola Oil, Soy Sauce (water, Soybeans, Salt, Wheat, Alcohol), Contains Less Than 2% Of: Wheat Gluten, Methylcellulose (from Plant Fiber), Apple Fiber (color), Potato Starch.","To Cook: Form into patties and brown in a skillet, with oil, for 5 minutes, turning once.,Keep refrigerated. For Food Safety: Wrap tightly and refrigerate.,Use within 3-5 days of opening.","Contains: soy, wheat.",,,,,,,,,,,,
House Foods Organic Firm Tofu,,$3.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9fe559f-0463-4f4e-a48b-71a6cb3e21d8.png 4x,Protein from soybeans. I'm firm and work well in woks. How firm is firm? 4. No preservatives. USDA Organic. Non GMO Project verified. Nongmoproject.org. Certified gluten-free. Certified Organic by QAI. Cook Up Happiness. www.house-foods.com. Made with US soybeans.,"Water, Organic Soybeans, Calcium Sulfate.",Perishable. Keep refrigerated. Store in water.,,Gluten Free,,,,,,,,,,,
"Field Roast Pepperoni Slices, Plant-Based, Classic Pizzeria",,$6.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c79f388-a4c7-4db2-a182-9c57d554de02.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bb2183b-c40f-47b2-b550-e2df35659fe3.png 4x","Meat & cheese co. Discover a world of flavor. Ready to eat. Carbon Zero (Learn more about our commitment to carbon neutrality: fieldroast.com/carbonneutral): Made by Carbon Neutral Company.,• Plant-Based,• Nitrites Free/No Nitrites,• Nitrates Free/No Nitrates,• Vegan","Water, Canola Oil, Wheat Gluten, Potato Protein, Pea Protein, Methylcellulose, Yeast Extract, Maltodextrin, Salt, Carrageenan, Citric Acid (preservative), Vinegar, Hydrogenated Vegetable Oil (sunflower), Natural Flavor, Red Rice Flour (color), Locust Bean Gum, Paprika Annatto Extract (color), Xanthan Gum, Dried Garlic, Spice, Smoked Sugar, Paprika (color), Sodium Alginate, Paprika Oleoresin (color), Citrus Fiber, Garlic Juice Concentrate, Sunflower Oil, Fava Bean Protein, Glutamic Acid, Smoke Flavor","Keep refrigerated.,Tear to open.",Contains: wheat. This product contains pea protein and may not be suitable for people with a peanut allergy.,,,,,,,,,,,,
Meati Classic Cutlets Mushroom Root Protein 2 Pack,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_55e58d45-4344-4834-9bde-6715695f5866.png 4x,"Clean, Nutritious, Minimally Processed and Delicious. Meati Foods builds Good Energy® from the ground up by working closely with Mother Nature to cultivate a complete protein that’s been at the root of our living world for millennia.,The Meati™ Classic Cutlet is the delicious and perfectly juicy protein essential that goes with just about whatever you’re cookin’. The texture you crave with no hidden ingredients. Just really Good Energy®.,• Clean and minimally processed,• 95% MushroomRoot™,• Complete protein and excellent source of fiber,• Equally delicious as an ingredient or a simple, whole cut!","Mushroom Root (mycelium), Less Than 2% Of: Salt, Natural Flavor, Acacia Gum, Oat Fiber, Chickpea Flour.","How to Cook: 1. Season with salt, pepper and a thin coating of oil. 2. Pre-heat a non-stick skillet or grill to medium heat with 1 tbsp oil. 3. Cook 10-12 minutes if frozen, 6-8 minutes if thawed. 4. Flip every 2 minutes until outside is golden and internal temperature is 165 degrees F. 5. Remove, let rest for several minutes, and enjoy! Keep refrigerated and use within 2 days of opening. Cook thoroughly before serving. If purchase frozen, thaw in refrigerator before cooking. Consume within 15 days of thawing. Do not refreeze once thawed or cooked.","Avoid if sensitive to Fungi such as Mushroom, Mold, or Yeast.,Keep refrigerated and use within 2 days of opening. Cook thoroughly before serving If purchased frozen, thaw in refrigerator before cooking. Consume within 15 days of thawing. Do not refreeze once thawed or cooked.",Gluten Free,,,,,,,,,,,
"Azumaya Tofu, Firm",,$4.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9cb9fa1-0a1a-4cea-adab-700859f4a839.jpeg 4x,"Pasteurized, No preservatives.","Water, Whole Soybeans, Calcium Sulfate, Nigari (sea Water Extract).","Perishable. Keep refrigerated. Unused portion: Add water and store covered in refrigerator.,Change water daily, use with in 5 days.",Contains: soy.,,,,,,,,,,,,
