Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"Honey Smoked Fish Co. Original Honey, Smoked Salmon",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b25f890-a1ea-4ad7-b44c-f3bf7a854a70.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e59d285-902a-402c-b1c0-90468a3a6966.jpg 4x",,,"Ready-to-eat straight outta’ the bag! Honey Smoked Salmon® is fresh, never frozen – meaning our sustainably sourced salmon is ready to enjoy within days after being caught. Food this nutritious isn’t supposed to be crazy flavorful; any kale or broccoli fans? Swimming in good-for-you stuff like Omega-3’s, protein, and Vitamin D, you can feel good about adding Honey Smoked Salmon® to any meal or snack. We’re not one to share our secrets, but we’ll let you in on one – it’s our small batch smoking process that really seals the deal. After marinating for 90 minutes, our salmon spends a toasty five hours smoking over hardwood hickory chips locking in our signature Honey Smoked flavor. All that sound good? We think so too. That’s why we’re passionate about our Honey Smoked Salmon®. Try it once, and you’ll be hooked! Pun intended.","Atlantic Salmon, Water, Salt, Honey, Herbs & Spices, Citric Acid, Garlic, Onion, Color Added through Feed","Use within 5 days of opening. Can be frozen up to 12 months. Defrost in refrigerator 24 hours prior to use. Despite careful processing, fish may contain small bones. For best flavor, remove from refrigerator and package 25 minutes prior to serving. If you prefer your salmon warm, flake on top of the dish you are preparing like pizza or pasta.,Keep refrigerated at or below 38 degrees F.",Contains Fish (Salmon),,,,,,
"Fremont Brewing Imitation Crab Meat, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ea30d153-cf1c-4047-8504-51dd1ace5aef.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c6731e9-a91d-454d-9c53-893ca83551e8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f806ec7-c2d0-4262-b98f-7addda83c5e6.png 4x",,,,"Alaska Pollock (Gadus Chalcogrammus), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% or Less of: Golden King Crab Meat, Natural and Artificial Flavor (Extracts of Blue Crab, Snow Crab, Lobster, and Alaska Pollock), Refined Fish Oil (Adds a Trivial Amount of Fat,) (Alaska Pollock), Rice Wine (Water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Perishable. Keep refrigerated. Keep Refrigerated to maintain safety, fully cooked, ready-to-eat.,For best results, use within 3 days after opening.","Contains: fish (Alaska pollock), crustacean shellfish (golden king crab, blue crab, snow crab, lobster), egg., Do not use if package has been damaged or opened.",,,,,,
"Fremont Brewing Crab Meat, Imitation, Leg Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_706ced95-8a6f-4974-9cca-6f4e6da96499.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fd16bceb-1528-4eca-a98b-d77727d46134.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48431434-d020-498d-a1d7-76155cad8055.png 4x",,,,"Alaska Pollock (Gadus Chalcogrammus), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% of Less of: Golden King Crab Meat, Natural and Artificial Flavor (Extracts of Blue Crab, Snow Crab, Lobster, and Alaska Pollock), Refined Fish Oil* (Alaska Pollock), Rice Wine (Water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium, Pyrophosphate, Carmine, Paprika, Color Added. * Adds a Trivial Amount of Fat.","Perishable. Keep refrigerated. Keep refrigerated to maintain safety.,For best results, use within 3 days after opening.","Contains: fish (alaska pollock), crustacean shellfish (golden king crab, blue crab, snow crab, lobster), egg., Do not use if package has been damaged or opened.",,,,,,
Private Selection Wild Alaskan Sockeye Salmon,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3331d40c-5f64-4c2f-83fd-27e65cfa475d.jpg 4x,,,,"Sockeye Salmon, Salt, Sodium Nitrite (preservative) And Natural Hardwood Smoke",,Contains: salmon,,,,,,
Ducktrap Cold Smoked Wild Sockeye Salmon Traditional,,$17.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a2e50d5a-6b0a-46e3-9efe-062e84f92802.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49d219f3-0b69-4a35-86c8-5c9993eed85c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ed9509e-e122-466c-919e-84df76bf38a8.png 4x",Gluten Free,,"Ducktrap traditional-style wild sockeye salmon is wild caught from MSC certified fisheries in Alaska. Ducktrap has perfected the smoking recipes to accentuate the distinct flavor of wild salmon. Our signature flavor is developed by slowly cold smoking with a unique recipe of maple, oak, cherry and apple woods. This taste is a robust blend of the woods and sea. This smoked salmon is thinly sliced, skin is removed.","Sockeye Salmon (oncorhynchus Nerka), Salt, Cane Sugar, Black Pepper And Dill. Contains: Salmon (fish).","Keep refrigerated at 38 degrees F (3 degrees C) or less. Use within four days of opening. Suggestions for Serving: Ducktrap Wild Sockeye Smoked Salmon is the ideal accompaniment to bagels and cream cheese as well as the perfect ingredient for salad, pasta, wrap, pizza and sandwich recipes. Visit www.ducktrap.com for exciting meal ideas. Estimate 2 to 3 slices per person for an appetizer and 4 to 5 slices per person for a main course. To maximize the flavor, remove from refrigeration and allow the desired portion to remain at room temperature for 30 minutes before serving. Proper Storage: Ducktrap Smoked Salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our smoked salmon needs to be kept refrigerated at 38 degrees F or less when not being served. It is best stored unopened until the use by date on the package. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days. Perishable: Keep refrigerated at 38 degrees or below.",Contains: fish (salmon),,,,,,
Goya Squid Pieces in their Own Ink,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c8cc932-df89-47ef-93fa-6089fb47af67.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cfe1abf4-bfe8-4a3d-8e03-198512d8b247.png 4x",,,Wild fish. Easy open. Packed in Spain. Product of Spain.,"Squid, Tomato, Onion, Sunflower Seed Oil, Sepia Ink (sepia Ink, Water, Salt, Sodium Carboxymethyl Cellulose), Paprika Oleoresin, Spices, Garlic, Salt",{},,,,,,,
"Waterfront Bistro Crab Meat, Blue Swimming, Jumbo Lump",,$34.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87e3b55b-e4c9-4803-826b-37c31d926a24.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d9cf49e-1d75-4edc-af01-c1d5f853a95b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6ad0fef-4ec9-457b-858b-470efeda528d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fbe1ba7f-7f9d-4e35-8c41-1d77e5f3092d.png 4x",,,"Per 3 oz Serving: 80 calories; 0 g sat fat (0% DV); 270 mg sodium (12% DV); 0 g total sugars. Ready to eat. Wild caught. No hard shell fragments, maximum 5 pieces of soft shell. 100% money back guaranteed. Quality & satisfaction. Scan for more information.","Pasteurized Crab Meat (portunus Pelagicus), Sodium Acid Pyrophosphate (to Promote Color Retention).","Please examine and remove any shells before using. Discard container after use.,Perishable. Keep refrigerated. Do not freeze.,Consume within 2 days of opening.",Contains: crustacean shellfish (crab).,,,,,,
Acme Smoked Fish Nova Smoked Salmon,,$9.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02f4cba6-c2d4-4cab-bf7f-9254aee281a2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bb157310-c4e3-4753-be88-90219f4b3839.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b998f168-3fad-43bf-91a2-410a6a612ff3.png 4x",,,"Acme's premium crafted Nova is your quintessential smoked salmon: rich, silky, and the slightest bit smoky. The definition of simple pleasure. But somehow, even better.","Atlantic Salmon, Salt, Celery Power",Store below 38 degrees Fahrenheit,May contain bones,,,,,,
"Trans-Ocean Seafood, Stick Style",,$7.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f4c2993-4621-4f97-abf4-2a5aa25a20e4.jpeg 4x,Gluten Free,,"Real food, made simply. Simply Surimi is made using a centuries-old Japanese process in which white fish is minced, seasoned, and cooked. It is ready-to-use for great-tasting seafood salads, hot dishes and healthy snacks.","Alaska Pollock (fish), Water, Pea Starch, Cane Sugar, Sea Salt, Natural Flavor, Potassium Chloride (salt Replacer), Color Added (lycopene From Tomato).","Must be kept refrigerated to maintain safety.,Easy peel.,For best results, use within 3 days after opening. Product can be frozen prior to use-by date, and kept frozen for up to 9 months. Do not use if package has been damaged or opened.",Not Applicable Do not use if package has been damaged or opened.,,,,,,
Waterfront Bistro Shrimp Ring With Sauce,,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef2c9248-62a6-4332-bd97-d030a67edba4.jpeg 4x,,,,,,,,,,,,
"Louis Kemp Crab Delights Crab Delights, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3399442f-f31c-4a7e-9b5c-a089333b7b19.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_59251fcf-3e2f-4ae7-8cd9-cfd7081e6074.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f1ccd3d-6001-4e66-bfaf-d9f2a316e61a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a3a5c9d-fedf-487a-9a07-756af01f21a8.png 4x",,,,"Alaska Pollock, Water, Potato Starch, Corn Starch, Sugar, Sorbitol, Egg Whites, Contains 2% Or Less Of: Snow Crabmeat, Mirin Wine (sake, Sugar, Salt, Water, Yeast Extract), Potassium Chloride, Salt, Artificial Crab Flavor, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Color Added, Carmine, Paprika Oleoresin.","Keep refrigerated at 32 degrees - 38 degrees F. Do not refreeze. Once opened.,Once opened, use within 3 days.","Contains: fish (alaska pollock), egg, crustacean shellfish (snow crab).",,,,,,
Buena Ventura Salted Pollock Fillets,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e8388fb-2c52-4fcb-b61d-aa46e97d67a5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_61438b36-48b5-4d88-bb02-16044be53203.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_147872ac-49ad-4140-a23c-8afe69acb5fe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b213d9b-5396-4ef2-ad27-91991239a231.jpg 4x",,,"Buena®.,Ventura.,Alaska.,Wild caught.,Salted Alaska.,Pollock fillets.,Boned/skinless.,www.cfeboston.com.","Pollock, Salt","Preparation: in refrigerator, soak 1 lb. (454g) of salted fish in 6 cups (1.5 liters) of fresh water for 8 hours, changing the water three times. Longer soaking or more frequent changing of the water will further decrease the salt content. Cook according to your favorite recipe.,Store in refrigerator.",,,,,,,
"WATERFRONT BISTRO Salmon, Sockeye Wild Alaskan, Smoked",,$9.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9979b54-33ad-4e11-8e96-896356cd8ca1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_490c7f60-4f02-4e48-abea-ff2c82a28956.png 4x",,,"Per 2 oz Serving: 90 calories; 1 g sat fat (5% DV); 540 mg sodium (23% DV); 0 g total sugars. 400 mg of omega-3 fatty acids per 2 oz serving. No artificial preservatives. Hardwood smoked. Ready to eat. Perishable. Our Commitment to Sustainability: We are committed to providing premium, restaurant-quality seafood that is sourced in accordance with our Responsible Seafood Policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Our wild Alaskan Sockeye Salmon is beautifully colored with a rich, smoky flavor. Hot smoked over hardwood, this fully-cooked salmon is an excellent topping for salad or pasta. 100% money back guaranteed. Quality & satisfaction. Scan for more information. Responsible Choice. Product of Germany. Wild-caught in Alaska.","Wild Alaskan Sockeye Salmon (oncorhynchus Nerka), Salt, Smoke From Hardwood.","Keep refrigerated at 38 degrees F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
"Private Selection Crabmeat, Special, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48e67269-e967-4ab6-8574-27af01184585.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_831a3436-3031-48ba-a280-a1ac1657a645.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b70d06c-9c45-4552-bf49-4057ba3e98fe.png 4x",,,Ready to eat.,"Blue Swimming Crab Meat, Sodium Acid Pyrophosphate (to Retain Color).","Great for crab cakes & quesadillas.,Perishable. Keep refrigerated.,Consume within 2 days of opening. Discard container after use.",Contains: crab.,,,,,,
"Echo Falls Salmon, Sockeye, Wild Alaskan, Gravlax",,$15.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc4dc92c-3674-4b49-bd88-247a5f7298a2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c0fdaa8-fab8-44a5-855e-c206497ae6c7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a927b88-82ee-4172-9fbb-6f750999d6a9.png 4x",,,,"Sockeye Salmon, Salt, Sugar, Pepper, Dill Weed.","Important: Must be kept refrigerated at or below 38 degrees F.,For best quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
"Private Selection Sockeye Salmon, Alderwood Smoked",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5e1f664b-e5ae-46a5-ad18-ebbb4d12a770.jpg 4x,,,,"Sockeye Salmon, Salt, Brown Sugar, Sodium Nitrite (preservative) And Natural Hardwood Smoke",,Contains: salmon,,,,,,
Louis Kemp Crab Delights Lobster Delights Imitation Lobster Meat,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32fab2f5-c573-411f-9072-b4b1e61e7813.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e3e122b-6b07-47b8-914e-7d307eb96e70.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a8e3170-6fbe-45f6-b2c8-75e23e27c393.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76c19763-1e32-4ff3-aabb-f60a5b50e6a0.png 4x",,,"Fully cooked, ready to serve. Quality since 1930. Imitation lobster meat a blend of premium Alaska pollock & lobster meat. Product of USA.","Alaska Pollock, Water, Wheat Starch, Sugar, Contains 2% Or Less Of: Lobster, Sorbitol, Natural And Artificial Lobster Flavor, Mirin Wine (sake, Sugar, Salt, Water, Yeast Extract), Potassium Chloride, Salt, Sodium Tripolyphosphate, Pollock Oil, Tetrasodium Pyrophosphate, Color Added, Egg Whites, Sodium Citrate, Modified Corn Starch, Soy Lecithin, Canthaxanthin.","Keep refrigerated at 32 degrees - 38 degrees F. Do not refreeze.,Once opened, use within 3 days.","Contains fish (alaska pollock), wheat, crustacean shellfish (lobster), soy, egg.",,,,,,
Ducktrap River of Maine Kendall Brook Cold Smoked Atlantic Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4750c82-9bc2-457a-bb18-05aff7ac56ed.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28587a3c-5c93-41c1-87e7-dc3790a5dfe5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82e85c0f-34e8-48fd-b7de-f189df5f0675.png 4x",,,"The exceptional quality of Kendall Brook traditional-style smoked salmon begins with fresh Atlantic Salmon fillets. At Ducktrap River of Maine's smokehouse, these fillets are dry brined and cold smoked with a unique recipe blend of maple, oak, cherry, and apple woods. A deep trim and a meticulous inspection process ensure every package meets our company's standards. The craftsmanship is revered by chefs and food lovers nationwide. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, CANE SUGAR, BLACK PEPPER AND DILL. CONTAINS: SALMON (FISH).","In order to maximize the flavor of your smoked salmon, remove the portion to be served from the vacuum package and leave at room temperature for 30 minutes before serving. Proper Storage: Kendall Brook smoked salmon has been carefully wrapped in a vacuum package for your convenience. Because we use no artificial preservatives, your smoked salmon needs to be refrigerated when not being served. Kendall Brook smoked salmon is best stored for up to 10 days in a refrigerator or until the Use By date, whichever is sooner. When opened, smoked salmon needs to be kept well wrapped in the refrigerator and eaten within 4 days. You may also freeze your salmon , if unopened, for up to 3 months. Keep refrigerated at 38 degrees F (3 degrees C) or less. Use within four days of opening.",,,,,,,
"Foppen Atlantic Salmon, Hot Smoked Norwegian",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77b4d273-5768-48fd-9d3d-57201294eb57.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fd51d2fa-748d-4925-b369-fe1554a1c364.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_57c9744e-2883-4ea5-97eb-5ccb5a9858c1.png 4x",,,,"Salmon (salmo Salar) (fish), Salt, Pepper, Distilled Vinegar Powder, Natural Flavor, Caramel Sugar Syrup Smoke. Color Added.","Preparation: Serve the hot smoked salmon either cold or warm (1-1/2 minutes in a 600 watt microwave or 6 minutes in a predated 200 degrees C/392 degrees F oven). Remove skin before eating.,Keep refrigerated at 38 degrees F (3 degrees C) or below.,After opening, store in an airtight container and use within 4 days.",,,,,,,
"Kroger Imitation Crab Meat, Flake Style",,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da7333cc-2306-46a5-a441-d0592ac3aedb.jpeg 4x,Gluten Free,,,"Alaska Pollock, Water, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% or Less of Natural and Artificial Flavor (Extracts of Blue Crab, Snow Crab, Lobster, and Alaska Pollock), Refined Fish Oil (Adds a Trivial Amount of Fat), (Alaska Pollock), Rice Wine (Water, Rice, Koji), Egg Whites, Modified Tapioca Starch, Sea Salt, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Titanium Dioxide (for Color), Carmine (for Color), Canthaxanthin (for Color).","Keep refrigerated,Tear to open,For best before use within 3 days of opening.",,,,,,,
"Waterfront Bistro Salmon, Atlantic, Nova Lox, New York Style, Smoked",$6.89,$8.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_004f4491-9c1e-4cfb-a7b7-373b3487036c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02c98d8d-1004-4c2a-bb69-a95dc92a4e87.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a45b5979-19bf-420b-9bef-b82aef17e826.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f982a7bc-156c-489d-ac11-f382c63a3025.png 4x",,,"1 g of omega-3 fatty acids per 2 oz serving. Per 2 oz Serving: 110 calories; 1 g sat fat (5% DV); 670 mg sodium (29% DV); 1 g total sugars. No artificial preservatives. No antibiotics. Hardwood smoked. Ready to eat. Our Commitment to Sustainability: We are committed to providing premium, restaurant-quality seafood that is sourced in accordance with our responsible seafood policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Our cold smoked Atlantic Salmon is raised in the deep, pristine Fjords of Norway-near the Arctic Circle. Rich and delicious, it's a natural source of omega-3's. This classic lox is sliced thin and delicately flavored. Enjoy on its own or pair with crackers and cream cheese. 100% money back guarantee. Quality & satisfaction. Smartlabel. Scan for more information. Responsible choice. Product of Germany. Farm raised in Norway.","Atlantic Salmon (salmo Salar) (color Added), Salt, Sugar, Dill Extract, Smoke From Hardwood.","Perishable. Keep refrigerated at 38 degree F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
Acme Smoked Fish Nova Smoked Salmon,,$24.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8afee843-1487-47fa-b37b-c373f1e05d77.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e9e9127-4d38-4282-82b2-2f975c19870d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ccf13921-d862-40a4-b6cd-17e3ac4a44a5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e37af400-0164-4e31-8ad1-dd74fd344d16.jpeg 4x",,,"Acme's rich, silky, lightly smoky Nova, in a family-size package that’s perfect for entertaining. Ideal for savoring a special moment with loved ones—or indulging all week long.","Salmon, Salt, Natural hardwood smoked",Store below 38 degrees Fahrenheit,May contain bones,,,,,,
Ducktrap River of Maine Spruce Point Cold Smoked Atlantic Salmon,,$10.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2320b75c-0a8a-4695-9ccb-ec43f9172c81.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e560ac7-66ee-4450-ab20-1bb32b4cf53a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9fd278fb-969e-4895-a02c-3232ed369710.png 4x",Gluten Free,,"Spruce Point traditional-style smoked salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets are dry brined, lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. The result is a rich and delicate blend of the woods and sea. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, CANE SUGAR, BLACK PEPPER AND DILL. CONTAINS: SALMON (FISH).","Suggestion for serving: Ducktrap Smoked Salmon is the ideal accompaniment to bagels and cream cheese as well as the perfect ingredient for salad, pasta, or sandwhich recipes. Visit ducktrap website for additional ideas. Estimate 2 to 3 slices per person for an appetizer and 4 to 5 slices per person for a main course. To maximize the flavor, remove from refrigeration and allow the desired portion to remain at room temperature for 30 minutes before serving. Proper Storage: Ducktrap smoked salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our smoked salmon needs to be kept refrigerated as 38°F or less when not being served. It is best stored unopened until the ""Use by"" date on the package. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days.",Contains: fish (salmon),,,,,,
"ROMANOV Caviar, Vodka Lumpfish",,$14.99,,,,"Improved taste! Wild caught in the cold coastal waters of Iceland. For over 175 years, the name Romanoff has been associated with fine caviar. Visit us at: www.romanoffcaviar.com.","Lumpfish Roe, Dextrose, Salt, Vodka, Water, Xanthan Gum, Lemon Juice From Concentrate, Rice Vinegar, Red #40, Yellow #5.","Serve well chilled. Tips for Serving Romanoff Caviar: Gently lift when spooning out: caviar is fragile and must be treated tenderly. Use non-metal implements. Metal can impart a metallic flavor. Recommendation is mother-of-pearl or plastic. Serve simply with buttered toast points or blinis, and creme fraiche. Add appeal to canapes and other hors d'oeuvres. Garnish soups, fish, omelets, dips, etc. For best eating experience, serve well chilled. Serving Suggestion: Serve well chilled. Refrigerate after opening.",Contains fish (lumpfish),,,,,,
"Echo Falls Atlantic Salmon, Oak Smoked, Kentucky Bourbon",,$13.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_701f63e6-596e-46cf-8556-3a53f0658cab.jpeg 4x,,,,"Smoked Ati Antic Salmon (color Added), Brown Sugar, Salt, Maple Bourbon Seasoning [brown Sugar, Sugar, Salt, Paprika, Natural Bourbon Whiskey Flavor, (dextrose, Natural Flavor, Water, Ethyl Alcohol), Natural Maple Flavor, Pepper, Dehydrated Onion, Rice Concentrate (anti-caking Agent), Chili Powder, Soybean Oil (refinded To Be Allergen Free), Cayenne Pepper].","Important: Must be kept refrigerated at or below 38 degrees F.,For best quality enjoy by date marked on package. Use within 7 days after opening.",Contains: fish (salmon) may contain bones.,,,,,,
