Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Egg Free,Soy Free,Peanut Free,Treenut Free,Shellfish Free,Wheat Free,Milk Free
"fairlife 2% Chocolate Ultra-Filtered Milk, Lactose Free",,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5801ef66-cafe-4d38-8c96-55cb962f3c02.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b4594a8-9dbf-4b82-a77d-da96d83dc348.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dda33b25-f9d1-46dd-82d7-6cfc35d5ef1f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35d93006-390d-4b11-8e6c-5bf22a6e3b33.jpg 4x",,,"We are driven by a simple belief: we can always make the world better.,Proper nourishment allows us all to grow and thrive. At fairlife, we provide the health and vitality people need by starting with the wholesome simplicity of real cow’s milk.,All our milk flows through soft filters to concentrate its goodness like protein and calcium while filtering out some of the natural sugars. Our rich and creamy fairlife Chocolate Ultra-Filtered Milk has 50% less sugar and 50% more protein than regular chocolate milk. Plus, there’s no artificial growth hormones used and it’s lactose free.,So sip, drink and chug as you enjoy our delicious ultra-filtered milk.,• 50% more protein and 50% less sugar than regular chocolate milk,• 13g of protein per serving,• Delicious, satisfying and lactose-free,• No Artificial Growth Hormones Used*,• 52oz bottle,• *No significant difference has been shown between milk derived from rbST-treated and non-rbST treated cows","Reduced Fat Ultra-filtered Milk, Sugar, Alkalized Cocoa, Lactase Enzyme, Dipotassium Phosphate, Salt, Acesulfame Potassium, Carrageenan, Natural And Artificial Flavors, Sucralose, Vitamin A Palmitate, Vitamin D3","Keep refrigerated.,Consume within 14 days of opening.",Contains milk.,,,,,,,
Nestlé NESQUIK Chocolate Lowfat Milk Ready to Drink,$3.29,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8607a89b-7668-4f53-b6c0-7f9577176a7c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31466019-95cc-4165-98ad-0446b92bc573.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f78d583-7e9b-4955-834f-a76a3ea57088.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78bf2f65-650a-4dd6-a80d-f05e94e77eac.jpg 4x",Gluten Free,,"Nesquik Chocolate Lowfat Milk offers 100% real milk for a classic, delicious taste in an irresistibly tasty and nutritious drink. This chocolate lowfat milk is gluten free and contains no high fructose corn syrup, for delicious goodness that will deliver on the classic taste you love. Lowfat Nesquik chocolate milk is ready to drink, so it's easy to serve with meals, or as a delicious treat on its own. This Nesquik chocolate lowfat milk comes in a convenient resealable bottle. Containing 14 grams of protein per serving from 100% real milk, and Vitamin A and Vitamin D, this Nesquik chocolate lowfat milk also offers 30% more calcium than regular chocolate low fat milk. Shake well before enjoying, and keep refrigerated after opening.,• One 14 fl oz bottle of Nesquik Chocolate Lowfat Milk,• Delicious and nutritious Nesquik chocolate lowfat milk made with 100% real milk,• This Nesquik chocolate milk offers 30% more calcium than regular chocolate lowfat milk,• Gluten free Nesquik lowfat chocolate milk with Vitamins A & D, 14 grams of protein per serving, and no high fructose corn syrup,• Serve Nesquik chocolate lowfat milk with meals or as a delicious treat on its own","Lowfat Milk, Sugar, And Less Than 2% Of Cocoa Processed With Alkali, Calcium Carbonate, Cellulose Gel, Natural And Artificial Flavor, Carrageenan, Salt, Gellan Gum, Cellulose Gum, Vitamin A Palmitate, Vitamin D3.","Shake well.,Do not freeze. Keep refrigerated after opening.,Pull.",Contains: milk.,,,,,,,
"fairlife 2% Reduced Fat Ultra-Filtered Milk, Lactose Free",,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01b8f636-9039-4813-9c6a-9bf0da6fe58f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_665367c1-3219-469c-abe3-9840ef52a4d9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d6e65176-f389-4646-af26-9ef5e0ca9e3e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9b25a45-e6b8-4c1e-b5e7-78121a1c6d92.jpg 4x",,,"We are driven by a simple belief: we can always make the world better.,Proper nourishment allows us all to grow and thrive. At fairlife, we provide the health and vitality people need by starting with the wholesome simplicity of real cow’s milk.,All our milk flows through soft filters to concentrate its goodness like protein and calcium while filtering out some of the natural sugars. Our delicious and satisfying fairlife 2% Ultra-Filtered Milk has 50% less sugar and 50% more protein than regular milk. Plus, there’s no artificial growth hormones used and it’s lactose free.,So sip, drink and chug as you enjoy our delicious ultra-filtered milk.,• 50% more protein and 50% less sugar than regular milk,• 13g of protein per serving,• Delicious, satisfying and lactose-free,• No Artificial Growth Hormones Used*,• 52oz bottle,• *No significant difference has been shown between milk derived from rbST-treated and non-rbST treated cows","Reduced Fat Ultra-filtered Milk, Lactase Enzyme, Vitamin A Palmitate, Vitamin D3","Keep refrigerated.,Consume within 14 days of opening.",Contains milk.,,,,,,,
Chobani Fat Free Blueberry Greek Style Yogurt,$1.67,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_960eccfc-3408-4475-ad0a-c60918b8c29a.png 4x,Gluten Free,,We have been on a mission since day one: to provide better food for more people.,"Cultured Nonfat Milk, Blueberries, Cane Sugar, Water, Fruit Pectin, Natural Flavors, Guar Gum, Locust Bean Gum, Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
Lactaid Whole Milk,$5.79,$6.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5f4fc93-e04b-44de-9dbe-fa5210b67559.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_054a7621-d611-48f2-8645-dc86e68316de.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ff31b24e-5828-4a68-afe6-ac9ec1389fcb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88940d5d-7373-4931-8630-f374d1e35822.jpg 4x",Gluten Free,,"LACTAID® Whole Milk contains essential nutrients like calcium, protein, and Vitamin D, and 100% lactose free so you can enjoy it with no worries. Lactaid is farm-fresh milk from cows that are never treated with artificial growth hormones, and all our milk is tested for antibiotics. All the goodness of real milk, just without the lactose.,• 64 oz.,• Real Dairy,• 100% Lactose Free,• Delicious and nutritious,• Rich and creamy","Milk, Lactase Enzyme* And Vitamin D3.",Shake well before serving.,Contains: milk,,,,,,,
"International Delight Coffee Creamer, Caramel Macchiato, Refrigerated Flavored Creamer, 32 FL OZ Bottle",,$6.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf40c887-d161-4272-b47a-bf2b2c8603b1.jpg 4x,Gluten Free,,"Bring your coffee to life with a swirl of rich caramel flavor. International Delight Caramel Macchiato Coffee Creamer is the world of flavor your coffee's been waiting for. Add some of our caramel macchiato flavored creamer to dial up the joy in everyday moments. Check out all of the International Delight liquid creamer flavors to bring some excitement to your coffee break. Plus, International Delight Creamers are lactose free and gluten free, so they're easy to share. Fill your room with some International Delight Liquid Coffee Creamer or mess up your whole dang day.","Water, Sugar, Palm Oil, Contains 2% Or Less Of: Sodium Caseinate* (a Milk Derivative), Dipotassium Phosphate, Carrageenan, Mono And Diglycerides, Natural & Artificial Flavors, Sodium Stearoyl Lactylate, Salt, *sodium Caseinate Is Not A Source Of Lactose","Shake well.,Keep refrigerated.,Perishable: Use within two weeks of opening but no later than date stamped on label.",Contains a milk derivative.,,,,,,,
Chobani Fat Free Peach Greek Style Yogurt,$1.67,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cee24940-446c-400c-8a10-8256a292e901.png 4x,Gluten Free,,"We have been on a mission since day one: to provide better food for more people.,Non-fat Greek yogurt. No artificial flavors. No gluten. 0% milkfat. No GMO ingredients. Only natural ingredients. Billions of probiotics. 9 essential amino acids. Authentically crafted. No fake fruit. No artificial sweeteners. No preservatives. No rBST (According to the FDA, no significant difference has been shown between milk derived from rBST and milk derived from non-rBST cows). Grade A. chobani.com. Questions or comments? 1-877-847-6181. A portion of profits for a better world. Tear off label and recycle cup. A portion of profits for a better world.","Cultured Nonfat Milk, Peaches, Cane Sugar, Water, Fruit Pectin, Natural Flavors, Guar Gum, Lemon Juice Concentrate, Locust Bean Gum",Keep refrigerated.,,,,,,,,
Chobani Strawberry Banana Lowfat Greek Yogurt Drink,$1.99,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2e3f485-cfed-4dd0-93a2-214e15bed71e.png 4x,Gluten Free,,"We have been on a mission since day one: to provide better food for more people.,• Gluten-free,• Contains live and active cultures,• No Artificial Flavors,• No Artificial Sweeteners,• No rbGH/No rbST,• No Preservatives/No Artificial Preservatives,• Kosher","Cultured Lowfat Milk, Strawberry Puree, Water, Cane Sugar, Banana Puree, Fruit Pectin, Natural Flavors, Chicory Root Fiber, Vegetable Juice Concentrate (for Color), Lemon Juice Concentrate, Locust Bean Gum","Shake well.,Keep refrigerated.",,,,,,,,
"fairlife Whole Ultra-Filtered Milk, Lactose Free",,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ed8f4a5-5d98-442c-8f8e-af8782c48dd4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_962f9011-c4ed-457a-8ace-efd97e7b510b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_221eb067-9852-46b0-95c9-872114fc9d5d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14830f72-06cd-47ad-9e84-3b7d2119ccfc.jpg 4x",,,"We are driven by a simple belief: we can always make the world better.,Proper nourishment allows us all to grow and thrive. At fairlife, we provide the health and vitality people need by starting with the wholesome simplicity of real cow’s milk.,All our milk flows through soft filters to concentrate its goodness like protein and calcium while filtering out some of the natural sugars. Our deliciously creamy and full flavored fairlife Whole Ultra-Filtered Milk has 50% less sugar and 50% more protein than regular milk. Plus, there’s no artificial growth hormones used and it’s lactose free.,So sip, drink and chug as you enjoy our delicious ultra-filtered milk.,• 50% more protein and 50% less sugar than regular milk,• 13g of protein per serving,• Delicious, satisfying and lactose-free,• No Artificial Growth Hormones Used*,• 52oz bottle,• *No significant difference has been shown between milk derived from rbST-treated and non-rbST treated cows","Ultra-filtered Milk, Lactase Enzyme, Vitamin A Palmitate, Vitamin D3","Keep refrigerated.,Consume within 14 days of opening.",Contains milk.,,,,,,,
Chobani Mixed Berry Lowfat Greek Yogurt Drink,$1.99,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c9fd609-aa45-43f0-a096-230f3283e3df.png 4x,Gluten Free,,"Reach for Chobani Yogurt Drinks for a sippably smooth day. Experience drinkable yogurt in a variety of natural flavors on the go or at home. Slip a Chobani Drink into a lunch bag or gym bag for the perfect protein-packed pick-me-up the whole family can enjoy. Chobani Yogurt Drinks add 10-12g of protein and billions of probiotics into your diet. Made with only natural, non-GMO ingredients, there’s no better time to open a bottle of Chobani drinkable-yogurt goodness. We have been on a mission since day one: to provide better food for more people.","Cultured Lowfat Milk, Water, Cane Sugar, Blueberries, Raspberries, Blackberries, Fruit Pectin, Natural Flavors, Lemon Juice Concentrate, Fruit Juice Concentrate (for Color), Chicory Root Fiber, Locust Bean Gum","Shake well.,Keep refrigerated.",,,,,,,,
